firstname,Email,Subject,Body,Business,City,ST,Phone,Website,Campaign Rank,Priority Tier,Campaign Date,Mailbox,Prospect TZ,Rating,Reviews,Employees,Locations,Segment,Coverage gap,Body Words,Offer Made,Strategic Angle,Business Insight,MICRONS Capability,Research / Personalization Basis,Research Depth,QA Notes
,aloha@honoluluspaandwellness.com,the mainland clock,"Hey {{ firstname | there }},

I was looking at Honolulu Spa and Wellness — ten years at Ala Moana, and a treatment list that's noticeably more clinical than most day spas, with nano microneedling and Hydrafacial MD alongside the massage and waxing side.

There's an obvious next step I'd test: the inquiries that arrive on mainland time.

Someone planning a trip emails at nine in the morning their time, which is the middle of your night, and books whoever replies first. I'd have those answered immediately, qualified for what they want and which days they're actually on-island, and booked as pending for you to confirm.

The goal isn't to have anyone up at 3 am — it's to stop a five-hour time difference deciding who gets the booking.

I'll build it, monitor it, and keep working at no additional cost until it books 25 appointments from outside your hours. You only need to approve what it's allowed to answer, once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 9 am or Friday at 8 am HST — just reply with either.

Vedant",Honolulu Spa And Wellness - Oahu,Honolulu,HI,(808) 232-5626,https://honoluluspaandwellness.com/?utm_source=google_profile&utm_campaign=localo&utm_medium=mainlink,61,A,9/9/2026,1,US time zone - verify,4.9,687,2,1,Micro / owner-operated,Sunday,188,Build + monitor free until 25 appointments booked from outside hours; approve permitted answers once.,Time-zone lead capture in a visitor market,HST places mainland inquiry peaks entirely outside a two-person team's staffed hours.,AI Receptionist / after-hours capture + date-aware booking,"Established 2015; Ala Moana Center / Ala Moana Medical Building; Hydrafacial MD, nano microneedling, LED, peels; hours M-Sat 9-8, closed Sunday (verified)",Verified - business detail,Hours independently verified. Workbook TZ flagged 'verify' - HST confirmed.
,info@thrivedripspa.com,rollover credits,"Hey {{ firstname | there }},

I was reading how your memberships work — services that roll over month to month, cancel with two weeks' notice, a birthday drip. That's a fairer structure than most wellness memberships and it's clearly built to keep people rather than trap them.

There's an obvious next step I'd test: members who are quietly accumulating rollover credits and not coming in.

I'd flag anyone whose credits are stacking up with nothing booked, and send one message telling them what they have waiting and offering the next slot at Market Street.

The goal isn't to chase people — it's to make sure a membership designed to be generous doesn't turn into a quiet subscription nobody uses before they cancel.

I'll build it, monitor it, and keep working at no additional cost until it brings 30 members back in. Your team only needs to connect the membership data once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 1 pm or Friday at 9.30 am CT — just reply with either.

Vedant",ThrIVe Drip Spa - The Woodlands,The Woodlands,TX,(281) 343-3747,https://thrivedripspa.com/the-woodlands/?utm_source=GBP&utm_medium=Organic+&utm_campaign=Woodlands&utm_id=GBP,62,A,9/9/2026,2,CT,4.9,682,32,,Core (best fit),HOURS NOT IN WORKBOOK - do not claim a closure,179,Build + monitor free until 30 members return; connect membership data once.,Rollover-credit membership retention,Rollover credits accumulate silently; unused value predicts cancellation before it happens.,Patient Reactivation + membership follow-up,"Memberships $129/mo (1 premium IV + booster) and $229/mo (2 IV + booster), services roll over, 2-week cancellation, birthday drip; Market Street, 9595 Six Pines; RN-delivered, plastic-surgeon overseen; Emsculpt NEO",Verified - business detail,Membership mechanics verified from site. No churn figure asserted. Hours unknown - no closure claimed.
Melanie,contact@theshinespa.com,back in st louis,"Hey {{ firstname | there }},

I was reading how you built The Shine Spa — training alongside plastic surgeons in California and then bringing that back to Clayton, with the aesthetics side and the hormone and metabolic work running together.

There's an obvious next step I'd test: the weight-loss and hormone patients specifically.

Those programmes only work if people come back on schedule, and they're the easiest appointments to quietly drift out of. I'd flag anyone overdue for their next visit and send a prompt tied to where they actually are in their programme, booking straight into Square.

The goal isn't to add admin — it's to stop the treatments with the longest arcs from depending on someone remembering to chase.

I'll build it, monitor it, and keep working at no additional cost until it books 30 follow-up visits. Your team only needs to hand over the schedule once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 1 pm or Friday at 10 am CT — just reply with either.

Vedant",The Shine Spa,St Louis,MO,(314) 499-7199,http://theshinespa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,63,A,9/9/2026,3,CT,5,669,,,,Sunday,177,Build + monitor free until 30 follow-up visits booked; hand over schedule once.,Programme-adherence follow-up for hormone and weight-loss patients,"Longitudinal programmes leak between visits, not at the sale.",Patient Reactivation / recurring-visit prompts over existing Square booking,"Founder Melanie Murray FNP, 13+ years, trained with CA plastic surgeons; Clayton Rd; Square booking; CareCredit; Tirzepatide, hormone/metabolic services",Verified - owner/founder named,Programme structure verified. No adherence rate claimed.
,info@plantationmedspa.com,the consult step,"Hey {{ firstname | there }},

I was looking at Plantation Med Spa — the menu is deliberately non-invasive, and you carry basically every neurotoxin on the market, Daxxify and Jeuveau included. That's a practice that expects patients to ask informed questions before they book.

There's an obvious next step I'd test: answering those questions the moment they're asked.

I'd have inquiries answered immediately with the product and process questions your team has pre-approved, qualified for what they're considering, then booked as pending for you to confirm. Anything clinical gets collected and handed to a person.

The goal isn't to give medical advice — it's to make sure someone comparing four neurotoxins doesn't go quiet because nobody got back to them for a day.

I'll build it, monitor it, and keep working at no additional cost until it books 25 consultations. Your team only needs to approve the answers once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 2 pm or Friday at 11 am ET — just reply with either.

Vedant",Plantation Med Spa,Plantation,FL,(954) 595-2607,https://plantationmedspa.com/,64,A,9/9/2026,4,ET,4.9,635,,,,Sunday,177,Build + monitor free until 25 consultations booked; approve answers once.,"Approved-FAQ speed for an informed, comparison-driven buyer",A broad neurotoxin menu attracts comparison shoppers whose questions decay fast if unanswered.,AI Receptionist / approved-FAQ handling with clinical escalation,"Non-invasive positioning; Botox, Dysport, Xeomin, Daxxify, Jeuveau, lip services; microneedling, LHR; 100 NW 82nd Ave",Verified - business detail,Clinical escalation stated explicitly. Hours not verified - no closure claimed.
Julie,info@vivemedspadenver.com,the booking fee,"Hey {{ firstname | there }},

I was looking at how Vive is run — a non-refundable booking fee to hold an appointment and a 48-hour reschedule window is a stricter policy than most Denver med spas are willing to enforce, and it tells me no-shows have already cost you enough to act on.

There's an obvious next step I'd test: the reminder layer in front of that policy.

I'd have every booking confirmed on the day it's made, reminded at 72 and 24 hours with a one-tap reschedule inside the window, and anyone who does drop off followed up automatically to rebook.

The goal isn't to replace the policy — it's to make sure you're collecting appointments rather than booking fees.

I'll build it, monitor it, and keep working at no additional cost until it recovers 20 appointments that would otherwise have been no-shows. Your team only needs to connect the calendar once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 10 am or Friday at 1 pm MT — just reply with either.

Vedant",VIVE Med Spa,Denver,CO,(720) 698-3327,https://www.vivemedspadenver.com/,65,A,9/9/2026,5,MT,4.9,622,,,,Tuesday,181,Build + monitor free until 20 would-be no-shows recovered; connect calendar once.,No-show prevention layered on an existing deposit policy,A non-refundable booking fee is a symptom of a no-show problem; reminders address the cause rather than the penalty.,No-Show Recovery + appointment reminders,"Led by Julie Kim, permanent makeup artist; nano brows, injectables, weight management; non-refundable booking fee, 48-hour cancellation policy (verified from site)",Verified - owner/founder named,Policy is public and verifiable. Does NOT claim a no-show rate - infers only that the policy exists.
Veeren,summit@woodhousespas.com,just summit,"Hey {{ firstname | there }},

I was looking at the Summit location specifically — the Calming Retreat and the HydraFacial tiers are Woodhouse's, but the booking, the phones and the hours are yours, and mood care only lands if the first contact matches it.

There's an obvious next step I'd test: the inquiries that arrive when the front desk is with a guest.

I'd have those answered immediately, qualified for which service and which time they're after, and booked into your existing schedule as pending for your team to confirm.

The goal isn't anything corporate has to approve — it's one location, running alongside what you already do.

I'll build it, monitor it, and keep working at no additional cost until it books 30 appointments from inquiries that would otherwise have waited. Your team only needs to approve the intake questions once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 3 pm or Friday at 9 am ET — just reply with either.

Vedant",Woodhouse Spa - Summit,Summit,NJ,(908) 608-1120,http://summit.woodhousespas.com/,66,A,9/9/2026,1,ET,4.8,614,2500,48,Enterprise / chain,HOURS NOT IN WORKBOOK - do not claim a closure,170,Build + monitor free until 30 appointments booked from delayed inquiries; approve intake questions once.,Single-site pilot scoped to franchisee authority,"A franchisee controls local intake but not central systems, so the offer must fit one location.",AI Receptionist + Booking layered on existing schedule,"Franchise owner Veeren Reddy (Divine Escape LLC, since 2013); 420 Springfield Ave; brand signature services HydraFacial Classic/Deluxe, Calming Retreat; 'mood care' positioning",Verified - owner/founder named,Deliberately scoped to what a site owner can authorise. Hours not verified - no closure claimed.
Nancy,info@bellareinaspa.com,"43,000 facials","Hey {{ firstname | there }},

I was reading about Bella Reina — forty-three thousand facials and a Best Day Spa in North America win is a body of work almost nobody in this industry can point to, and you've been doing it in Delray since 2009.

There's an obvious next step I'd test: the clients inside those forty-three thousand who haven't been back.

I'd run a pass over your history to find everyone past their normal interval with nothing booked, and reach out referencing what they actually came in for — an acne facial client and a HydraFacial client are on different rhythms entirely.

The goal isn't to run a promotion — it's to make sure the size of your history works for you instead of just sitting there.

I'll build it, monitor it, and keep working at no additional cost until it brings 30 clients back onto the schedule. Your team only needs to hand over the treatment history once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 11 am or Friday at 2 pm ET — just reply with either.

Vedant",Bella Reina Spa,Delray Beach,FL,(561) 404-7670,http://www.bellareinaspa.com/,67,A,9/9/2026,2,ET,4.8,599,12,1,Small,Monday,189,Build + monitor free until 30 clients rebooked; hand over treatment history once.,Reactivation against a very large documented client history,"43,000 recorded facials is an unusually large owned audience relative to a 12-person team's follow-up capacity.",Patient Reactivation with treatment-specific cadence,"Founder Nancy Reagan, Biological Aesthetician, est 2009, 30+ years, 43,000+ facials, Best Day Spa in North America; HydraFacial MD, HIFU, acne facials, Dazzle Dry pedicures",Verified - owner/founder named,"43,000 figure is the practice's own published claim, used as such. No dormant count asserted."
Wendy,admin@cellrenewtampa.com,one room,"Hey {{ firstname | there }},

I was reading how Cell Renew started — one small room, then a real downtown space with Dr. Hernandez as medical director. That's the kind of growth that happens because the work is good, not because the marketing was.

There's an obvious next step I'd test: Sundays and the hours the five of you are all in treatment.

I'd have inquiries that land then answered immediately, qualified for what they're asking about, and booked into Fresha as pending for you to confirm on Monday.

The goal isn't to replace your front desk — it's to make sure a practice that grew on word of mouth isn't losing the people that word of mouth sends.

I'll build it, monitor it, and keep working at no additional cost until it books 25 appointments from hours you're closed. Your team only needs to approve what it can answer, once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 1 pm or Friday at 10 am ET — just reply with either.

Vedant",Cell Renew Medical Spa Downtown,Tampa,FL,(813) 600-0666,https://www.cellrenewtampa.com/,68,A,9/9/2026,3,ET,4.9,591,5,,Micro / owner-operated,Sunday,179,Build + monitor free until 25 appointments booked from closed hours; approve permitted answers once.,Closed-day and in-treatment capture for a referral-driven practice,"Word-of-mouth demand arrives on the referred person's schedule, not the practice's.",AI Receptionist / closed-day capture over existing Fresha booking,"Founded by Master Aesthetician Wendy Aguilar (10+ yrs) from a single room; husband Dr. Mario Hernandez is Medical Director; Fresha booking; hours M-F 10-6, Sat 10-4, closed Sunday (verified)",Verified - owner/founder named,Closure independently verified. Origin story is the practice's own published account.
,booking@bossgalbeautybar.com,the beauty bank,"Hey {{ firstname | there }},

I was looking at the Boss Gal Beauty Bank — a free facial and fifteen per cent off, framed as a way to make self-care fit a budget rather than as a discount grab. Across Clintonville, Grandview and Easton that's a genuinely good retention structure.

There's an obvious next step I'd test: members who joined and then drifted.

I'd flag anyone with an active membership and no upcoming booking, then send one message reminding them what's sitting unused and offering the next slot at their home location.

The goal isn't to add another email list — it's to make sure a membership built to be used doesn't quietly become a subscription people cancel.

I'll build it, monitor it, and keep working at no additional cost until it brings 30 members back in. Your team only needs to connect the membership data once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 2 pm or Friday at 9.30 am ET — just reply with either.

Vedant",Boss Gal Beauty Bar - Clintonville,Columbus,OH,(614) 820-5178,https://www.bossgalbeautybar.com/contact/clintonville-spa/,69,A,9/9/2026,4,ET,4.9,568,31,5,Core (best fit),HOURS NOT IN WORKBOOK - do not claim a closure,175,Build + monitor free until 30 members return; connect membership data once.,Membership utilisation across multiple sites,An unused membership benefit is the strongest available predictor of cancellation.,Patient Reactivation + membership follow-up with location routing,"'Boss Gal Beauty Bank' membership: free facial ($69 value) + 15% off products and services; locations Clintonville, Grandview, Easton Town Center; 31 staff",Verified - business detail,Membership named and verified from site. No churn figure asserted. Hours unknown - no closure claimed.
,info@vivalamedspa.com,old town,"Hey {{ firstname | there }},

I was reading how Viva La came about — leaving sales and marketing, finishing top of the class at Universal Spa Training Academy, and opening on Wells Street in 2022. Three years in with twenty-two people is fast.

There's an obvious next step I'd test: keeping the first two minutes of every inquiry consistent.

At twenty-two staff the phone tends to belong to whoever is nearest it, which means a new patient's first impression depends on who that was. I'd put one intake path in front of it — same questions, same qualification, same route into your calendar, every time.

The goal isn't to take the phone off your team — it's to make sure the standard doesn't move depending on who picks up.

I'll build it, monitor it, and keep working at no additional cost until it books 30 appointments through that path. Your team only needs to approve the script once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 1 pm or Friday at 11 am CT — just reply with either.

Vedant",Viva La Med Spa,Chicago,IL,(312) 971-5915,http://vivalamedspa.com/,70,A,9/9/2026,5,CT,4.8,545,22,,Core (best fit),HOURS NOT IN WORKBOOK - do not claim a closure,186,Build + monitor free until 30 appointments booked through the intake path; approve script once.,Intake consistency during fast headcount growth,Rapid growth to 22 staff without a dedicated intake owner makes first-response quality vary by person.,Lead Qualification standardised in front of existing booking,"Founded 2022, 1657 N Wells St, Old Town; owner moved from sales & marketing, ranked #1 at Universal Spa Training Academy; medical + day spa services; 22 staff",Verified - business detail,NOTE: verified as OPEN 7 DAYS (Sun 9-4) - no closure claimed anywhere in this email.
