Campaign Rank,Priority Tier,Campaign Date,Mailbox,Prospect TZ,Business,City,ST,Email,Phone,Website,Rating,Reviews,Employees,Locations,Segment,Coverage gap,Sender Name,Sender Phone,Subject,Body,Body Words,Followup Subject,Followup Body,Offer Made,Strategic Angle,Business Insight,MICRONS Capability,Personalization Basis,Principles Score /7,QA Notes
61,A,9/9/2026,1,US time zone - verify,Honolulu Spa And Wellness - Oahu,Honolulu,HI,aloha@honoluluspaandwellness.com,(808) 232-5626,https://honoluluspaandwellness.com/?utm_source=google_profile&utm_campaign=localo&utm_medium=mainlink,4.9,687,2,1,Micro / owner-operated,Sunday,Vedant,+1-XXX-XXX-XXXX,the time zone thing,"Hey {{ firstname | there }},

Two of you, and you're five to six hours behind most of the mainland. A visitor planning a Honolulu trip emails at 9am their time — which is the middle of your night — and books whoever replies first.

I work on intake and response time for aesthetics practices; most recently a multi-location derm and laser group.

I'd cover those hours: reply immediately, qualify what they want and when they're on-island, book it as pending for you to confirm. 30 days on my cost. If it hasn't put 10 booked appointments on your calendar, no invoice.

Worth 15 minutes? Thursday 9am or Friday 8am HST — reply with either, or {{ Sender Phone }}.

Vedant",121,aloha,"Hey {{ firstname | there }}, quick follow-up. The time-zone gap is the easiest thing I fix. Free for the first month. Thursday?

Vedant",Free 30-day pilot; 10 booked appointments or no payment.,Time-zone / after-hours lead capture in a visitor market,HST puts mainland inquiry peaks outside all staffed hours for a 2-person team.,AI Receptionist / after-hours capture + speed of first response,2 staff; 1 location; closed Sunday; Honolulu HI,7,Workbook flags TZ as 'verify' — confirm HST before send. No claim about actual inquiry volume.
62,A,9/9/2026,2,CT,ThrIVe Drip Spa - The Woodlands,The Woodlands,TX,info@thrivedripspa.com,(281) 343-3747,https://thrivedripspa.com/the-woodlands/?utm_source=GBP&utm_medium=Organic+&utm_campaign=Woodlands&utm_id=GBP,4.9,682,32,,Core (best fit),HOURS NOT IN WORKBOOK - do not claim a closure,Vedant,+1-XXX-XXX-XXXX,drip cadence,"Hey {{ firstname | there }},

IV therapy is one of the few things in aesthetics with a genuine repeat rhythm — people are meant to come back on a cycle, and the business quietly lives or dies on whether they do.

I work on retention and follow-up for aesthetics practices, most recently a multi-location derm and laser group.

I'd start with the people already past their cycle: find everyone overdue with nothing booked, message them referencing what they actually had, book the return. First pass free in the first 30 days. If it doesn't produce 15 booked appointments, you don't pay me.

I run two of these at once. 15 minutes Thursday 1pm or Friday 9:30am CT? {{ Sender Phone }}.

Vedant",123,overdue list,"Hey {{ firstname | there }}, following up once on the overdue-patient pass. Free, and it uses your own data. Thursday or Friday?

Vedant",Free reactivation pass in 30 days; 15 booked appointments or no payment.,Recurring-treatment cadence / overdue recall,"A drip model's economics are return-visit driven, so lapsed cadence is the primary leak.",Patient Reactivation + recurring-treatment reminders,4.9 / 682 reviews; 32 staff; The Woodlands TX; IV/drip service model,7,Hours not in workbook — no closure claimed. No count of overdue patients asserted.
63,A,9/9/2026,3,CT,The Shine Spa,St Louis,MO,contact@theshinespa.com,(314) 499-7199,http://theshinespa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,5,669,,,,Sunday,Vedant,+1-XXX-XXX-XXXX,5.0 across 669,"Hey {{ firstname | there }},

5.0 across 669 reviews. I look at a lot of these lists and that combination shows up maybe twice. It also means your rating is doing serious work for you — right up until Sunday, when whoever it convinced calls a closed line.

I work the intake side for aesthetics practices, most recently a multi-location derm and laser group.

I'd cover Sundays and after-hours: answer, qualify, book as pending for Monday confirmation. Live in 14 days, and I guarantee 20 booked appointments in the first 60 or I keep working unpaid until you get there.

15 minutes Thursday 1pm or Friday 10am CT? Or {{ Sender Phone }}.

Vedant",115,sunday callers,"Hey {{ firstname | there }}, checking in. The 20-appointment guarantee stands. Thursday works on my end if it does on yours.

Vedant",Live in 14 days; 20 booked appointments in 60 days or work continues unpaid.,Closed-day capture protecting an exceptional rating's conversion,A 5.0/669 rating generates callers; a closed Sunday means some of those callers are converted and then lost.,AI Receptionist / closed-day capture,5.0 / 669 reviews; closed Sunday; St Louis MO,7,Staff count blank in workbook — no team-size claim made.
64,A,9/9/2026,4,ET,Plantation Med Spa,Plantation,FL,info@plantationmedspa.com,(954) 595-2607,https://plantationmedspa.com/,4.9,635,,,,Sunday,Vedant,+1-XXX-XXX-XXXX,sunday in plantation,"Hey {{ firstname | there }},

Closed Sundays — which in South Florida is the day people are home, scrolling, and finally deciding to do something about the thing they've been looking at all week.

I do intake and follow-up for aesthetics practices; most recently a multi-location derm and laser group.

I'd put a line on Sunday that answers, works out which treatment they're actually asking about, and books as pending so your team confirms Monday morning to a calendar that's already got something in it. 30 days at my cost — if it hasn't produced 10 booked consults, you don't pay.

Worth 15 minutes? Thursday 2pm or Friday 11am ET, or ring {{ Sender Phone }}.

Vedant",118,monday morning,"Hey {{ firstname | there }}, quick ping. Free for 30 days, and Mondays get easier. Thursday or Friday?

Vedant",Free 30-day pilot; 10 booked consults or no payment.,Closed-day (Sunday) capture,Sunday is a high-intent research day in a consumer aesthetics market and the practice is dark for it.,"AI Receptionist / closed-day capture, booking as pending",4.9 / 635 reviews; closed Sunday; Plantation FL,7,No claim about volume of Sunday inquiries.
65,A,9/9/2026,5,MT,VIVE Med Spa,Denver,CO,info@vivemedspadenver.com,(720) 698-3327,https://www.vivemedspadenver.com/,4.9,622,,,,Tuesday,Vedant,+1-XXX-XXX-XXXX,tuesdays,"Hey {{ firstname | there }},

You're closed Tuesdays, which is more interesting than a weekend closure — nobody expects a med spa to be shut mid-week, so the caller doesn't try again later. They assume you're open, get nothing, and move on.

I work on intake for aesthetics practices; most recently a multi-location derm and laser group.

I'd cover Tuesdays specifically: answer, qualify, book into Wednesday and Thursday as pending. Free for the first 30 days. If it hasn't put 10 booked consults on your calendar, you owe me nothing and that's the end of it.

I take two of these on at a time. 15 minutes Thursday 10am or Friday 1pm MT? {{ Sender Phone }}.

Vedant",119,the tuesday gap,"Hey {{ firstname | there }}, one follow-up. The mid-week closure is the unusual one and the easiest to fill. Free for a month. Thursday?

Vedant",Free 30-day pilot; 10 booked consults or no payment.,Mid-week closed-day capture,A weekday closure is worse than a weekend one because callers don't expect it and don't retry.,AI Receptionist / closed-day capture,4.9 / 622 reviews; closed Tuesday; Denver CO,7,Genuinely differentiated insight — the only Tuesday closure in the list. No retry-rate figure claimed.
66,A,9/9/2026,1,ET,Woodhouse Spa - Summit,Summit,NJ,summit@woodhousespas.com,(908) 608-1120,http://summit.woodhousespas.com/,4.8,614,2500,48,Enterprise / chain,HOURS NOT IN WORKBOOK - do not claim a closure,Vedant,+1-XXX-XXX-XXXX,"summit, not corporate","Hey {{ firstname | there }},

Summit is one of 48. Which means whatever the brand does centrally, the thing that decides whether a local inquiry turns into a booked appointment still happens at your front desk, on your hours, with your people.

I build the intake layer for multi-site aesthetics groups; most recently a multi-location derm and laser group where every site swore it was different.

I'd run it at Summit only: one path for inbound inquiries, qualified and booked into your existing schedule, nothing central to approve. 60 days at my cost. If it doesn't out-book what you're doing now, nothing goes further.

Worth 15 minutes? Thursday 3pm or Friday 9am ET, or {{ Sender Phone }}.

Vedant",120,just summit,"Hey {{ firstname | there }}, following up. This is a Summit-only pilot — no corporate lift required. Thursday or Friday?

Vedant","Summit-only pilot, 60 days at my cost; must out-book current process or it stops.",Single-site pilot inside a franchise footprint,"Franchise location managers control local intake but not central systems, so the offer must fit one site.",AI Receptionist + Booking layered on existing schedule,"4.8 / 614 reviews; 48 locations; 2,500 employees; Summit NJ site",7,Hours not in workbook — no closure claimed. Offer deliberately scoped to what a site manager can authorize.
67,A,9/9/2026,2,ET,Bella Reina Spa,Delray Beach,FL,info@bellareinaspa.com,(561) 404-7670,http://www.bellareinaspa.com/,4.8,599,12,1,Small,Monday,Vedant,+1-XXX-XXX-XXXX,monday mornings,"Hey {{ firstname | there }},

Closed Mondays. So the weekend's worth of people who decided to finally book something all hit your line on the one morning it isn't answered, and by Tuesday half of them have booked elsewhere or lost the impulse.

I work the intake side of aesthetics practices, most recently a multi-location derm and laser group.

I'd cover Monday plus after-hours: answer, work out what they want, book into Tuesday onward as pending for your team. Live in 14 days, and I guarantee 20 booked appointments in the first 60 or I keep working unpaid until you have them.

15 minutes Thursday 11am or Friday 2pm ET? Or {{ Sender Phone }}.

Vedant",117,delray,"Hey {{ firstname | there }}, quick nudge. Monday is the specific gap I'd fix first. Guarantee stands. Thursday?

Vedant",Live in 14 days; 20 booked appointments in 60 days or work continues unpaid.,Monday closure catching the weekend's accumulated intent,"Weekend research converts into Monday calls, which is the one day this practice is dark.",AI Receptionist / closed-day capture,4.8 / 599 reviews; 12 staff; 1 location; closed Monday; Delray Beach FL,7,"Impulse-decay framing is a hypothesis, phrased as such."
68,A,9/9/2026,3,ET,Cell Renew Medical Spa Downtown,Tampa,FL,admin@cellrenewtampa.com,(813) 600-0666,https://www.cellrenewtampa.com/,4.9,591,5,,Micro / owner-operated,Sunday,Vedant,+1-XXX-XXX-XXXX,downtown tampa,"Hey {{ firstname | there }},

Five staff, downtown, closed Sundays. Downtown practices get a particular kind of inquiry — people deciding on their commute or their lunch break, who will not call twice.

I work on intake and response speed for aesthetics practices; most recently a multi-location derm and laser group.

I'd cover Sunday and the hours your five are all in rooms: answer, qualify the treatment interest, book as pending. First 30 days free. If it hasn't produced 10 booked consults, no invoice and no hard feelings.

I only run two at a time. 15 minutes Thursday 1pm or Friday 10am ET? {{ Sender Phone }}.

Vedant",109,tampa,"Hey {{ firstname | there }}, checking in once. Free for 30 days — genuinely nothing to lose on it. Thursday or Friday?

Vedant",Free 30-day pilot; 10 booked consults or no payment.,"Closed-day + in-treatment capture, downtown market",A 5-person downtown practice loses one-shot inquiries during treatment hours and on Sundays.,AI Receptionist / overflow + closed-day capture,4.9 / 591 reviews; 5 staff; closed Sunday; downtown Tampa FL,7,"'Will not call twice' framed as a characteristic of the market, not a measured fact."
69,A,9/9/2026,4,ET,Boss Gal Beauty Bar - Clintonville,Columbus,OH,booking@bossgalbeautybar.com,(614) 820-5178,https://www.bossgalbeautybar.com/contact/clintonville-spa/,4.9,568,31,5,Core (best fit),HOURS NOT IN WORKBOOK - do not claim a closure,Vedant,+1-XXX-XXX-XXXX,clintonville vs the other four,"Hey {{ firstname | there }},

Five locations. So somebody who wants Clintonville specifically has to know that, find the right number, and reach it — and if they don't, the booking either goes to the wrong site or nowhere.

I do intake and routing for multi-site aesthetics practices; built this for a multi-location derm and laser group.

I'd put one path in front of all five: work out where they are and what they want, book them at the right site in your existing system. Live in 30 days. I guarantee 25 booked appointments across the group in the first 60, or I work unpaid until you have them.

Worth 15 minutes? Thursday 2pm or Friday 9:30am ET, or {{ Sender Phone }}.

Vedant",125,five sites,"Hey {{ firstname | there }}, following up on the routing piece. 15 minutes and you'll know if it's useful. Thursday?

Vedant",Live in 30 days; 25 booked appointments across 5 sites in 60 days or work continues unpaid.,Multi-location routing,Five sites on one brand means site-selection friction sits between the inquiry and the booking.,Booking + routing layer over existing scheduling,4.9 / 568 reviews; 31 staff; 5 locations; Columbus OH,7,Hours not in workbook — no closure claimed.
70,A,9/9/2026,5,CT,Viva La Med Spa,Chicago,IL,info@vivalamedspa.com,(312) 971-5915,http://vivalamedspa.com/,4.8,545,22,,Core (best fit),HOURS NOT IN WORKBOOK - do not claim a closure,Vedant,+1-XXX-XXX-XXXX,who picks up,"Hey {{ firstname | there }},

22 people and one location. At that size the phone usually still belongs to whoever happens to be closest to it, which means the quality of a new inquiry's first two minutes depends entirely on who that was.

I build the intake layer for aesthetics practices; most recently a multi-location derm and laser group.

I'd make that first two minutes the same every time — same questions, same qualification, same path into your calendar — running alongside your team, not instead of it. Live in 30 days, and I guarantee 20 booked appointments in the first 60 or I work unpaid until you have them.

15 minutes Thursday 1pm or Friday 11am CT? Or {{ Sender Phone }}.

Vedant",125,chicago,"Hey {{ firstname | there }}, one ping. The consistency piece is the whole pitch — 15 minutes is enough to judge it. Thursday?

Vedant",Live in 30 days; 20 booked appointments in 60 days or work continues unpaid.,Intake consistency across a mid-size team,"With 22 staff and no dedicated intake owner, first-response quality varies by whoever answers.",Lead Qualification standardized in front of existing booking,4.8 / 545 reviews; 22 staff; Chicago IL,7,"Hours not in workbook — no closure claimed. Team-behaviour framing is hypothesis, not asserted."
71,A,9/9/2026,1,PT,Cocoon Day Spa San Francisco - Soma,San Francisco,CA,soma@cocoondayspa.com,(415) 894-0782,https://cocoondayspa.com/soma/?utm_source=Local+Flow+Marketing_GBP&utm_medium=organic&utm_campaign=Cocoon-Soma-GBP,4.8,517,18,,Core (best fit),HOURS NOT IN WORKBOOK - do not claim a closure,Vedant,+1-XXX-XXX-XXXX,soma,"Hey {{ firstname | there }},

SoMa means your inquiry pattern is shaped by other people's workdays — messages land at 8am, at lunch, and after 6, which is precisely when your 18 people are either not in yet or mid-service.

I work the intake side for aesthetics practices; most recently a multi-location derm and laser group.

I'd cover those edges: answer immediately, qualify what they're after, book into your existing calendar as pending. First 30 days at my cost — if it hasn't put 12 booked appointments on the books, you don't pay.

I take on two at a time. 15 minutes Thursday 11am or Friday 9am PT? {{ Sender Phone }}.

Vedant",114,the 6pm window,"Hey {{ firstname | there }}, quick follow-up. The commuter-hours gap is the specific thing I'd cover. Free month. Thursday or Friday?

Vedant",Free 30-day pilot; 12 booked appointments or no payment.,Commuter-hours inquiry capture,An office-district location receives inquiries on office rhythms that don't match service-floor availability.,AI Receptionist / edge-hours capture + booking,"4.8 / 517 reviews; 18 staff; SoMa, San Francisco CA",7,Hours not in workbook — no closure claimed; framed around staff availability instead.
72,A,9/9/2026,2,PT,NakedMD Med Spa Carlsbad,Carlsbad,CA,concierge@nakedmd.com,(760) 683-8360,https://www.nakedmd.com/pages/locations-carlsbad,4.9,508,150,40,Enterprise / chain,Sunday,Vedant,+1-XXX-XXX-XXXX,"40 locations, one sunday","Hey {{ firstname | there }},

40 locations, every one of them closed Sunday. That's roughly 2,000 site-days a year where a national brand's demand arrives and finds nothing — and Carlsbad carries its share of it.

I build intake for multi-site aesthetics groups; most recently a multi-location derm and laser group.

I'd prove it at Carlsbad before anyone talks about a rollout: Sunday and after-hours coverage, qualified, booked into your existing system as pending. 60 days at my cost. If Carlsbad doesn't out-book its own baseline, nothing goes to the other 39 and you've spent nothing.

Worth 15 minutes? Thursday 10am or Friday 1pm PT, or {{ Sender Phone }}.

Vedant",112,carlsbad first,"Hey {{ firstname | there }}, following up. One site, 60 days, my cost — that's the whole ask. Thursday?

Vedant","Carlsbad-only pilot, 60 days at my cost; must beat its own baseline or no rollout.",Single-site proof inside a 40-location footprint,"40 sites × one closed day compounds into a large structural coverage gap, but the sale starts at one site.","AI Receptionist / closed-day capture, pilot-scoped",4.9 / 508 reviews; 150 employees; 40 locations; closed Sunday; Carlsbad CA,7,"2,000 site-days is arithmetic from workbook facts (40 × ~52), not an invented performance claim."
