row,tier,tier_reason,business_name,display_name,city,state,email,website,phone,rating,review_count,closed_days,open_days_count,signal_used,subject,first_line,spam_flags
13,C,"corporate domain does not match website, verify before send",AJC Medical Aesthetics,AJC,Raleigh,NC,indira@ajcmedical.com,http://www.raleighajcmedical.com/,(984) 200-1571,4.8,120,Sunday,6,sunday_closed,sunday calls,Noticed Sundays are dark on your listing.,
14,A,email domain matches clinic website,"All About Aesthetics, P.C.",All About Aesthetics,Raleigh,NC,contact@allaboutaesthetics.com,https://www.allaboutaesthetics.com/,(919) 845-0333,4.8,140,Saturday;Sunday,5,full_weekend_closed,weekend calls,"Saturday and Sunday both read closed on your listing, which is when a lot of aesthetic searches happen.",
15,A,email domain matches clinic website,Allure Medical,Allure,Charlotte,NC,info@alluremedical.com,https://www.alluremedical.com/locations/charlotte-nc/?utm_source=gmb&utm_medium=gmb&utm_campaign=gmbcharlottenc,(888) 269-3209,4.5,299,Sunday,6,weekend_gap_high_demand,sunday calls,"Your listing shows Sundays closed, which is the same window most of those 299 reviewers are scrolling.",
16,A,email domain matches clinic website,Aloha Aesthetics FL,Aloha Aesthetics FL,Orlando,FL,theteam@alohaaestheticsfl.com,https://www.alohaaestheticsfl.com/,(407) 606-4003,5.0,103,Monday;Wednesday;Saturday;Sunday,3,full_weekend_closed,weekend calls,"Weekends show closed on your Google profile, Saturday and Sunday.",
17,SUPPRESS,"scraper placeholder, would hard bounce",Altered Aesthetics Cosmetic Tattoo & Beauty Studio,Altered Aesthetics Cosmetic Tattoo & Beauty Studio,Raleigh,NC,user@domain.com,http://www.alteredaesthetics.com/,(919) 916-5686,5.0,472,Sunday,6,,,,
18,A,email domain matches clinic website,Anca Aesthetics Spa,Anca Aesthetics Spa,Boston,MA,anca@ancaestheticspa.com,https://www.ancaestheticspa.com/,(617) 229-6114,5.0,134,Sunday,6,sunday_closed,sunday calls,"Sunday reads closed on the listing, which tends to be a heavy browsing day for injectables.",
19,B,"free provider, real but likely personal",Angel Aesthetics Med Spa,Angel Aesthetics,Orlando,FL,angelaestheticsmedspa@gmail.com,http://www.aamedspas.com/,(407) 405-6074,5.0,217,Monday;Sunday,5,weekend_gap_high_demand,sunday calls,"5.0 across 217 reviews, and the calendar still shows Sunday dark.",
20,C,"corporate domain does not match website, verify before send",Ann Webb Skin Clinic,Ann Webb Skin Clinic,Austin,TX,admissions@annwebbskininstitute.com,http://www.awskinclinic.com/,(512) 795-0145,4.8,351,,7,high_volume_phone_load,front desk,351 reviews at 4.8 is a lot of traffic running through one front desk.,
21,SUPPRESS,"scraper placeholder, would hard bounce","Artavi Med Spa- Dr. Tarina Desai, MD","Artavi Med Spa- Dr. Tarina Desai, MD",Houston,TX,user@domain.com,http://www.artavimedspa.com/,(832) 649-7266,4.8,256,Saturday;Sunday,5,,,,
22,A,email domain matches clinic website,Athena Med Spa and Salon,Athena Med Spa and Salon,West Palm Beach,FL,admin@athenamedspaandsalon.com,https://www.athenamedspaandsalon.com/locations/west-palm-beach/,(561) 833-7611,4.9,323,Sunday,6,weekend_gap_high_demand,sunday calls,"4.9 across 323 reviews, and the calendar still shows Sunday dark.",
23,B,"free provider, real but likely personal",Atlanta MediSpa & Surgery Center,Atlanta MediSpa & Surgery Center,Atlanta,GA,info.djatkinsmd@gmail.com,http://www.atlantamedispa.com/,(678) 213-2220,4.8,167,Sunday,6,weekend_gap_high_demand,sunday calls,"167 Google reviews at 4.8 says the demand around Atlanta is already there, and the listing has you closed Sundays.",
24,A,email domain matches clinic website,Atrium Health Plastic & Reconstructive Surgery,Atrium Health Plastic & Reconstructive Surgery,Charlotte,NC,chfoundation@atriumhealth.org,https://atriumhealth.org/locations/detail/atrium-health-plastic-and-reconstructive-surgery-charlotte?utm_source=GMB&utm_medium=Organic&utm_campaign=GCR,(704) 446-6810,4.6,100,Saturday;Sunday,5,full_weekend_closed,weekend calls,The listing has Atrium Health Plastic & Reconstructive Surgery dark both weekend days.,
25,SUPPRESS,"scraper placeholder, would hard bounce",Aura Aesthetics,Aura Aesthetics,Portland,OR,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://aurapdx.com/,(971) 314-9331,4.9,452,Monday;Saturday;Sunday,4,,,,
26,C,"corporate domain does not match website, verify before send",AYA Medical Spa Buckhead,AYA Medical Spa Buckhead,Atlanta,GA,info@revivalhealthrx.com,https://ayaskin.com/locations/buckhead-medspa?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=georgia-buckhead,(678) 679-5125,4.9,122,,7,service_breadth,pricing questions,"facials, laser hair removal and skin care under one roof is a wide menu for one phone line.",
27,SUPPRESS,duplicate of row 26 (multi-location chain),AYA Medical Spa Colony Square - Midtown,AYA Medical Spa Colony Square,Atlanta,GA,info@revivalhealthrx.com,https://ayaskin.com/locations/colony-square-medspa?utm_campaign=gmb&utm_medium=organic&utm_source=googlemybusiness,(470) 968-6035,4.8,212,Sunday,6,,,,
28,A,email domain matches clinic website,Barr Aesthetics,Barr Aesthetics,Salt Lake City,UT,info@barraesthetics.com,http://barraesthetics.com/,(801) 532-0204,4.7,167,Saturday;Sunday,5,weekend_gap_high_demand,sunday calls,"4.7 across 167 reviews, and the calendar still shows Sunday dark.",
29,B,"free provider, real but likely personal",BEAUTY AND GLAMOUR MED SPA PLLC,Beauty And Glamour Med Spa,Detroit,MI,beautyandglamourmedspa@gmail.com,http://www.beautyandglamourmedspa.com/,(248) 592-7385,5.0,311,Monday;Sunday,5,weekend_gap_high_demand,sunday calls,"311 Google reviews at 5.0 says the demand around Detroit is already there, and the listing has you closed Sundays.",
30,A,email domain matches clinic website,Beauty Lab + Laser Med Spa | Murray,Beauty Lab + Laser Med Spa | Murray,Salt Lake City,UT,info@beautylablaser.com,https://beautylablaser.com/locations/murray-beauty-lab-laser/,(801) 675-8954,4.9,3701,,7,high_volume_phone_load,front desk,4.9 across 3701 reviews suggests the phone rarely stops.,
31,A,email domain matches clinic website,BeautyCo,BeautyCo,Raleigh,NC,hello@beautycoraleigh.com,http://beautycoraleigh.com/,(984) 222-0026,4.9,337,Saturday;Sunday,5,weekend_gap_high_demand,sunday calls,"4.9 across 337 reviews, and the calendar still shows Sunday dark.",
32,A,email domain matches clinic website,Bella Medspa,Bella,Philadelphia,PA,info@bellamedspaonline.com,https://bellamedspaonline.com/laser-hair-removal/philadelphia/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-listing-philly,(267) 639-2091,4.6,200,Sunday,6,weekend_gap_high_demand,sunday calls,"200 Google reviews at 4.6 says the demand around Philadelphia is already there, and the listing has you closed Sundays.",
33,SUPPRESS,"vendor or agency address, not the clinic",Belladerma Cosmetic Surgery & Skin Care Center,Belladerma Cosmetic Surgery & Skin Care Center,San Diego,CA,accessibility@redspotinteractive.com,https://www.belladerma.com/?utm_source=google&utm_medium=gmb&utm_campaign=listing,(858) 453-8484,4.9,326,Saturday;Sunday,5,,,,
34,B,"free provider, real but likely personal",BeRejuved Medical Spa & Wellness Studio - NYC,BeRejuved Medical Spa & Wellness Studio,New York,NY,berejuved@gmail.com,https://berejuvednyc.zoca.com/?utm_source=googlemaps&utm_medium=googlemaps&utm_campaign=googlemaps,(646) 992-2122,4.9,671,,7,high_volume_phone_load,front desk,671 reviews is real volume for a single location.,
35,A,email domain matches clinic website,Better Med Spa & Wellness,Better Med Spa & Wellness,Chicago,IL,hello@bettermedspa.com,https://www.bettermedspa.com/,(312) 285-2618,4.7,156,,7,service_breadth,pricing questions,"facials, laser hair removal and skin care under one roof is a wide menu for one phone line.",
36,A,email domain matches clinic website,Beverly Hills Beauty & Aesthetics,Beverly Hills Beauty & Aesthetics,Beverly Hills,CA,hello@beverlyhillsbeauty.com,http://www.beverlyhillsbeauty.com/,(310) 367-3024,4.9,101,,7,rating_floor,front desk,Holding 4.9 stars says the chair-side work is dialed in.,
37,C,"corporate domain does not match website, verify before send",Beverly Hills Plaza Medi Spa and Wellness,Beverly Hills Plaza Medi Spa and Wellness,Beverly Hills,CA,drlawrence@allenlawrencemd.com,https://plazamedspa.com/,(626) 230-4051,4.1,211,,7,rating_floor,front desk,4.1 on Google puts you above most of the field.,
38,SUPPRESS,"scraper placeholder, would hard bounce",Beverly Hills Wellness Center & Med Spa,Beverly Hills Wellness Center,West Palm Beach,FL,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://beverlyhillsmedispa.com/,(561) 318-5367,5.0,621,Sunday,6,,,,
39,A,email domain matches clinic website,Beverly Wilshire Aesthetics Beverly Hills Medical Spa,Beverly Wilshire Aesthetics Beverly Hills,Beverly Hills,CA,info@bwaesthetics.com,https://www.bwaesthetics.com/medical-spa-beverly-hills/?utm_source=GBP&utm_medium=organic,(424) 453-5340,5.0,148,Saturday,6,rating_floor,front desk,Holding 5.0 stars says the chair-side work is dialed in.,
40,SUPPRESS,"scraper placeholder, would hard bounce",Bloom Aesthetics,Bloom Aesthetics,Orlando,FL,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://www.bloomaestheticsfl.com/,(407) 465-1995,4.7,559,Monday;Sunday,5,,,,
41,A,email domain matches clinic website,Body Beautiful Day and Med Spa,Body Beautiful Day,Phoenix,AZ,customercare@bodybeautifulspa.net,https://bodybeautifulspa.net/,(602) 522-9222,4.6,194,Sunday,6,weekend_gap_high_demand,sunday calls,"194 Google reviews at 4.6 says the demand around Phoenix is already there, and the listing has you closed Sundays.",
42,A,email domain matches clinic website,Boss Gal Beauty Bar - Clintonville,Boss Gal Beauty Bar,Columbus,OH,booking@bossgalbeautybar.com,https://www.bossgalbeautybar.com/contact/clintonville-spa/,(614) 820-5178,4.9,568,,7,high_volume_phone_load,front desk,4.9 across 568 reviews suggests the phone rarely stops.,
43,A,email domain matches clinic website,Boston Medical Aesthetics,Boston,Boston,MA,info@bostonmedicalaesthetics.net,https://www.bostonmedicalaesthetics.net/?utm_source=gmb&utm_medium=organic,(617) 973-9700,4.9,287,Sunday,6,weekend_gap_high_demand,sunday calls,"4.9 across 287 reviews, and the calendar still shows Sunday dark.",
44,A,email domain matches clinic website,Brilliance Aesthetics & Injectables Med Spa,Brilliance Aesthetics & Injectables,Washington,DC,office@brillianceorchardpark.com,http://brillianceorchardpark.com/,(716) 508-4490,5.0,169,,7,rating_floor,front desk,5.0 on Google in Washington is a hard number to hold.,
45,A,email domain matches clinic website,California Cosmetics,California Cosmetics,Newport Beach,CA,info@californiacosmetics.com,https://californiacosmetics.com/?utm_source=google&utm_medium=local&utm_campaign=newportbeach-practice-website,(855) 977-1982,4.8,161,Sunday,6,weekend_gap_high_demand,sunday calls,"Your listing shows Sundays closed, which is the same window most of those 161 reviewers are scrolling.",
46,A,email domain matches clinic website,"Capizzi, MD Cosmetic Surgery & Med Spa in Charlotte NC","Capizzi, MD Cosmetic Surgery & Med Spa in Charlotte NC",Charlotte,NC,frontdesk@capizzimd.com,https://capizzimd.com/,(704) 655-8988,4.8,649,Saturday;Sunday,5,weekend_gap_high_demand,sunday calls,"4.8 across 649 reviews, and the calendar still shows Sunday dark.",
47,A,email domain matches clinic website,Cell Renew Medical Spa Downtown,Cell Renew Medical Spa Downtown,Tampa,FL,admin@cellrenewtampa.com,https://www.cellrenewtampa.com/,(813) 600-0666,4.9,591,Sunday,6,weekend_gap_high_demand,sunday calls,"591 Google reviews at 4.9 says the demand around Tampa is already there, and the listing has you closed Sundays.",
48,C,"corporate domain does not match website, verify before send",Center For Aesthetic Medicine,Center For Aesthetic,Las Vegas,NV,info@camhplv.com,https://www.centerforaestheticmedicine.com/,(702) 333-4896,4.8,135,Saturday;Sunday,5,full_weekend_closed,weekend calls,The listing has Center For Aesthetic dark both weekend days.,
49,A,email domain matches clinic website,Charlotte Plastic Surgery,Charlotte Plastic Surgery,Charlotte,NC,info@charlotteplasticsurgery.com,https://www.charlotteplasticsurgery.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=uptown,(704) 372-6846,4.7,245,Saturday;Sunday,5,weekend_gap_high_demand,sunday calls,"4.7 across 245 reviews, and the calendar still shows Sunday dark.",
50,A,email domain matches clinic website,Cherry Medical Aesthetics,Cherry,Denver,CO,reception@cherrymedispa.com,https://cherrymedispa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(720) 479-8793,4.9,279,Sunday,6,weekend_gap_high_demand,sunday calls,"279 Google reviews at 4.9 says the demand around Denver is already there, and the listing has you closed Sundays.",
51,B,"free provider, real but likely personal",Chic la Vie,Chic la Vie,Las Vegas,NV,chiclavielasvegas@gmail.com,https://chiclavie.com/,(702) 233-8535,4.8,436,Saturday;Sunday,5,weekend_gap_high_demand,sunday calls,"Your listing shows Sundays closed, which is the same window most of those 436 reviewers are scrolling.",
52,SUPPRESS,"scraper placeholder, would hard bounce",Cienega Medical,Cienega,Los Angeles,CA,you@email.com,https://cienegaspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-los-angeles,(310) 928-1300,4.7,758,,7,,,,
53,SUPPRESS,"scraper placeholder, would hard bounce",Clinic Ellena Health + Wellness,Clinic Ellena Health + Wellness,Minneapolis,MN,user@domain.com,https://www.ellenaaesthetics.com/,(952) 500-0577,5.0,246,Sunday,6,,,,
54,A,email domain matches clinic website,CMA - Center for Modern Aesthetic Medicine,Cma,Jacksonville,FL,info@cmamedicine.com,https://cmamedicine.com/?utm_source=gbp,(904) 772-5828,4.8,250,Saturday;Sunday,5,weekend_gap_high_demand,sunday calls,"Your listing shows Sundays closed, which is the same window most of those 250 reviewers are scrolling.",
55,A,email domain matches clinic website,Cocoon Day Spa San Francisco - Soma,Cocoon Day Spa San Francisco,San Francisco,CA,soma@cocoondayspa.com,https://cocoondayspa.com/soma/?utm_source=Local+Flow+Marketing_GBP&utm_medium=organic&utm_campaign=Cocoon-Soma-GBP,(415) 894-0782,4.8,517,,7,high_volume_phone_load,front desk,517 reviews is real volume for a single location.,
56,A,email domain matches clinic website,Complexion Nashville,Complexion Nashville,Nashville,TN,info@complexionnashville.com,http://www.complexionnashville.com/,(615) 757-8060,5.0,231,Saturday;Sunday,5,weekend_gap_high_demand,sunday calls,"231 Google reviews at 5.0 says the demand around Nashville is already there, and the listing has you closed Sundays.",
57,B,"free provider, real but likely personal",Concierge Cosmetics & Aesthetics,Concierge Cosmetics & Aesthetics,Jacksonville,FL,conciergecosmeticsjax@gmail.com,https://conciergecosmeticsandaesthetics.com/,(904) 402-4255,4.9,177,Sunday,6,weekend_gap_high_demand,sunday calls,"Your listing shows Sundays closed, which is the same window most of those 177 reviewers are scrolling.",
58,A,email domain matches clinic website,Cosmetica,Cosmetica,Boca Raton,FL,contact@cosmeticamedspa.com,https://cosmeticamedspa.com/?utm_campaign=gmb&utm_medium=gbpinfo&utm_source=googlebusinessprofile,(561) 621-1156,4.8,1335,,7,high_volume_phone_load,front desk,1335 reviews is real volume for a single location.,
59,B,"free provider, real but likely personal","Cosmetiq Med Spa - Portland Botox, Filler & Laser",Cosmetiq,Portland,OR,cosmetiqmedicine@gmail.com,https://cosmetiqmedicine.com/,(503) 572-2675,4.8,376,Monday;Sunday,5,weekend_gap_high_demand,sunday calls,"376 Google reviews at 4.8 says the demand around Portland is already there, and the listing has you closed Sundays.",
60,A,email domain matches clinic website,Couture Medical,Couture,Las Vegas,NV,info@couturemedical.com,https://couturemedical.com/,(702) 608-9505,4.8,1134,Saturday;Sunday,5,weekend_gap_high_demand,sunday calls,"Your listing shows Sundays closed, which is the same window most of those 1134 reviewers are scrolling.",
61,A,email domain matches clinic website,Curiva Med Spa,Curiva,Los Angeles,CA,hello@curivamedspa.com,https://www.curivamedspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,(424) 722-9250,4.9,103,Saturday;Sunday,5,full_weekend_closed,weekend calls,"Weekends show closed on your Google profile, Saturday and Sunday.",
62,SUPPRESS,"scraper placeholder, would hard bounce",Dermagen spa,Dermagen spa,Boca Raton,FL,you@example.com,https://dermagenspa.com/,(561) 576-5152,4.8,329,,7,,,,
63,A,email domain matches clinic website,dermani MEDSPAÂ® Buckhead,dermani MEDSPAÂ® Buckhead,Atlanta,GA,buckhead@dermanimedspa.com,https://dermanimedspa.com/buckhead-atlanta-ga/,(770) 847-8230,4.7,430,Sunday,6,weekend_gap_high_demand,sunday calls,"Your listing shows Sundays closed, which is the same window most of those 430 reviewers are scrolling.",
64,SUPPRESS,"scraper placeholder, would hard bounce",DERMASPACE,Dermaspace,Seattle,WA,user@domain.com,http://www.dermaspace.com/,(206) 849-6620,4.6,118,Monday,6,,,,
65,C,"corporate domain does not match website, verify before send",DHH Med Spa,DHH,Scottsdale,AZ,john@doe.com,https://dhhmedspa.com/,(480) 336-4195,4.9,246,Monday;Friday;Saturday;Sunday,3,weekend_gap_high_demand,sunday calls,"246 Google reviews at 4.9 says the demand around Scottsdale is already there, and the listing has you closed Sundays.",
66,A,email domain matches clinic website,Dr. Cynthia Diehl,Dr. Cynthia Diehl,Raleigh,NC,frontdesk@diehlplastics.com,https://diehlplastics.com/,(919) 381-5540,4.8,166,Saturday;Sunday,5,weekend_gap_high_demand,sunday calls,"Your listing shows Sundays closed, which is the same window most of those 166 reviewers are scrolling.",
67,C,"corporate domain does not match website, verify before send",Ease Spa Wellness,Ease Spa Wellness,New York,NY,info@easeacupuncture.com,http://www.easespawellness.com/,(212) 625-8966,4.7,219,Sunday,6,weekend_gap_high_demand,sunday calls,"4.7 across 219 reviews, and the calendar still shows Sunday dark.",
68,A,email domain matches clinic website,ElaMar Nashville,ElaMar Nashville,Nashville,TN,nashville@elamarskin.com,https://elamarskin.com/locations/elamar-nashville-tn/,(615) 235-9225,5.0,659,Saturday;Sunday,5,weekend_gap_high_demand,sunday calls,"659 Google reviews at 5.0 says the demand around Nashville is already there, and the listing has you closed Sundays.",
69,A,email domain matches clinic website,Elase Medical Spa - South Tampa,Elase,Tampa,FL,southtampa@elase.com,https://elase.com/locations/south-tampa/?UTM_source=GMB_listing&UTM_medium=organic&utm_campaign=southtampa,(813) 921-8770,4.9,167,Sunday,6,weekend_gap_high_demand,sunday calls,"Your listing shows Sundays closed, which is the same window most of those 167 reviewers are scrolling.",
70,A,email domain matches clinic website,Elase Medical Spa - Sugarhouse,Elase,Salt Lake City,UT,sugarhouse@elase.com,https://elase.com/locations/sugar-house/?UTM_source=GMB_listing&UTM_medium=organic&utm_campaign=SugarHouse,(801) 253-6474,4.9,1556,Sunday,6,weekend_gap_high_demand,sunday calls,"4.9 across 1556 reviews, and the calendar still shows Sunday dark.",
71,B,"free provider, real but likely personal",ELin Medical office,ELin Medical office,Beverly Hills,CA,elinmedicalspa@gmail.com,https://elinmedicalspa.com/,(424) 253-4516,4.7,153,,7,rating_floor,front desk,4.7 on Google in Beverly Hills is a hard number to hold.,
72,A,email domain matches clinic website,Elisiano Dermatology & Aesthetics - South Boston,Elisiano Dermatology & Aesthetics,Boston,MA,hello@elisianodermatology.com,https://elisianodermatology.com/,(617) 615-6698,5.0,107,Saturday;Sunday,5,full_weekend_closed,weekend calls,The listing has Elisiano Dermatology & Aesthetics dark both weekend days.,
73,A,email domain matches clinic website,Elixir Aesthetics,Elixir Aesthetics,Tampa,FL,hello@elixiraestheticsmedspa.com,https://www.elixiraestheticsmedspa.com/?utm_source=gbp&utm_medium=organic&utm_campaign=profile,(813) 219-1876,5.0,119,Sunday,6,sunday_closed,sunday calls,Noticed Sundays are dark on your listing.,
74,A,email domain matches clinic website,ELLEMES Medical Spa,ELLEMES,Atlanta,GA,info@ellemesmedspa.com,https://ellemesmedspa.com/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile,(470) 222-6581,4.9,444,Sunday,6,weekend_gap_high_demand,sunday calls,"444 Google reviews at 4.9 says the demand around Atlanta is already there, and the listing has you closed Sundays.",
75,A,email domain matches clinic website,Enigma Plastic Surgery,Enigma Plastic Surgery,Philadelphia,PA,info@enigmamedispa.com,http://enigmamedispa.com/,(215) 717-7117,4.8,270,Monday;Saturday;Sunday,4,weekend_gap_high_demand,sunday calls,"Your listing shows Sundays closed, which is the same window most of those 270 reviewers are scrolling.",
76,A,email domain matches clinic website,Essence Medspa & Wellness Center,Essence Medspa & Wellness Center,Chicago,IL,keepcalm@essence-medspa.com,http://www.essence-medspa.com/,(773) 763-1212,4.9,578,Monday;Sunday,5,weekend_gap_high_demand,sunday calls,"4.9 across 578 reviews, and the calendar still shows Sunday dark.",
77,A,email domain matches clinic website,Essential Aesthetics & Health,Essential Aesthetics & Health,Fort Lauderdale,FL,info@essentialaestheticsfl.com,https://www.essentialaestheticsfl.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(754) 778-7375,5.0,159,Sunday,6,weekend_gap_high_demand,sunday calls,"159 Google reviews at 5.0 says the demand around Fort Lauderdale is already there, and the listing has you closed Sundays.",
78,A,email domain matches clinic website,Esthetics Center Sacramento,Esthetics Center Sacramento,Sacramento,CA,info@estheticscenter.com,https://www.estheticscenter.com/locations/sacramento?utm_source=google&utm_medium=organic&utm_campaign=gbpSacramento&utm_content=website,(916) 259-9971,4.9,777,Sunday,6,weekend_gap_high_demand,sunday calls,"Your listing shows Sundays closed, which is the same window most of those 777 reviewers are scrolling.",
79,B,"free provider, real but likely personal",Evolving Aesthetics,Evolving Aesthetics,Orlando,FL,helloevolvingaesthetics@gmail.com,https://www.evolvingaesthetics.com/,(407) 784-4022,5.0,589,Sunday,6,weekend_gap_high_demand,sunday calls,"5.0 across 589 reviews, and the calendar still shows Sunday dark.",
80,C,"corporate domain does not match website, verify before send",Forever Beauty Med Spa,Forever Beauty,Salt Lake City,UT,seo.loginuser@growth99.com,http://foreverbeautyspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(385) 666-8656,4.9,414,Sunday,6,weekend_gap_high_demand,sunday calls,"414 Google reviews at 4.9 says the demand around Salt Lake City is already there, and the listing has you closed Sundays.",
81,A,email domain matches clinic website,Forever Young Aesthetics,Forever Young Aesthetics,Seattle,WA,youngtran@foreveryoungtranaesthetics.com,https://foreveryoungtranaesthetics.com/?utm_source=google&utm_medium=local&utm_campaign=GBP,(206) 486-0753,5.0,238,,7,service_breadth,pricing questions,Running laser hair removal alongside skin care means a lot of different pricing questions.,
82,A,email domain matches clinic website,Gateway Aesthetic Institute and Laser Center,Gateway Aesthetic Institute and Laser Center,Salt Lake City,UT,info@gatewaylasercenter.com,http://gatewaylasercenter.com/?utm_medium=local&utm_source=google&utm_campaign=yext&y_source=1_MTAwNDMwNjQxMi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,(801) 595-1600,4.4,310,Saturday;Sunday,5,weekend_gap_high_demand,sunday calls,"4.4 across 310 reviews, and the calendar still shows Sunday dark.",
83,SUPPRESS,"scraper placeholder, would hard bounce",Gene Lee Skin Clinic,Gene Lee Skin Clinic,San Diego,CA,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,http://geneleeskinclinic.com/,(707) 533-4363,5.0,220,,7,,,,
84,B,"free provider, real but likely personal",Glo Med Spa Austin,Glo Med Spa Austin,Austin,TX,info.glomedspaaustin@gmail.com,https://www.glomedspaaustin.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(512) 336-7546,4.6,121,Saturday;Sunday,5,full_weekend_closed,weekend calls,The listing has Glo Med Spa Austin dark both weekend days.,
85,A,email domain matches clinic website,GLO30 St Louis Central West End,GLO30 St Louis Central West End,St Louis,MO,franchise@glo30.com,https://glo30.com/central-west-end/,(314) 582-4557,4.9,152,Sunday,6,weekend_gap_high_demand,sunday calls,"4.9 across 152 reviews, and the calendar still shows Sunday dark.",
86,A,email domain matches clinic website,Glow Medical Aesthetics,Glow,Houston,TX,info@glowhouston.com,https://www.glowhouston.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=Glow-Medical-Aesthetics&utm_content=website,(713) 338-9577,4.9,238,Saturday;Sunday,5,weekend_gap_high_demand,sunday calls,"238 Google reviews at 4.9 says the demand around Houston is already there, and the listing has you closed Sundays.",
