row,tier,tier_reason,business_name,display_name,city,state,email,website,phone,rating,review_count,closed_days,open_days_count,signal_used,subject,first_line,spam_flags
79,B,"free provider, real but likely personal",Evolving Aesthetics,Evolving Aesthetics,Orlando,FL,helloevolvingaesthetics@gmail.com,https://www.evolvingaesthetics.com/,(407) 784-4022,5.0,589,Sunday,6,weekend_gap_high_demand,sunday calls,"5.0 across 589 reviews, and the calendar still shows Sunday dark.",
84,B,"free provider, real but likely personal",Glo Med Spa Austin,Glo Med Spa Austin,Austin,TX,info.glomedspaaustin@gmail.com,https://www.glomedspaaustin.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(512) 336-7546,4.6,121,Saturday;Sunday,5,full_weekend_closed,weekend calls,The listing has Glo Med Spa Austin dark both weekend days.,
89,B,"free provider, real but likely personal",glowU Med Spa,glowU,Boca Raton,FL,glowumedspa@gmail.com,https://glowumedspa.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=profile-website,(561) 896-1156,4.9,100,Monday;Sunday,5,sunday_closed,sunday calls,Your Google hours show Sundays closed in Boca Raton.,
126,B,"free provider, real but likely personal",Medical Cosmetic Liposuction Washington,Cosmetic Liposuction Washington,Washington,DC,mcelaser@gmail.com,http://www.medicalcosmetic.org/,(202) 621-8675,4.5,239,Saturday;Sunday,5,weekend_gap_high_demand,sunday calls,"Your listing shows Sundays closed, which is the same window most of those 239 reviewers are scrolling.",
150,B,"free provider, real but likely personal",New U Natural Beauty,New U Natural Beauty,Las Vegas,NV,newunaturalbeauty@gmail.com,http://www.newulasvegas.com/,(702) 257-6398,4.7,521,Sunday,6,weekend_gap_high_demand,sunday calls,"Your listing shows Sundays closed, which is the same window most of those 521 reviewers are scrolling.",
156,B,"free provider, real but likely personal",Nucell Skin Medspa,Nucell Skin,San Jose,CA,nucellskinsolution@yahoo.com,https://nucellskinmedicalspa.com/,(408) 303-0168,4.8,266,Wednesday,6,service_breadth,pricing questions,Running skin care alongside hair removal means a lot of different pricing questions.,
165,B,"free provider, real but likely personal",Premier Medical Spa,Premier,Jacksonville,FL,premiermedicalspa@yahoo.com,https://premiermedicalspa.com/,(904) 955-0605,4.5,120,,0,rating_floor,front desk,Holding 4.5 stars says the chair-side work is dialed in.,
185,B,"free provider, real but likely personal",SAFI MIRAN Las Vegas Laser & Rejuvenation Center,SAFI MIRAN Las Vegas Laser & Rejuvenation Center,Las Vegas,NV,20safimiranbeauty@gmail.com,http://safimiran.com/,(702) 347-0103,4.9,138,Saturday;Sunday,5,full_weekend_closed,weekend calls,"Saturday and Sunday both read closed on your listing, which is when a lot of aesthetic searches happen.",
189,B,"free provider, real but likely personal","Sani Aesthetics Medical Spa San Jose - Omeed Sani, MD",Sani Aesthetics Medical Spa San Jose,San Jose,CA,drsaniaesthetics@gmail.com,https://saniaesthetics.com//?utm_source=google&utm_medium=organic&utm_campaign=GMB,(408) 884-8890,4.8,167,Saturday;Sunday,5,weekend_gap_high_demand,sunday calls,"Your listing shows Sundays closed, which is the same window most of those 167 reviewers are scrolling.",
196,B,"free provider, real but likely personal",Shiny Laser Skin Clinic,Shiny Laser Skin Clinic,Salt Lake City,UT,shinylaserclinic@gmail.com,https://shinylaserclinic.com/,(213) 382-5888,4.8,365,Sunday,6,weekend_gap_high_demand,sunday calls,"4.8 across 365 reviews, and the calendar still shows Sunday dark.",
224,B,"free provider, real but likely personal",The Look Med Spa,The Look Med Spa,Las Vegas,NV,thelookmedspa@gmail.com,http://thelookmedspalv.com/,(702) 246-2238,4.9,486,Saturday;Sunday,5,weekend_gap_high_demand,sunday calls,"486 Google reviews at 4.9 says the demand around Las Vegas is already there, and the listing has you closed Sundays.",
261,B,"free provider, real but likely personal",Dallas Aesthetic Studio,Dallas Aesthetic Studio,Dallas,TX,aestheticstudio.dtx@gmail.com,https://dallasaestheticstudio.glossgenius.com/,(469) 442-9792,5.0,124,Monday;Tuesday;Wednesday,4,monday_closed,monday backlog,"Your listing shows Monday dark, which stacks the weekend callbacks.",
269,B,"free provider, real but likely personal",Glo Medspa,Glo,Scottsdale,AZ,glomedspa1@gmail.com,http://www.glomedspas.com/,(480) 245-6881,4.8,88,Tuesday;Saturday;Sunday,4,full_weekend_closed,weekend calls,"Saturday and Sunday both read closed on your listing, which is when a lot of aesthetic searches happen.",
272,B,"free provider, real but likely personal",Hollywood Wellness Med Spa,Hollywood Wellness,Las Vegas,NV,hollywoodmedspa2023@gmail.com,https://www.hwmspa.com/,(702) 762-8923,4.8,54,Sunday,6,sunday_closed,sunday calls,Your Google hours show Sundays closed in Las Vegas.,
276,B,"free provider, real but likely personal",Kanebo Skincare,Kanebo Skincare,San Jose,CA,kanebo99@gmail.com,https://kaneboskincaresanjose.com/,(408) 238-2222,4.9,58,Sunday,6,sunday_closed,sunday calls,"Sunday reads closed on the listing, which tends to be a heavy browsing day for injectables.",
278,B,"free provider, real but likely personal",Liquid Beauty Clinic,Liquid Beauty Clinic,Boca Raton,FL,liquidbeautyclinic@gmail.com,https://liquidbeautyclinic.com/,(561) 955-0525,5.0,113,Monday;Saturday;Sunday,4,full_weekend_closed,weekend calls,"Saturday and Sunday both read closed on your listing, which is when a lot of aesthetic searches happen.",
290,B,"free provider, real but likely personal",Omorfia Medical Spa,Omorfia,Detroit,MI,omorfiamedicalspa@gmail.com,https://omorfiamedicalspa.com/,(313) 888-8104,5.0,208,Sunday,6,weekend_gap_high_demand,sunday calls,"208 Google reviews at 5.0 says the demand around Detroit is already there, and the listing has you closed Sundays.",
292,B,"free provider, real but likely personal",Prestige Med Spa and Wellness Center,Prestige Med Spa and Wellness Center,Charlotte,NC,prestiegemedspacharlotte@gmail.com,https://prestigemedicalspacharlotte.com/,(980) 237-4630,4.7,91,Sunday,6,sunday_closed,sunday calls,Noticed Sundays are dark on your listing.,
294,B,"free provider, real but likely personal",Prime MedSpa PDX,Prime MedSpa PDX,Portland,OR,infoprimemedspa@gmail.com,https://primemedspapdx.com/,(971) 777-0303,4.9,261,Sunday,6,weekend_gap_high_demand,sunday calls,"Your listing shows Sundays closed, which is the same window most of those 261 reviewers are scrolling.",
299,B,"free provider, real but likely personal",Renew You Palm Beach,Renew You Palm Beach,West Palm Beach,FL,renewyoupalmbeach@gmail.com,https://www.renewyoupalmbeach.com/,(561) 247-7991,5.0,138,Friday;Saturday;Sunday,4,full_weekend_closed,weekend calls,"Saturday and Sunday both read closed on your listing, which is when a lot of aesthetic searches happen.",
302,B,"free provider, real but likely personal",Skin Medical Spa in San Diego | Skin Tightening | Cryo Fat Freezing | Lipo Cavitation,Skin Medical Spa in San Diego | Skin Tightening | Cryo Fat Freezing | Lipo Cavitation,San Diego,CA,mailtoskinmedicalsd@gmail.com,https://skinmedicalsd.com/,(858) 203-3422,4.9,425,,7,high_volume_phone_load,front desk,425 reviews at 4.9 is a lot of traffic running through one front desk.,
322,B,"free provider, real but likely personal",Timeless Beauty Aesthetics,Timeless Beauty Aesthetics,Fort Lauderdale,FL,michellebotoxqueen@gmail.com,https://www.timelessbeautyaesthetics.com/,(954) 763-2998,4.9,165,Sunday,6,weekend_gap_high_demand,sunday calls,"4.9 across 165 reviews, and the calendar still shows Sunday dark.",
334,B,"free provider, real but likely personal",ZK Aesthetics Medspa Sacramento,ZK Aesthetics Medspa Sacramento,Sacramento,CA,zkaesthetics21@gmail.com,https://www.zkaestheticspa.com/,(888) 870-8898,4.9,53,,7,rating_floor,front desk,4.9 on Google puts you above most of the field.,
355,B,"free provider, real but likely personal",Fresh Complexion,Fresh Complexion,Washington,DC,freshcomplexion@gmail.com,https://www.myfreshcomplexion.com/,(716) 458-0064,5.0,67,Sunday,6,sunday_closed,sunday calls,Noticed Sundays are dark on your listing.,
360,B,"free provider, real but likely personal",Jon 'Ric Medical Spa and Wellness Center,Jon 'Ric Medical Spa and Wellness Center,Charlotte,NC,jonricmedspa@gmail.com,https://jonriccharlottemedicalspa.com/,(704) 665-0058,5.0,98,Monday;Sunday,5,sunday_closed,sunday calls,"Sunday reads closed on the listing, which tends to be a heavy browsing day for injectables.",
377,B,"free provider, real but likely personal",Orlando Beauty Studio - SPA & Face Treatments,Orlando Beauty Studio,Orlando,FL,beautystudioorlando@gmail.com,https://orlando-beauty-studio.com/,(407) 929-5675,5.0,48,,7,rating_floor,front desk,5.0 on Google in Orlando is a hard number to hold.,
379,B,"free provider, real but likely personal",Ozraya Beverly Hills Aesthetics,Ozraya Beverly Hills Aesthetics,Beverly Hills,CA,ozrayabeverlyhillsinfo@gmail.com,http://www.jpbhsc.com/,(949) 514-8722,4.9,55,Sunday,6,sunday_closed,sunday calls,Noticed Sundays are dark on your listing.,
385,B,"free provider, real but likely personal",RENEW Med Spa Plus,RENEW Med Spa Plus,Minneapolis,MN,renewmedspaplus@gmail.com,https://www.renewmedspaplus.com/,(612) 930-8462,5.0,88,Sunday,6,sunday_closed,sunday calls,Noticed Sundays are dark on your listing.,
399,B,"free provider, real but likely personal",skinovation clinic,skinovation clinic,Newport Beach,CA,clinicskinovation@gmail.com,https://skinovationclinic.com/,(949) 377-3000,5.0,65,Saturday;Sunday,5,full_weekend_closed,weekend calls,The listing has skinovation clinic dark both weekend days.,
406,B,"free provider, real but likely personal",The Garage Medspa,The Garage Medspa,San Antonio,TX,thegaragemedspa1@gmail.com,https://www.garagemedspa.com/,(830) 388-6464,5.0,39,Saturday;Sunday,5,full_weekend_closed,weekend calls,"Weekends show closed on your Google profile, Saturday and Sunday.",
408,B,"free provider, real but likely personal",The Luxen Collective,The Luxen Collective,Minneapolis,MN,theluxencollective@gmail.com,https://www.theluxencollective.com/,(612) 434-3077,5.0,74,Sunday,6,sunday_closed,sunday calls,"Sunday reads closed on the listing, which tends to be a heavy browsing day for injectables.",
410,B,"free provider, real but likely personal",The Med Spa,The Med Spa,Las Vegas,NV,themedspalasvegas@gmail.com,http://www.themedspalasvegas.com/,(702) 755-7947,4.8,84,,7,rating_floor,front desk,4.8 on Google in Las Vegas is a hard number to hold.,
432,B,"free provider, real but likely personal",Atelier Aesthetics By Ash,Atelier Aesthetics By Ash,Raleigh,NC,atelieraestheticsbyash@gmail.com,https://atelieraestheticsbyash.glossgenius.com/,(919) 307-7723,5.0,20,Monday;Tuesday;Wednesday,4,monday_closed,monday backlog,"Your listing shows Monday dark, which stacks the weekend callbacks.",
436,B,"free provider, real but likely personal",Better You Medical Day Spa LLC,Better You Medical Day Spa,Nashville,TN,betterforyou.hrt@gmail.com,https://betteryouhrt.com/,(629) 202-8864,5.0,6,Monday;Saturday;Sunday,4,full_weekend_closed,weekend calls,"Weekends show closed on your Google profile, Saturday and Sunday.",
443,B,"free provider, real but likely personal",Cosmetic clinic,Cosmetic clinic,Washington,DC,cosmeticclinictj@gmail.com,http://cosmeticclinic.pro/,+52 664 780 5001,4.4,26,Sunday,6,sunday_closed,sunday calls,Your Google hours show Sundays closed in Washington.,
455,B,"free provider, real but likely personal",Korean Skin Theory,Korean Skin Theory,San Jose,CA,koreanskintheory@gmail.com,http://www.koreanskintheory.com/,(408) 415-0238,5.0,19,,7,rating_floor,front desk,5.0 on Google in San Jose is a hard number to hold.,
456,B,"free provider, real but likely personal",LM SkinLuxe Aesthetic Clinic,LM SkinLuxe Aesthetic Clinic,Houston,TX,lmhs02981@gmail.com,https://lmskinluxe.com/,(832) 593-9839,5.0,13,Sunday,6,sunday_closed,sunday calls,"Sunday reads closed on the listing, which tends to be a heavy browsing day for injectables.",
466,B,"free provider, real but likely personal",NV Medspa Honolulu,NV Medspa Honolulu,Honolulu,HI,nvmedspahonolulu@gmail.com,https://thenvmedspa.com/,(808) 439-5111,5.0,20,,7,rating_floor,front desk,5.0 on Google puts you above most of the field.,
469,B,"free provider, real but likely personal",Phoenix MedSpa,Phoenix,Phoenix,AZ,phxmedspa@gmail.com,https://phxmedspa.com/,(480) 326-7477,4.8,41,Monday;Tuesday;Sunday,4,sunday_closed,sunday calls,Noticed Sundays are dark on your listing.,
471,B,"free provider, real but likely personal",RadiantilyK Aesthetic,RadiantilyK Aesthetic,San Jose,CA,radiantilyk@gmail.com,https://radiantilykaesthetics.com/san-jose-medical-spa/,(408) 900-2674,5.0,43,Monday;Tuesday;Thursday,4,monday_closed,monday backlog,"Your listing shows Monday dark, which stacks the weekend callbacks.",
473,B,"free provider, real but likely personal",Rejuvenate Medical Spa,Rejuvenate,Salt Lake City,UT,rejuvenateutah@gmail.com,http://www.rejuvenateutah.com/,(801) 272-4178,5.0,12,Sunday,6,sunday_closed,sunday calls,Your Google hours show Sundays closed in Salt Lake City.,
474,B,"free provider, real but likely personal",Renew Medical Spa,Renew,Las Vegas,NV,renewmedicalspalv@gmail.com,https://www.renewmedicalspalv.com/,(702) 830-6571,4.9,39,Saturday;Sunday,5,full_weekend_closed,weekend calls,The listing has Renew dark both weekend days.,
475,B,"free provider, real but likely personal",Revita Luxe - Jacksonville,Revita Luxe,Jacksonville,FL,revitaluxemedspa@gmail.com,https://revitaluxemedspa.com/,(904) 414-3527,5.0,32,,0,rating_floor,front desk,5.0 on Google puts you above most of the field.,
477,B,"free provider, real but likely personal",Sacramento Medical Spa,Sacramento,Sacramento,CA,sacmedspa@yahoo.com,https://www.sacramentomedicalspa.com/,(925) 786-8799,5.0,9,Monday;Sunday,5,sunday_closed,sunday calls,"Sunday reads closed on the listing, which tends to be a heavy browsing day for injectables.",
482,B,"free provider, real but likely personal",Skin Story Med Spa,Skin Story,Los Angeles,CA,skinstorymedspa@gmail.com,http://www.skinstorymedspa.com/,(323) 577-2311,5.0,39,Sunday,6,sunday_closed,sunday calls,Your Google hours show Sundays closed in Los Angeles.,
494,B,"free provider, real but likely personal",Umoya Wellness Spa,Umoya Wellness Spa,Salt Lake City,UT,umoyahelp@gmail.com,http://myumoyaspa.com/,(385) 282-9074,5.0,1,Monday;Sunday,5,sunday_closed,sunday calls,Your Google hours show Sundays closed in Salt Lake City.,
495,B,"free provider, real but likely personal",United Nurses Medi Spa,United Nurses,Columbus,OH,nursekellyk@gmail.com,https://www.nursekellyk.com/,(614) 273-4300,4.6,9,Sunday,6,sunday_closed,sunday calls,"Sunday reads closed on the listing, which tends to be a heavy browsing day for injectables.",
499,B,"free provider, real but likely personal",ABC Aesthetics,ABC Aesthetics,Baltimore,MD,aestheticianallyson@gmail.com,https://abcaesthetics.glossgenius.com/,,5.0,4,Monday;Sunday,5,sunday_closed,sunday calls,Noticed Sundays are dark on your listing.,
502,B,"free provider, real but likely personal",LA SoHo Med Spa,LA SoHo,Washington,DC,kp.clientny@gmail.com,http://la.koreaportal.com/yp/16655-LA-%EC%86%8C%ED%98%B8%EB%A9%94%EB%94%94%EC%8A%A4%ED%8C%8C--%EC%97%98%EC%97%90%EC%9D%B4-OC-%EB%B6%80%EC%97%90%EB%82%98%ED%8C%8D-%EB%A0%88%EC%9D%B4%EC%A0%80-%ED%81%B4%EB%A6%AC%EB%8B%89-%EC%84%BC%ED%84%B0-%EC%8A%A4%ED%82%A8%EC%BC%80%EC%96%B4-%EB%B3%B4%ED%86%A1%EC%8A%A4,(213) 368-0909,3.2,18,Tuesday;Thursday;Sunday,4,sunday_closed,sunday calls,Noticed Sundays are dark on your listing.,
503,B,"free provider, real but likely personal",HydroSkin Aesthetic,HydroSkin Aesthetic,Seattle,WA,hydroskinaesthetic@gmail.com,https://book.squareup.com/appointments/ujm7ebllgvm66l/location/L6F1SB0SC1QWZ/services,(425) 435-6525,5.0,10,,7,rating_floor,front desk,5.0 on Google in Seattle is a hard number to hold.,
507,B,"free provider, real but likely personal",Advanced Aesthetics Medi Spa,Advanced Aesthetics,Summit,NJ,advancedaestheticslana@gmail.com,http://advancedaestheticsmedispa.com/,(413) 333-4780,4.7,82,Sunday,6,sunday_closed,sunday calls,"Sunday reads closed on the listing, which tends to be a heavy browsing day for injectables.",
511,B,"free provider, real but likely personal",Aesthetic Element,Aesthetic Element,Weston,FL,enhancedaestheticscenter@gmail.com,https://aestheticelement.com/,(954) 303-9700,4.9,644,Saturday;Sunday,5,weekend_gap_high_demand,sunday calls,"4.9 across 644 reviews, and the calendar still shows Sunday dark.",
525,B,"free provider, real but likely personal",Aromas Medspa at Weston,Aromas Medspa at Weston,Weston,FL,aromas@me.com,https://aromaslaser.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(954) 349-3001,4.8,183,Sunday,6,weekend_gap_high_demand,sunday calls,"Your listing shows Sundays closed, which is the same window most of those 183 reviewers are scrolling.",
528,B,"free provider, real but likely personal",Aventura Aesthetics Spa,Aventura Aesthetics Spa,Aventura,FL,aventuraesthetics@gmail.com,http://aventuraesthetics.square.site/,(305) 454-0449,4.9,99,Sunday,6,sunday_closed,sunday calls,"Sunday reads closed on the listing, which tends to be a heavy browsing day for injectables.",
544,B,"free provider, real but likely personal",BEYOND AESTHETICS,Beyond Aesthetics,Westport,CT,beyondaestheticswestport@gmail.com,http://www.beyondaestheticswestport.com/,(774) 518-2362,5.0,112,Sunday,6,sunday_closed,sunday calls,Noticed Sundays are dark on your listing.,
554,B,"free provider, real but likely personal",Ciel Eau Day Spa,Ciel Eau Day Spa,New Canaan,CT,cieleaullc@gmail.com,http://www.ciel-eau.com/,(203) 920-1901,4.8,59,Monday;Sunday,5,sunday_closed,sunday calls,Your Google hours show Sundays closed.,
568,B,"free provider, real but likely personal",Fari Skincare & Laser,Fari Skincare & Laser,Sugar Land,TX,fariskincareandlaaer@gmail.com,https://fariskincare.zoca.com/?utm_source=googlemaps&utm_medium=googlemaps&utm_campaign=googlemaps,(832) 610-7865,4.8,55,Monday;Sunday,5,sunday_closed,sunday calls,Noticed Sundays are dark on your listing.,
572,B,"free provider, real but likely personal",iHydrate Wellness & Aesthetics,iHydrate Wellness & Aesthetics,Darien,CT,info.ihydrate@gmail.com,https://www.ihydratemedspa.com/,(224) 877-6186,4.9,100,Tuesday;Sunday,5,sunday_closed,sunday calls,Your Google hours show Sundays closed in Darien.,
575,B,"free provider, real but likely personal",JC Signature Aesthetics,JC Signature Aesthetics,Summit,NJ,jcsignatureaesthetics@gmail.com,http://www.jcsignatureaesthetics.com/,(908) 290-5066,5.0,160,,7,service_breadth,pricing questions,"skin care, laser hair removal and tattoo removal under one roof is a wide menu for one phone line.",
586,B,"free provider, real but likely personal",Medical & Beauty Care Clinic,Beauty Care Clinic,Ridgewood,NJ,rutajkhan@gmail.com,https://medicalbeautycareoakbrook.zoca.com/?utm_source=googlemaps&utm_medium=googlemaps&utm_campaign=googlemaps,(224) 407-2140,4.9,218,Tuesday;Sunday,5,weekend_gap_high_demand,sunday calls,"4.9 across 218 reviews, and the calendar still shows Sunday dark.",
590,B,"free provider, real but likely personal",MedSpa at Villagio,MedSpa at Villagio,Katy,TX,medspaatvillagio@gmail.com,http://medspaatvillagio.com/,(281) 347-2566,4.9,508,Sunday,6,weekend_gap_high_demand,sunday calls,"508 Google reviews at 4.9 says the demand around Katy is already there, and the listing has you closed Sundays.",
598,B,"free provider, real but likely personal",Nefertiti spa,Nefertiti spa,Plantation,FL,nefertitispa305@gmail.com,https://nefertitispaplantation.zoca.com/?utm_source=googlemaps&utm_medium=googlemaps&utm_campaign=googlemaps,(305) 282-4619,5.0,605,Sunday,6,weekend_gap_high_demand,sunday calls,"5.0 across 605 reviews, and the calendar still shows Sunday dark.",
604,B,"free provider, real but likely personal",North Texas Plastic Surgery Med-Spa,North Texas Plastic Surgery Med-Spa,Southlake,TX,obaidplasticsurgery@gmail.com,https://www.northtexasplasticsurgery.com/southlake-plastic-surgery/med-spa/?utm_source=GBP&utm_medium=GBP&utm_campaign=GBP_Southlake&utm_id=GBP_Southlake,(817) 660-7637,5.0,123,,7,rating_floor,front desk,5.0 on Google in Southlake is a hard number to hold.,
605,B,"free provider, real but likely personal",Nova Headspa & Medspa,Nova Headspa,McKinney,TX,novamedicaltx@gmail.com,http://www.novamedspa.net/,(469) 688-8606,5.0,235,Monday,6,monday_closed,monday backlog,"Mondays read closed on your listing, so weekend voicemails land Tuesday.",
612,B,"free provider, real but likely personal",Paradise Laser Delray,Paradise Laser Delray,Delray Beach,FL,paradiselaserteam@gmail.com,http://www.paradiselaserdelray.com/,(561) 815-4074,5.0,139,Monday;Tuesday;Sunday,4,sunday_closed,sunday calls,"Sunday reads closed on the listing, which tends to be a heavy browsing day for injectables.",
616,B,"free provider, real but likely personal",Princeton Medi Spa - Laser Center,Princeton,Princeton,NJ,princetonmedispa@gmail.com,https://www.princetonmedispa.com/,(609) 477-0700,4.5,65,Saturday;Sunday,5,full_weekend_closed,weekend calls,"Weekends show closed on your Google profile, Saturday and Sunday.",
622,B,"free provider, real but likely personal",REJUV Aesthetics & Wellness,REJUV Aesthetics & Wellness,Encinitas,CA,rejuvcryo@gmail.com,https://www.rejuvcryo.com/,(760) 230-6499,4.9,461,,7,high_volume_phone_load,front desk,461 reviews is real volume for a single location.,
625,B,"free provider, real but likely personal",Renova Med Spa Temecula,Renova Med Spa Temecula,Temecula,CA,renovaspaie@gmail.com,https://www.renovaspatemecula.com/,(951) 296-6333,4.8,102,Sunday,6,sunday_closed,sunday calls,Noticed Sundays are dark on your listing.,
635,B,"free provider, real but likely personal",Skin So Sweet Medspa,Skin So Sweet,Huntington Beach,CA,skinsosweethb@gmail.com,https://www.skinsosweetmedspa.com/,(714) 203-3527,4.6,293,Saturday,6,rating_floor,front desk,4.6 on Google in Huntington Beach is a hard number to hold.,
643,B,"free provider, real but likely personal",SkyBalance MedSpa,SkyBalance,Weston,FL,skybalancemedspa@gmail.com,https://www.skybalancemedspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,(847) 895-8180,4.8,230,Sunday,6,weekend_gap_high_demand,sunday calls,"4.8 across 230 reviews, and the calendar still shows Sunday dark.",
652,B,"free provider, real but likely personal",Sugar Land Medical Spa,Sugar Land,Sugar Land,TX,kimberlyevansmd@hotmail.com,https://sugarlandmedspa.com/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile,(281) 277-7721,4.8,415,Sunday,6,weekend_gap_high_demand,sunday calls,"4.8 across 415 reviews, and the calendar still shows Sunday dark.",
660,B,"free provider, real but likely personal",The Sculpt Spa,The Sculpt Spa,Sugar Land,TX,thesculptspa@gmail.com,https://thesculptspa.zoca.com/?utm_source=googlemaps&utm_medium=googlemapsprofile&utm_campaign=googlemaps,(847) 466-5013,4.7,106,Saturday;Sunday,5,full_weekend_closed,weekend calls,The listing has The Sculpt Spa dark both weekend days.,
663,B,"free provider, real but likely personal",The Skin Rejuvenation and Wellness,The Skin Rejuvenation and Wellness,Huntington Beach,CA,theskinoc@gmail.com,https://www.theskinoc.com/,(949) 464-8772,5.0,68,Sunday,6,sunday_closed,sunday calls,"Sunday reads closed on the listing, which tends to be a heavy browsing day for injectables.",
699,B,"free provider, real but likely personal",Araya Rebirth Spa,Araya Rebirth Spa,Ridgewood,NJ,arayarebirthstudio@gmail.com,http://arayarebirth.com/,(201) 445-7005,4.9,109,Monday,6,monday_closed,monday backlog,"Your listing shows Monday dark, which stacks the weekend callbacks.",
701,B,"free provider, real but likely personal",Astra Aesthetic Center,Astra Aesthetic Center,Redondo Beach,CA,astraaestheticcenter@gmail.com,https://astraaesthetic.com/,(310) 504-0822,4.6,148,Saturday,6,rating_floor,front desk,4.6 on Google in Redondo Beach is a hard number to hold.,
710,B,"free provider, real but likely personal",Blush & Glow Aesthetics,Blush & Glow Aesthetics,Temecula,CA,blushandglowtemecula@outlook.com,http://blushandglowtemecula.com/,(951) 440-5294,5.0,143,Monday,6,monday_closed,monday backlog,"Mondays read closed on your listing, so weekend voicemails land Tuesday.",
711,B,"free provider, real but likely personal",Bodyvine Aesthetics,Bodyvine Aesthetics,Roseville,CA,bodyvineaesthetics@gmail.com,https://bodyvineaesthetics.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-website,(916) 742-5626,4.9,322,Saturday;Sunday,5,weekend_gap_high_demand,sunday calls,"Your listing shows Sundays closed, which is the same window most of those 322 reviewers are scrolling.",
723,B,"free provider, real but likely personal",Embodee'd - Milan Beauty Bar,Embodee'd,Flower Mound,TX,embodeeddallas@gmail.com,https://embodeedmilanbeautybar.zoca.com/?utm_source=googlemaps&utm_medium=googlemapsprofile&utm_campaign=googlemaps,(916) 850-9331,4.9,43,,7,rating_floor,front desk,Holding 4.9 stars says the chair-side work is dialed in.,
