row,tier,tier_reason,business_name,display_name,city,state,email,website,phone,rating,review_count,closed_days,open_days_count,signal_used,subject,first_line,spam_flags
179,SUPPRESS,duplicate of row 178 (multi-location chain),RESTOR Medical Spa | LoHi,RESTOR Medical Spa | LoHi,Denver,CO,info@restormedicalspa.com,https://www.restormedicalspa.com/?utm_medium=organic&utm_source=GMBlisting&utm_campaign=lohi,(720) 409-1442,4.9,363,Monday;Sunday,5,,,,
188,SUPPRESS,duplicate of row 187 (multi-location chain),Sanctuary Medical Center,Sanctuary Medical Center,Boca Raton,FL,info@sanctuarymedical.com,https://www.sanctuarymedical.com/?UTM_source=GMB_listing&UTM_medium=organic,(561) 221-0457,4.9,679,Saturday;Sunday,5,,,,
198,SUPPRESS,"scraper placeholder, would hard bounce",Skin NV Tampa Med Spa,Skin NV Tampa,Tampa,FL,user@domain.com,http://www.skinnv.com/,(813) 839-4141,4.8,618,Sunday,6,,,,
200,SUPPRESS,duplicate of row 199 (multi-location chain),Skin Pharm,Skin Pharm,Raleigh,NC,hello@skinpharm.com,https://skinpharm.com/raleigh,(984) 359-9802,5.0,118,Saturday;Sunday,5,,,,
203,SUPPRESS,duplicate of row 80 (multi-location chain),Skindale Medspa,Skindale,Scottsdale,AZ,seo.loginuser@growth99.com,http://www.skindalemedspa.com/,(623) 401-7546,5.0,119,Sunday,6,,,,
215,SUPPRESS,"scraper placeholder, would hard bounce",The Aesthetic Method Medical Spa,The Aesthetic Method Medical Spa,Detroit,MI,user@domain.com,https://www.theaestheticmethod.com/?utm_source=GMB&utm_medium=organic,(313) 992-6659,5.0,381,Friday;Saturday;Sunday,4,,,,
222,SUPPRESS,"scraper placeholder, would hard bounce",The House of Wellness Med Spa,The House of Wellness Med Spa,Atlanta,GA,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://thowmedspa.org/,(404) 963-7531,5.0,104,Thursday,6,,,,
228,SUPPRESS,"scraper placeholder, would hard bounce",The Phoenix Clinique,The Phoenix Clinique,Orlando,FL,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://phoenixclinique.com/,(407) 901-1808,5.0,104,Monday;Saturday;Sunday,4,,,,
249,SUPPRESS,"scraper placeholder, would hard bounce",Aesthetic Nurse Ashley | Aluma Medical,Aesthetic Nurse Ashley | Aluma,San Diego,CA,user@domain.com,https://www.alumamedicalaesthetics.com/injector-directory/ashley-reader,(619) 330-6393,4.9,178,,7,,,,
254,SUPPRESS,"scraper placeholder, would hard bounce",Beauty Energy Exchange Aesthetics and Wellness,Beauty Energy Exchange Aesthetics and Wellness,San Diego,CA,user@domain.com,https://www.beautyenergyexchange.com/,(858) 330-2477,5.0,214,Friday;Saturday;Sunday,4,,,,
257,SUPPRESS,"scraper placeholder, would hard bounce",Beverly Hills Aesthetic Medics,Beverly Hills Aesthetic Medics,Beverly Hills,CA,user@domain.com,http://bhaestheticmedics.com/,(310) 273-4247,4.3,80,,7,,,,
259,SUPPRESS,"scraper placeholder, would hard bounce",Cherry Creek Med Spa,Cherry Creek,Denver,CO,user@domain.com,https://www.thecherrycreekmedspa.com/,(720) 422-6636,5.0,81,Saturday;Sunday,5,,,,
263,SUPPRESS,"scraper placeholder, would hard bounce",Ã‰LAN Aesthetics,Ã‰LAN Aesthetics,Tampa,FL,user@domain.com,http://elan-aesthetics.com/,(813) 440-8743,4.9,440,,7,,,,
265,SUPPRESS,"scraper placeholder, would hard bounce",Escape Med Spa,Escape,Beverly Hills,CA,info@example.com,http://www.escapespala.com/,(310) 773-6606,4.9,81,Sunday,6,,,,
266,SUPPRESS,"scraper placeholder, would hard bounce",Ethereal Beauty Buffalo,Ethereal Beauty Buffalo,St Louis,MO,name@example.com,http://etherealbeautybuffalo.com/,(716) 322-0305,5.0,134,Wednesday;Sunday,5,,,,
270,SUPPRESS,"scraper placeholder, would hard bounce",H Med Spa,H Med Spa,Chicago,IL,user@domain.com,http://www.hmedicalspa.com/,(773) 697-8316,4.9,74,,7,,,,
271,SUPPRESS,"scraper placeholder, would hard bounce",Haus Of Aesthetics Med Spa LLC,Haus Of Aesthetics Med Spa,San Antonio,TX,user@domain.com,http://www.hausofaesthetics.us/,(210) 784-9366,5.0,146,Wednesday;Sunday,5,,,,
273,SUPPRESS,"scraper placeholder, would hard bounce",Hydro Med Spa,Hydro,Jacksonville,FL,user@domain.com,https://www.hydromedspa.com/,(904) 567-3998,4.9,199,Saturday;Sunday,5,,,,
277,SUPPRESS,"scraper placeholder, would hard bounce",Khronos MedSpa & Laser,Khronos MedSpa & Laser,San Antonio,TX,user@domain.com,http://www.khronosmedspa.com/,(210) 842-7758,4.9,501,Tuesday;Sunday,5,,,,
279,SUPPRESS,"scraper placeholder, would hard bounce",Look Lab Med Spa | Paradise Valley,Look Lab Med Spa | Paradise Valley,Scottsdale,AZ,name@domain.com,http://looklab.com/,(480) 808-5665,5.0,91,Monday;Sunday,5,,,,
285,SUPPRESS,"scraper placeholder, would hard bounce",Monarch Aesthetic Medicine,Monarch Aesthetic,Columbus,OH,user@domain.com,http://www.monarch-aesthetic.com/,(614) 545-2002,4.9,863,Sunday,6,,,,
287,SUPPRESS,"scraper placeholder, would hard bounce",Novirra,Novirra,Columbus,OH,user@domain.com,https://www.novirraesthetics.com/,(614) 233-1117,5.0,73,Saturday;Sunday,5,,,,
291,SUPPRESS,"scraper placeholder, would hard bounce",Peak Beauty Clinic,Peak Beauty Clinic,Dallas,TX,user@domain.com,http://peakbeautyclinic.com/,(469) 436-6077,5.0,156,Saturday;Sunday,5,,,,
295,SUPPRESS,"scraper placeholder, would hard bounce",Pure Lux Medspa,Pure Lux,Minneapolis,MN,user@domain.com,https://www.mypurelux.com/,(952) 460-0160,4.9,92,Saturday;Sunday,5,,,,
300,SUPPRESS,"scraper placeholder, would hard bounce",Rose Milk Aesthetics,Rose Milk Aesthetics,Houston,TX,user@domain.com,http://rosemilkaesthetics.com/,(832) 557-8151,5.0,370,,7,,,,
306,SUPPRESS,"scraper placeholder, would hard bounce",SLC Med Spa,SLC,Salt Lake City,UT,user@domain.com,http://www.slcmedspa.com/,(801) 823-4175,4.7,258,Saturday;Sunday,5,,,,
309,SUPPRESS,"scraper placeholder, would hard bounce",Studio N,Studio N,Philadelphia,PA,user@domain.com,http://studionphilly.com/,(267) 586-4978,4.9,267,Monday;Sunday,5,,,,
310,SUPPRESS,"scraper placeholder, would hard bounce",The Aesthetics Club Nashville,The Aesthetics Club Nashville,Nashville,TN,user@domain.com,https://www.theaestheticsclubnashville.com/,(615) 669-6112,5.0,320,Monday;Sunday,5,,,,
316,SUPPRESS,"scraper placeholder, would hard bounce",The MedSpa at Beverly Hills,The MedSpa at Beverly Hills,Beverly Hills,CA,youremail@yourdomain.com,http://www.themedspaatbeverlyhills.com/,(424) 355-0116,5.0,133,Saturday;Sunday,5,,,,
318,SUPPRESS,"scraper placeholder, would hard bounce",The Perfect Secret Med Spa,The Perfect Secret Med Spa,Scottsdale,AZ,user@domain.com,https://www.itstheperfectsecret.com/,(480) 647-8991,5.0,567,Monday;Saturday;Sunday,4,,,,
332,SUPPRESS,"scraper placeholder, would hard bounce",Wild and Beautiful Natural Aesthetics,Wild and Beautiful Natural Aesthetics,Austin,TX,user@domain.com,https://www.wildandbeautifulaustin.com/?utm_source=GMBmain&utm_medium=organic,,5.0,573,Sunday,6,,,,
335,SUPPRESS,"scraper placeholder, would hard bounce",ZZ Med Spa,ZZ Med Spa,New York,NY,user@domain.com,https://www.zzmedspa.com/,(917) 905-4928,5.0,173,,7,,,,
338,SUPPRESS,"scraper placeholder, would hard bounce",Apex Medical Spa,Apex,Las Vegas,NV,wordpress@example.com,http://apexmedicalspa.com/,(702) 444-5680,4.4,51,Saturday;Sunday,5,,,,
339,SUPPRESS,"scraper placeholder, would hard bounce",BAY skin & beauty - San Diego,BAY skin & beauty,San Diego,CA,user@domain.com,https://www.bayskinandbeauty.com/,(858) 239-2291,5.0,59,,7,,,,
348,SUPPRESS,"scraper placeholder, would hard bounce",Cosmetic and Reconstructive Specialists of Florida PLLC,Cosmetic and Reconstructive Specialists of Florida,Fort Lauderdale,FL,noreply@stg-crsplasticsurgerycom-stg.kinsta.cloud,https://www.crsplasticsurgery.com/,(954) 533-8029,4.9,99,Saturday;Sunday,5,,,,
350,SUPPRESS,"scraper placeholder, would hard bounce",DFW LUXE AESTHETICS,Dfw Luxe Aesthetics,Dallas,TX,hi@mystore.com,https://dfwluxeaesthetics.square.site/,(972) 591-8008,4.9,50,,7,,,,
351,SUPPRESS,"scraper placeholder, would hard bounce",Dr. Ann Aesthetics,Dr. Ann Aesthetics,Minneapolis,MN,user@domain.com,http://www.drannaesthetics.com/,(952) 456-2310,4.9,60,Saturday;Sunday,5,,,,
359,SUPPRESS,"scraper placeholder, would hard bounce",Illuminate Plastic Surgery - San Jose,Illuminate Plastic Surgery,San Jose,CA,jack@greensock.com,https://www.illuminateplasticsurgery.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=san_jose,(408) 369-9300,4.9,45,Saturday;Sunday,5,,,,
361,SUPPRESS,"scraper placeholder, would hard bounce",LumiÃ¨re Aesthetics & Wellness,LumiÃ¨re Aesthetics & Wellness,Nashville,TN,user@domain.com,http://www.lumiereaesthetics.co/,(615) 645-2120,5.0,75,Sunday,6,,,,
362,SUPPRESS,"scraper placeholder, would hard bounce",Luminess Med Spa,Luminess,Jacksonville,FL,user@domain.com,http://luminessmedspa.com/,(904) 999-1992,5.0,67,Saturday;Sunday,5,,,,
365,SUPPRESS,"scraper placeholder, would hard bounce",Mercedes Aesthetic and Wellness Center,Mercedes Aesthetic and Wellness Center,Dallas,TX,user@domain.com,https://mercedesaestheticandwellness.com/,(929) 556-6825,5.0,8,,7,,,,
369,SUPPRESS,"scraper placeholder, would hard bounce",Muse Aesthetics Co.,Muse Aesthetics Co.,Minneapolis,MN,user@domain.com,https://www.museaestheticsco.com/,(612) 991-7274,5.0,83,Monday;Saturday;Sunday,4,,,,
371,SUPPRESS,"scraper placeholder, would hard bounce",My Vanity Aesthetics,My Vanity Aesthetics,Sacramento,CA,example@gmail.com,https://www.myvanityaesthetics.com/,(916) 407-1800,5.0,56,Saturday;Sunday,5,,,,
372,SUPPRESS,"scraper placeholder, would hard bounce",No Pain All Gain Med Spa - Beverly Hills,No Pain All Gain,Beverly Hills,CA,user@domain.com,http://nopainallgainspa.com/,(310) 343-8321,4.8,91,,7,,,,
373,SUPPRESS,"scraper placeholder, would hard bounce",Nuey Aesthetics MedSpa,Nuey Aesthetics,Newport Beach,CA,you@email.com,https://www.nueyaesthetics.com/,(949) 514-8365,5.0,48,Saturday;Sunday,5,,,,
386,SUPPRESS,"scraper placeholder, would hard bounce",Renew Wellness Medspa A Touch Of Thailand,Renew Wellness Medspa A Touch Of Thailand,Scottsdale,AZ,info@mysite.com,https://www.renewwellnessmedspa.com/book-online,(480) 688-9288,4.9,188,,7,,,,
388,SUPPRESS,"scraper placeholder, would hard bounce",Samara Esthetics San Diego,Samara Esthetics San Diego,San Diego,CA,user@domain.com,https://www.samaraesthetics.com/,(619) 204-5830,4.9,57,,7,,,,
391,SUPPRESS,"scraper placeholder, would hard bounce",Simplicity Med Spa,Simplicity,Seattle,WA,user@domain.com,https://simplicitymedspa.com/?y_source=1_MjI0OTQ5MzYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(206) 643-5325,4.9,99,Monday;Thursday;Sunday,4,,,,
394,SUPPRESS,"scraper placeholder, would hard bounce",SKIN Medical Spa,SKIN,San Francisco,CA,user@domain.com,https://www.skinmedicalspa.com/,(415) 409-6500,4.8,61,Monday;Saturday;Sunday,4,,,,
395,SUPPRESS,"scraper placeholder, would hard bounce",Skin Place Institute,Skin Place Institute,Boca Raton,FL,your@email.com,https://skinplace.us/,(561) 501-1693,5.0,61,Saturday;Sunday,5,,,,
398,SUPPRESS,"scraper placeholder, would hard bounce",SkinMD Seattle Laser & Aesthetic Medical Clinic,SkinMD Seattle Laser & Aesthetic Medical Clinic,Seattle,WA,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,http://www.skinmdseattle.com/?utm_source=gbp&utm_medium=organic,(321) 754-6631,4.5,8,Friday;Saturday;Sunday,4,,,,
401,SUPPRESS,"scraper placeholder, would hard bounce",Soft Touch Aesthetics,Soft Touch Aesthetics,Philadelphia,PA,user@domain.com,http://www.softtouchaesthetics.com/,(215) 806-8458,5.0,51,Saturday;Sunday,5,,,,
403,SUPPRESS,"scraper placeholder, would hard bounce",Suna Aesthetics & Wellness,Suna Aesthetics & Wellness,Sacramento,CA,user@domain.com,https://www.suna-aesthetics.com/,(916) 545-7862,5.0,21,,0,,,,
405,SUPPRESS,"scraper placeholder, would hard bounce",The Clinic for Medical Aesthetics,The Clinic for Medical Aesthetics,Minneapolis,MN,user@domain.com,https://theclinicmn.com/,(763) 205-4718,4.9,60,Saturday;Sunday,5,,,,
407,SUPPRESS,"scraper placeholder, would hard bounce","The Lift Collective Med Spa, LLC","The Lift Collective Med Spa, LLC",Scottsdale,AZ,user@domain.com,https://www.theliftcollectivemedspa.com/,(480) 679-9792,5.0,55,Sunday,6,,,,
414,SUPPRESS,"scraper placeholder, would hard bounce",UPKEEP Med Spa,UPKEEP,New York,NY,you@example.com,https://www.upkeepmedspa.com/,(917) 715-4436,4.8,83,,7,,,,
421,SUPPRESS,"scraper placeholder, would hard bounce","A-Peeling Beauty, LLC",A-Peeling Beauty,Raleigh,NC,13e49d785d8d4f828038b6136f3b48ba@sentry.io,http://apeelingbeautyraleigh.com/,(919) 896-9207,5.0,25,Monday;Tuesday,5,,,,
422,SUPPRESS,"scraper placeholder, would hard bounce",Ageless Aesthetics,Ageless Aesthetics,Seattle,WA,user@domain.com,http://www.ageless-in-seattle.com/,(206) 321-6296,5.0,22,,7,,,,
423,SUPPRESS,"scraper placeholder, would hard bounce",Alchemy 43 Newport Beach,Alchemy 43 Newport Beach,Newport Beach,CA,noreply@influxmarketing.com,https://alchemy43.com/,(866) 778-0043,4.5,44,,7,,,,
425,SUPPRESS,"scraper placeholder, would hard bounce",ALFA Med Spa,ALFA,Columbus,OH,noreply@alfamedspa.com,https://alfamedspa.com/,(614) 508-1652,5.0,45,Saturday;Sunday,5,,,,
426,SUPPRESS,"scraper placeholder, would hard bounce",Allure Aesthetics,Allure Aesthetics,Dallas,TX,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://www.allureaestheticstexas.com/,(469) 955-0446,5.0,23,Monday;Sunday,5,,,,
427,SUPPRESS,"scraper placeholder, would hard bounce",Ally Aesthetics,Ally Aesthetics,Boston,MA,user@domain.com,https://www.allyaestheticsco.com/,(781) 351-1713,5.0,19,Monday;Tuesday;Wednesday,4,,,,
429,SUPPRESS,"scraper placeholder, would hard bounce",Arc Beauty Lab,Arc Beauty Lab,Minneapolis,MN,user@domain.com,http://www.arcbeautylab.com/,(213) 375-7035,5.0,17,Monday;Sunday,5,,,,
434,SUPPRESS,"scraper placeholder, would hard bounce",Austin Aesthetics Club,Austin Aesthetics Club,Austin,TX,user@domain.com,https://www.austinaestheticsclub.com/,(512) 872-3914,5.0,44,Monday;Saturday;Sunday,4,,,,
439,SUPPRESS,"scraper placeholder, would hard bounce",Bliss Point Medical Spa,Bliss Point,Los Angeles,CA,info@mysite.com,http://www.blisspointmedspa.com/,(310) 923-8451,4.6,30,Wednesday;Sunday,5,,,,
447,SUPPRESS,"scraper placeholder, would hard bounce",Face Card Clinics,Face Card Clinics,Austin,TX,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://www.joannainjects.com/,(209) 834-7405,5.0,43,Monday,6,,,,
448,SUPPRESS,"scraper placeholder, would hard bounce",First Class BR - Biologique Recherche,First Class BR,San Jose,CA,user@domain.com,https://www.firstclassbr.com/,(408) 515-0765,5.0,15,,7,,,,
451,SUPPRESS,"scraper placeholder, would hard bounce",Inspired,Inspired,Washington,DC,user@domain.com,https://www.inspiredmedicalspa.com/,(716) 539-0772,5.0,28,Saturday;Sunday,5,,,,
452,SUPPRESS,"scraper placeholder, would hard bounce",Jâ€™Clinic (Formerly known as Jâ€™Spa Medical Aesthetics),Jâ€™Clinic,Sacramento,CA,user@domain.com,http://lovejspa.com/,(916) 812-3035,5.0,38,,7,,,,
453,SUPPRESS,"scraper placeholder, would hard bounce",Jax Medi Spa LLC,Jax Medi Spa,Jacksonville,FL,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://jaxmedispa.com/,(904) 593-8824,4.8,16,Monday;Sunday,5,,,,
460,SUPPRESS,"scraper placeholder, would hard bounce",Mauve Skin Care,Mauve Skin Care,San Jose,CA,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,http://mauveskincare.com/,(408) 693-9957,5.0,25,Monday;Sunday,5,,,,
462,SUPPRESS,"scraper placeholder, would hard bounce",Michelle Aesthetics,Michelle Aesthetics,Minneapolis,MN,hi@mystore.com,https://michelle-aesthetics.square.site/,(612) 900-9999,5.0,31,Monday;Sunday,5,,,,
472,SUPPRESS,"scraper placeholder, would hard bounce",Refresh Medical Spa,Refresh,St Louis,MO,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,http://refresh-medspa.com/,(314) 730-5585,5.0,25,Saturday;Sunday,5,,,,
476,SUPPRESS,"scraper placeholder, would hard bounce",Rustic Indulgence Holistic Med Spa,Rustic Indulgence Holistic,Boca Raton,FL,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://www.rusticindulgencemedspa.com/,(561) 617-7415,5.0,4,Sunday,6,,,,
480,SUPPRESS,"scraper placeholder, would hard bounce",Skin Retreat Medspa,Skin Retreat,Philadelphia,PA,user@domain.com,http://skinretreatmedspa.com/,(267) 301-3535,4.9,49,Tuesday;Wednesday;Saturday,4,,,,
483,SUPPRESS,"scraper placeholder, would hard bounce",SKINDOCTOR MIAMI,Skindoctor Miami,Miami,FL,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://www.skindoctormiami.co/treatments,(508) 287-3414,4.6,21,Sunday,6,,,,
490,SUPPRESS,duplicate of row 49 (multi-location chain),The Skin Center by CPS,The Skin Center by CPS,Charlotte,NC,info@charlotteplasticsurgery.com,https://www.charlotteplasticsurgery.com/the-skin-center/,(704) 810-1077,5.0,30,Saturday;Sunday,5,,,,
