Campaign Rank,Priority Tier,Campaign Date,Mailbox,Prospect TZ,Business,City,ST,Email,Phone,Website,Rating,Reviews,Employees,Locations,Segment,Coverage gap,Lead with,Warnings,T1 subject,T1 body,T1 words,T2 subject,T2 body,T3 subject,T3 body,T4 subject,T4 body,T5 subject,T5 body
11,A+,2026-09-08,1,ET,New Image Works,Ridgewood,NJ,info@newimageworks.com,(224) 432-5803,https://newimageworks.com/contact-us-glenview/,4.9,811,9.0,,Small,closed Sunday,Receptionist + no-show prevention,"Apollo HQ is IL, not NJ/FL",sunday calls,"811 reviews at 4.9, and Sunday still shows dark. Beyond the coverage gap: at that review volume you have a large patient base, and patient bases go quiet silently. A reactivation job finds anyone with no visit in 45-plus days and nothing booked, texts a rebooking link, then a credit offer three days later, with a cooldown so nobody gets pestered into unsubscribing. Worth a look?",66,dormant patients,"Separate from the phones: patient bases go quiet without anyone noticing. A daily job finds everyone dormant past 45 days with nothing on the books and sends one message referencing what they actually had done — not a blast. No-shows get their own recovery path, because someone who missed an appointment converts far better than a cold lead. It runs whether or not anything else does.",how it books,"The part most vendors skip: every booking lands as *pending*, never confirmed. Your team keeps the last word on the calendar. And it refuses clinical questions outright — medications, contraindications, reactions get no automated answer, they route to a provider callback on a two-hour clock the system tracks. Patient data is encrypted per-field and de-identified before anything reaches a model; the orchestration layer only ever sees UUIDs.",the quiet leak,"The cost of a missed call isn't the call. It's that nobody logs it, so it never shows up in any report you read — the calendar looks fine and the gap is invisible. Reminders at 24 and 2 hours before each appointment, idempotent so nobody gets the same text twice, close the other half of the same leak. Two automations, one number to watch.",closing the loop,"I've sent a few notes and haven't heard back, so this is the last one. Reply with a number if it's easier: 1 — worth a conversation. 2 — not now, try again in three months. 3 — not interested, stop. No reply is fine too; I'll take that as a 3 and leave you alone."
12,A+,2026-09-08,2,ET,Luminescence Aesthetics Buffalo,Washington,DC,hello@luminescence-aesthetics.com,(716) 800-1916,https://www.luminescence-aesthetics.com/,5.0,788,8.0,,Small,closed Sat + Sun,Receptionist / voice agent,workbook state may be wrong - Apollo says NY,weekend coverage,"788 reviews at a flat 5.0 with an eight-person team. That ratio says your people are excellent and badly outnumbered by your own demand. Weekends are both dark. An agent covering them answers, quotes real prices, and books into your calendar as pending so a human still confirms. Paired with reminders at 24 and 2 hours that can't double-send even if the job runs twice. At eight staff, that is cheaper than the tenth hire and available immediately. Worth exploring?",80,dormant patients,"Separate from the phones: patient bases go quiet without anyone noticing. A daily job finds everyone dormant past 45 days with nothing on the books and sends one message referencing what they actually had done — not a blast. No-shows get their own recovery path, because someone who missed an appointment converts far better than a cold lead. It runs whether or not anything else does.",how it books,"The part most vendors skip: every booking lands as *pending*, never confirmed. Your team keeps the last word on the calendar. And it refuses clinical questions outright — medications, contraindications, reactions get no automated answer, they route to a provider callback on a two-hour clock the system tracks. Patient data is encrypted per-field and de-identified before anything reaches a model; the orchestration layer only ever sees UUIDs.",the quiet leak,"The cost of a missed call isn't the call. It's that nobody logs it, so it never shows up in any report you read — the calendar looks fine and the gap is invisible. Reminders at 24 and 2 hours before each appointment, idempotent so nobody gets the same text twice, close the other half of the same leak. Two automations, one number to watch.",closing the loop,"I've sent a few notes and haven't heard back, so this is the last one. Reply with a number if it's easier: 1 — worth a conversation. 2 — not now, try again in three months. 3 — not interested, stop. No reply is fine too; I'll take that as a 3 and leave you alone."
13,A+,2026-09-08,3,ET,Revive Medical,Philadelphia,PA,info@revivephilly.com,(844) 738-4832,https://www.revivephilly.com/,4.9,711,1.0,,Micro / owner-operated,closed Sun + Monday,Receptionist / voice agent,1 employee,solo practice,"711 reviews at 4.9 as essentially a one-person practice. Dr. Gombar cannot inject and answer the phone at the same time, and closed Sunday and Monday means two days of calls with nobody to take them. The single highest-value piece for a solo practice is the phone, not the automation stack. An agent answers, books as pending, and won't touch a clinical question. I'd rather sell you one thing that fits. Worth a look?",74,after hours,"The other side of triage is the hours nobody's there. Qualification only helps if someone's awake to receive the answer, so the agent answers around the clock, quotes your real prices instead of ""call us,"" and books qualified leads as pending for your team to confirm.",what the gates are,"Worth being precise about the screening, since this is the part that has to be right: six questions produce a 0–100 score and a hot/warm/cold routing. Two things sit *outside* the arithmetic entirely — pregnant or breastfeeding disqualifies to a medical callback no matter how good every other answer is, and blood thinners flag for provider approval without penalising the lead. Those are gates, not scores.",the quiet leak,"Meanwhile the patients you already treated go quiet. A daily job catches anyone dormant past 45 days with nothing booked and sends one message referencing their actual treatment history. Cheaper than any lead you'll buy this quarter, and it needs no triage at all.",closing the loop,"This is my last one. Reply with a number: 1 — worth a conversation. 2 — not now, three months. 3 — not interested, stop. No answer is an answer too; I won't write again."
14,A+,2026-09-08,4,ET,Youthful Medical Spa,Ponte Vedra Beach,FL,info@youthfulmedicalspa.com,(904) 273-6286,https://youthfulmedicalspa.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=13810620888768293299,4.8,683,25.0,,Core (best fit),closed Sunday,Reactivation,,dormant patients,"Nineteen years in Jacksonville and two locations. Whatever your active patient count is today, the list of people who came once and drifted is several times larger — and Thermage and CoolSculpting patients are exactly the kind who mean to come back and don't. A daily job finds anyone with no visit in 45-plus days and nothing on the books, texts a rebooking link, then a credit offer three days later, then leaves them alone for 30 days. At 683 reviews you don't have a reputation problem to solve. You have a re-booking one. Worth exploring?",96,what a pilot measures,"To be concrete about the pilot: one location, after-hours only, measured against that same site's prior eight weeks. Recovered bookings against cost. If it doesn't clear, that's a clean no and nobody has to argue about it. Nothing touches the other sites.",how it books,"Per-location hours, per-location pricing, and every booking lands as pending rather than confirmed so each site's front desk keeps its own calendar. Clinical questions route to a provider callback on a tracked two-hour clock. Patient data is de-identified before it reaches a model and the orchestration layer only ever sees UUIDs — which is the part your compliance people will ask about first.",the rollout question,"The honest version: most of these fail at rollout, not at pilot. What makes the difference is whether each site's hours and pricing live in one place someone actually maintains. Worth knowing whether that exists at your network before anyone signs anything.",closing the loop,"Last note from me, and I'd rather send one than seven. Reply with a number: 1 — worth a conversation. 2 — not now, three months. 3 — not interested, and I'll stop writing to your locations entirely. Silence I'll read as a 3."
15,A+,2026-09-08,5,ET,ElaMar Nashville,Nashville,TN,nashville@elamarskin.com,(615) 235-9225,https://elamarskin.com/locations/elamar-nashville-tn/,5.0,659,11.0,,Small,closed Sat + Sun,Receptionist / voice agent,revenue figure looks unreliable,weekend calls,"A clean 5.0 across 659 reviews and both weekend days closed. That rating means the people who reach you convert — the problem is purely who doesn't reach you. An agent covering weekends answers, quotes your real pricing rather than deflecting, and books as pending so your team confirms every slot. Nothing clinical gets an automated answer. One note: your workbook entry lists a Nashville address against an Alabama record, so I may have the wrong location — worth correcting me. Worth a look?",84,dormant patients,"Separate from the phones: patient bases go quiet without anyone noticing. A daily job finds everyone dormant past 45 days with nothing on the books and sends one message referencing what they actually had done — not a blast. No-shows get their own recovery path, because someone who missed an appointment converts far better than a cold lead. It runs whether or not anything else does.",how it books,"The part most vendors skip: every booking lands as *pending*, never confirmed. Your team keeps the last word on the calendar. And it refuses clinical questions outright — medications, contraindications, reactions get no automated answer, they route to a provider callback on a two-hour clock the system tracks. Patient data is encrypted per-field and de-identified before anything reaches a model; the orchestration layer only ever sees UUIDs.",the quiet leak,"The cost of a missed call isn't the call. It's that nobody logs it, so it never shows up in any report you read — the calendar looks fine and the gap is invisible. Reminders at 24 and 2 hours before each appointment, idempotent so nobody gets the same text twice, close the other half of the same leak. Two automations, one number to watch.",closing the loop,"I've sent a few notes and haven't heard back, so this is the last one. Reply with a number if it's easier: 1 — worth a conversation. 2 — not now, try again in three months. 3 — not interested, stop. No reply is fine too; I'll take that as a 3 and leave you alone."
16,A+,2026-09-08,1,ET,"Capizzi, MD Cosmetic Surgery & Med Spa in Charlotte NC",Charlotte,NC,frontdesk@capizzimd.com,(704) 655-8988,https://capizzimd.com/,4.8,649,9.0,,Small,closed Sat + Sun,Receptionist / voice agent,,weekend voicemail,"You're closed both weekend days. At 649 reviews, that's a meaningful number of Charlotte inquiries you never hear about — and for a practice running surgical consults alongside med spa work, the ones you miss are the expensive ones. The agent handles scheduling, pricing and FAQs, and refuses anything clinical outright — medications, contraindications, reactions all route to a provider callback on a tracked two-hour clock. It books as pending, never confirmed, so your front desk stays the last word on Dr. Capizzi's calendar. Worth a look?",87,dormant patients,"Separate from the phones: patient bases go quiet without anyone noticing. A daily job finds everyone dormant past 45 days with nothing on the books and sends one message referencing what they actually had done — not a blast. No-shows get their own recovery path, because someone who missed an appointment converts far better than a cold lead. It runs whether or not anything else does.",how it books,"The part most vendors skip: every booking lands as *pending*, never confirmed. Your team keeps the last word on the calendar. And it refuses clinical questions outright — medications, contraindications, reactions get no automated answer, they route to a provider callback on a two-hour clock the system tracks. Patient data is encrypted per-field and de-identified before anything reaches a model; the orchestration layer only ever sees UUIDs.",the quiet leak,"The cost of a missed call isn't the call. It's that nobody logs it, so it never shows up in any report you read — the calendar looks fine and the gap is invisible. Reminders at 24 and 2 hours before each appointment, idempotent so nobody gets the same text twice, close the other half of the same leak. Two automations, one number to watch.",closing the loop,"I've sent a few notes and haven't heard back, so this is the last one. Reply with a number if it's easier: 1 — worth a conversation. 2 — not now, try again in three months. 3 — not interested, stop. No reply is fine too; I'll take that as a 3 and leave you alone."
17,A+,2026-09-08,2,CT,PRICK'D Medspa,St Louis,MO,getprickd@prickdmedspa.com,(314) 256-1290,https://www.prickdmedspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,4.9,622,3.0,,Micro / owner-operated,closed Sat + Sun,Receptionist / voice agent,,weekend voicemail,"622 reviews in about two years is a fast start, and a Botox bar lives on walk-in-speed convenience. Weekends closed cuts against exactly that promise. An agent covering those hours answers and books as pending. For a three-person shop it's the cheapest way to act open without being open. Worth exploring?",51,dormant patients,"Separate from the phones: patient bases go quiet without anyone noticing. A daily job finds everyone dormant past 45 days with nothing on the books and sends one message referencing what they actually had done — not a blast. No-shows get their own recovery path, because someone who missed an appointment converts far better than a cold lead. It runs whether or not anything else does.",how it books,"The part most vendors skip: every booking lands as *pending*, never confirmed. Your team keeps the last word on the calendar. And it refuses clinical questions outright — medications, contraindications, reactions get no automated answer, they route to a provider callback on a two-hour clock the system tracks. Patient data is encrypted per-field and de-identified before anything reaches a model; the orchestration layer only ever sees UUIDs.",the quiet leak,"The cost of a missed call isn't the call. It's that nobody logs it, so it never shows up in any report you read — the calendar looks fine and the gap is invisible. Reminders at 24 and 2 hours before each appointment, idempotent so nobody gets the same text twice, close the other half of the same leak. Two automations, one number to watch.",closing the loop,"I've sent a few notes and haven't heard back, so this is the last one. Reply with a number if it's easier: 1 — worth a conversation. 2 — not now, try again in three months. 3 — not interested, stop. No reply is fine too; I'll take that as a 3 and leave you alone."
18,A+,2026-09-08,3,ET,The Beauty Clinic,Fort Lauderdale,FL,info@thebeautyclinic.com,(954) 719-7123,https://thebeautyclinic.com/,5.0,598,2.0,,Micro / owner-operated,closed Sat + Sun,Receptionist / voice agent,"Apollo classes as cosmetics supplier, not clinic",after hours,"598 reviews at 5.0 with two people on staff. Every call that comes in while you're treating someone is a booking decided by whether you can pick up. An agent picks up instead — answers, quotes real prices, books as pending for you to confirm. That's the whole pitch; the rest of what I build would be overkill at your size. Worth a look?",64,dormant patients,"Separate from the phones: patient bases go quiet without anyone noticing. A daily job finds everyone dormant past 45 days with nothing on the books and sends one message referencing what they actually had done — not a blast. No-shows get their own recovery path, because someone who missed an appointment converts far better than a cold lead. It runs whether or not anything else does.",how it books,"The part most vendors skip: every booking lands as *pending*, never confirmed. Your team keeps the last word on the calendar. And it refuses clinical questions outright — medications, contraindications, reactions get no automated answer, they route to a provider callback on a two-hour clock the system tracks. Patient data is encrypted per-field and de-identified before anything reaches a model; the orchestration layer only ever sees UUIDs.",the quiet leak,"The cost of a missed call isn't the call. It's that nobody logs it, so it never shows up in any report you read — the calendar looks fine and the gap is invisible. Reminders at 24 and 2 hours before each appointment, idempotent so nobody gets the same text twice, close the other half of the same leak. Two automations, one number to watch.",closing the loop,"I've sent a few notes and haven't heard back, so this is the last one. Reply with a number if it's easier: 1 — worth a conversation. 2 — not now, try again in three months. 3 — not interested, stop. No reply is fine too; I'll take that as a 3 and leave you alone."
19,A+,2026-09-08,4,CT,Essence Medspa & Wellness Center,Chicago,IL,keepcalm@essence-medspa.com,(773) 763-1212,http://www.essence-medspa.com/,4.9,578,8.0,,Small,closed Sun + Monday,Receptionist / voice agent,,monday backlog,"Closed Sunday and Monday both. Everything that comes in across those two days lands on the same Tuesday morning, on the same eight people. An agent handles the queue as it arrives rather than letting it stack — answering, quoting real prices, and booking as pending so your team confirms Tuesday instead of starting from a full voicemail box. Worth exploring?",61,dormant patients,"Separate from the phones: patient bases go quiet without anyone noticing. A daily job finds everyone dormant past 45 days with nothing on the books and sends one message referencing what they actually had done — not a blast. No-shows get their own recovery path, because someone who missed an appointment converts far better than a cold lead. It runs whether or not anything else does.",how it books,"The part most vendors skip: every booking lands as *pending*, never confirmed. Your team keeps the last word on the calendar. And it refuses clinical questions outright — medications, contraindications, reactions get no automated answer, they route to a provider callback on a two-hour clock the system tracks. Patient data is encrypted per-field and de-identified before anything reaches a model; the orchestration layer only ever sees UUIDs.",the quiet leak,"The cost of a missed call isn't the call. It's that nobody logs it, so it never shows up in any report you read — the calendar looks fine and the gap is invisible. Reminders at 24 and 2 hours before each appointment, idempotent so nobody gets the same text twice, close the other half of the same leak. Two automations, one number to watch.",closing the loop,"I've sent a few notes and haven't heard back, so this is the last one. Reply with a number if it's easier: 1 — worth a conversation. 2 — not now, try again in three months. 3 — not interested, stop. No reply is fine too; I'll take that as a 3 and leave you alone."
20,A+,2026-09-08,5,ET,Dermave spa,St Petersburg,FL,support@dermave-spa.com,(727) 866-4631,https://dermave-spa.com/,4.8,573,,,Unknown,closed Saturday,Reactivation,no Apollo match,saturday calls,"573 reviews at 4.8, and Saturday is the one day you're closed — which in a Gulf Coast market is the day most people have time to book aesthetics. An agent covering Saturday answers, quotes your real prices instead of deflecting, and books as pending so your team confirms Monday. Worth exploring?",52,dormant patients,"Separate from the phones: patient bases go quiet without anyone noticing. A daily job finds everyone dormant past 45 days with nothing on the books and sends one message referencing what they actually had done — not a blast. No-shows get their own recovery path, because someone who missed an appointment converts far better than a cold lead. It runs whether or not anything else does.",how it books,"The part most vendors skip: every booking lands as *pending*, never confirmed. Your team keeps the last word on the calendar. And it refuses clinical questions outright — medications, contraindications, reactions get no automated answer, they route to a provider callback on a two-hour clock the system tracks. Patient data is encrypted per-field and de-identified before anything reaches a model; the orchestration layer only ever sees UUIDs.",the quiet leak,"The cost of a missed call isn't the call. It's that nobody logs it, so it never shows up in any report you read — the calendar looks fine and the gap is invisible. Reminders at 24 and 2 hours before each appointment, idempotent so nobody gets the same text twice, close the other half of the same leak. Two automations, one number to watch.",closing the loop,"I've sent a few notes and haven't heard back, so this is the last one. Reply with a number if it's easier: 1 — worth a conversation. 2 — not now, try again in three months. 3 — not interested, stop. No reply is fine too; I'll take that as a 3 and leave you alone."
21,A+,2026-09-08,1,ET,Skin Pharm,Nashville,TN,hello@skinpharm.com,(615) 582-6726,https://skinpharm.com/nashville,5.0,519,140.0,,Enterprise / chain,closed Sat + Sun,Receptionist / voice agent,multi-city chain - enterprise motion,pilot at one clinic,"Clinics in Nashville, Atlanta, Dallas and Houston, all closed both weekend days. At your size that is not a missed-call problem, it is a repeatable per-clinic revenue number nobody is measuring. I would not propose rolling anything out across the network. One clinic, weekends only, measured against its own prior eight weeks. If the recovered bookings don't cover it, that's a clean no. Every patient identifier stays encrypted and de-identified before it reaches a model, which is the part your compliance reviewer will ask about first. Worth exploring?",88,what a pilot measures,"To be concrete about the pilot: one location, after-hours only, measured against that same site's prior eight weeks. Recovered bookings against cost. If it doesn't clear, that's a clean no and nobody has to argue about it. Nothing touches the other sites.",how it books,"Per-location hours, per-location pricing, and every booking lands as pending rather than confirmed so each site's front desk keeps its own calendar. Clinical questions route to a provider callback on a tracked two-hour clock. Patient data is de-identified before it reaches a model and the orchestration layer only ever sees UUIDs — which is the part your compliance people will ask about first.",the rollout question,"The honest version: most of these fail at rollout, not at pilot. What makes the difference is whether each site's hours and pricing live in one place someone actually maintains. Worth knowing whether that exists at your network before anyone signs anything.",closing the loop,"Last note from me, and I'd rather send one than seven. Reply with a number: 1 — worth a conversation. 2 — not now, three months. 3 — not interested, and I'll stop writing to your locations entirely. Silence I'll read as a 3."
22,A+,2026-09-08,2,ET,Lecada Medical Artistry,Tampa,FL,info@lecadatampa.com,(813) 874-2332,http://www.lecadatampa.com/?utm_source=gbp,4.7,480,10.0,,Small,closed Sat + Sun,Receptionist / voice agent,headcount down 22% in 6mo,weekend calls,"480 reviews at 4.7, with Saturday and Sunday both dark. Tampa clients book aesthetics on weekends — that's when they have time to call. An agent covering those hours answers, quotes your real pricing rather than deflecting to ""call us,"" and books into your calendar as pending so your team confirms every slot before it's real. Anything clinical it won't touch — that routes to a provider callback on a two-hour clock the system tracks. Worth exploring?",77,dormant patients,"Separate from the phones: patient bases go quiet without anyone noticing. A daily job finds everyone dormant past 45 days with nothing on the books and sends one message referencing what they actually had done — not a blast. No-shows get their own recovery path, because someone who missed an appointment converts far better than a cold lead. It runs whether or not anything else does.",how it books,"The part most vendors skip: every booking lands as *pending*, never confirmed. Your team keeps the last word on the calendar. And it refuses clinical questions outright — medications, contraindications, reactions get no automated answer, they route to a provider callback on a two-hour clock the system tracks. Patient data is encrypted per-field and de-identified before anything reaches a model; the orchestration layer only ever sees UUIDs.",the quiet leak,"The cost of a missed call isn't the call. It's that nobody logs it, so it never shows up in any report you read — the calendar looks fine and the gap is invisible. Reminders at 24 and 2 hours before each appointment, idempotent so nobody gets the same text twice, close the other half of the same leak. Two automations, one number to watch.",closing the loop,"I've sent a few notes and haven't heard back, so this is the last one. Reply with a number if it's easier: 1 — worth a conversation. 2 — not now, try again in three months. 3 — not interested, stop. No reply is fine too; I'll take that as a 3 and leave you alone."
23,A+,2026-09-08,3,ET,Prestige,Boca Raton,FL,support@pacboca.com,(561) 235-7300,https://www.pacboca.com/,4.9,477,3.0,,Micro / owner-operated,closed Sat + Sun,Receptionist / voice agent,,three people,"477 reviews at 4.9 against a three-person clinic. Dr. Sharabi's team is carrying a patient load that would staff something four times the size, and weekends are closed. The single highest-value piece at that headcount is the phone — an agent that answers, books as pending, and won't touch a clinical question. Hormone and anti-aging inquiries get screened before they hit the calendar. Just that. Worth a look?",68,after hours,"The other side of triage is the hours nobody's there. Qualification only helps if someone's awake to receive the answer, so the agent answers around the clock, quotes your real prices instead of ""call us,"" and books qualified leads as pending for your team to confirm.",what the gates are,"Worth being precise about the screening, since this is the part that has to be right: six questions produce a 0–100 score and a hot/warm/cold routing. Two things sit *outside* the arithmetic entirely — pregnant or breastfeeding disqualifies to a medical callback no matter how good every other answer is, and blood thinners flag for provider approval without penalising the lead. Those are gates, not scores.",the quiet leak,"Meanwhile the patients you already treated go quiet. A daily job catches anyone dormant past 45 days with nothing booked and sends one message referencing their actual treatment history. Cheaper than any lead you'll buy this quarter, and it needs no triage at all.",closing the loop,"This is my last one. Reply with a number: 1 — worth a conversation. 2 — not now, three months. 3 — not interested, stop. No answer is an answer too; I won't write again."
24,A+,2026-09-08,4,MT,RESTOR Medical Spa | Central Park,Denver,CO,info@restormedicalspa.com,(720) 388-6244,https://www.restormedicalspa.com/?utm_medium=organic&utm_source=gmblisting&utm_campaign=cp,4.9,465,19.0,,Core (best fit),closed Sun + Monday,Receptionist / voice agent,"3 CO locations, plans 20",twenty locations,"You've said publicly you're going from three Colorado locations to twenty. The thing that breaks first in that jump is never treatment quality — it's the front desk, because call volume scales with locations while the people answering don't. Worth fixing before you scale rather than after: an agent that knows each location's real hours, routes to the right calendar, and books as pending so every site still confirms. Right now Sunday and Monday are both dark across all three. Functional medicine adds a wrinkle — hormone and weight-loss inquiries need screening, not just booking. That's handled with contraindication gates that sit outside the scoring. Worth exploring?",107,what a pilot measures,"To be concrete about the pilot: one location, after-hours only, measured against that same site's prior eight weeks. Recovered bookings against cost. If it doesn't clear, that's a clean no and nobody has to argue about it. Nothing touches the other sites.",how it books,"Per-location hours, per-location pricing, and every booking lands as pending rather than confirmed so each site's front desk keeps its own calendar. Clinical questions route to a provider callback on a tracked two-hour clock. Patient data is de-identified before it reaches a model and the orchestration layer only ever sees UUIDs — which is the part your compliance people will ask about first.",the rollout question,"The honest version: most of these fail at rollout, not at pilot. What makes the difference is whether each site's hours and pricing live in one place someone actually maintains. Worth knowing whether that exists at your network before anyone signs anything.",closing the loop,"Last note from me, and I'd rather send one than seven. Reply with a number: 1 — worth a conversation. 2 — not now, three months. 3 — not interested, and I'll stop writing to your locations entirely. Silence I'll read as a 3."
25,A+,2026-09-08,5,ET,Couture Med Spa,Winter Park,FL,connect@couturemedspa.com,(407) 907-6300,https://www.couturemedspa.com/,4.6,440,39.0,,Core (best fit),closed Sunday,Reactivation,,membership churn,"You sell memberships, which makes retention the number that actually moves — and a 4.6 across 440 reviews sits a little under where a 39-person practice probably wants to be. Two systems, not five. Dormant members get flagged at 45 days with nothing booked, then worked over two touches with a cooldown so nobody unsubscribes. And review requests fire on a real treatment-completed event, with replies drafted for a manager to approve before anything posts. Membership businesses lose money quietly. Both of those make it visible. Worth a look?",89,dormant members,The churn signal usually shows up before the cancellation: a member who stops booking. A daily job flags anyone past 45 days with nothing on the calendar and sends one message referencing what they actually had done. Catching it at day 45 rather than at the cancellation email is most of the retention work.,how it books,"Bookings land as pending, never confirmed — your team keeps the calendar. Clinical questions get no automated answer at all; they route to a provider callback on a tracked two-hour clock. Patient data is encrypted per-field and de-identified before any of it reaches a model.",the no-show half,"Members no-show more than one-off patients do, because they've already paid and the appointment feels free. Reminders at 24 and 2 hours, idempotent so nobody gets doubled up, are the cheapest fix available for that specific behaviour.",closing the loop,"Last note. Reply with a number if it's easier: 1 — worth a conversation. 2 — not now, three months. 3 — not interested. Silence is fine, I'll stop either way."
26,A+,2026-09-08,1,ET,Ecobel Med Spa,Atlanta,GA,info@ecobelmedspa.com,(404) 960-0812,http://www.ecobelmedspa.com/,4.9,434,6.0,,Micro / owner-operated,closed Sun + Monday,Receptionist / voice agent,no website on Apollo record,monday backlog,"Closed Sunday and Monday both, six staff in Buckhead. Two days of inbound arrives at once on Tuesday, on a team already treating patients. An agent works that queue as it lands instead of letting it stack — books as pending so Tuesday starts with a calendar, not a voicemail box. Worth exploring?",53,dormant patients,"Separate from the phones: patient bases go quiet without anyone noticing. A daily job finds everyone dormant past 45 days with nothing on the books and sends one message referencing what they actually had done — not a blast. No-shows get their own recovery path, because someone who missed an appointment converts far better than a cold lead. It runs whether or not anything else does.",how it books,"The part most vendors skip: every booking lands as *pending*, never confirmed. Your team keeps the last word on the calendar. And it refuses clinical questions outright — medications, contraindications, reactions get no automated answer, they route to a provider callback on a two-hour clock the system tracks. Patient data is encrypted per-field and de-identified before anything reaches a model; the orchestration layer only ever sees UUIDs.",the quiet leak,"The cost of a missed call isn't the call. It's that nobody logs it, so it never shows up in any report you read — the calendar looks fine and the gap is invisible. Reminders at 24 and 2 hours before each appointment, idempotent so nobody gets the same text twice, close the other half of the same leak. Two automations, one number to watch.",closing the loop,"I've sent a few notes and haven't heard back, so this is the last one. Reply with a number if it's easier: 1 — worth a conversation. 2 — not now, try again in three months. 3 — not interested, stop. No reply is fine too; I'll take that as a 3 and leave you alone."
27,A+,2026-09-08,2,ET,dermani MEDSPAÂ® Buckhead,Atlanta,GA,buckhead@dermanimedspa.com,(770) 847-8230,https://dermanimedspa.com/buckhead-atlanta-ga/,4.7,430,82.0,,Enterprise / chain,closed Sunday,Reactivation,chain - enterprise motion,membership retention,"A membership model across a franchise network means churn compounds quietly — one location's retention problem doesn't show up until the cohort is gone. Dormant members get flagged at 45 days with nothing booked, worked over two touches with a cooldown, and reported per location. For a chain that's a unit-economics change rather than a tool. Sunday's dark network-wide too, which is the cheaper fix of the two. Happy to scope a two-location pilot. Worth a look?",77,what a pilot measures,"To be concrete about the pilot: one location, after-hours only, measured against that same site's prior eight weeks. Recovered bookings against cost. If it doesn't clear, that's a clean no and nobody has to argue about it. Nothing touches the other sites.",how it books,"Per-location hours, per-location pricing, and every booking lands as pending rather than confirmed so each site's front desk keeps its own calendar. Clinical questions route to a provider callback on a tracked two-hour clock. Patient data is de-identified before it reaches a model and the orchestration layer only ever sees UUIDs — which is the part your compliance people will ask about first.",the rollout question,"The honest version: most of these fail at rollout, not at pilot. What makes the difference is whether each site's hours and pricing live in one place someone actually maintains. Worth knowing whether that exists at your network before anyone signs anything.",closing the loop,"Last note from me, and I'd rather send one than seven. Reply with a number: 1 — worth a conversation. 2 — not now, three months. 3 — not interested, and I'll stop writing to your locations entirely. Silence I'll read as a 3."
28,A+,2026-09-08,3,ET,Winter Park Laser & Anti-Aging Center,Winter Park,FL,info@winterparklaser.com,(407) 601-1185,https://www.winterparklaser.com/,4.7,422,10.0,,Small,closed Sat + Sun,Receptionist / voice agent,,weekend coverage,"Closed Saturday and Sunday against 422 reviews — whoever calls this weekend books somewhere else by Monday. Beyond the coverage: laser and anti-aging work sells in courses, and courses stall. A reactivation sequence catches anyone dormant past 45 days with nothing booked, texts a rebooking link, then a credit offer three days on, with a cooldown so nobody gets pestered. The phone agent and that sequence run off the same patient record, so they never contradict each other. Worth a look?",81,dormant patients,"Separate from the phones: patient bases go quiet without anyone noticing. A daily job finds everyone dormant past 45 days with nothing on the books and sends one message referencing what they actually had done — not a blast. No-shows get their own recovery path, because someone who missed an appointment converts far better than a cold lead. It runs whether or not anything else does.",how it books,"The part most vendors skip: every booking lands as *pending*, never confirmed. Your team keeps the last word on the calendar. And it refuses clinical questions outright — medications, contraindications, reactions get no automated answer, they route to a provider callback on a two-hour clock the system tracks. Patient data is encrypted per-field and de-identified before anything reaches a model; the orchestration layer only ever sees UUIDs.",the quiet leak,"The cost of a missed call isn't the call. It's that nobody logs it, so it never shows up in any report you read — the calendar looks fine and the gap is invisible. Reminders at 24 and 2 hours before each appointment, idempotent so nobody gets the same text twice, close the other half of the same leak. Two automations, one number to watch.",closing the loop,"I've sent a few notes and haven't heard back, so this is the last one. Reply with a number if it's easier: 1 — worth a conversation. 2 — not now, try again in three months. 3 — not interested, stop. No reply is fine too; I'll take that as a 3 and leave you alone."
29,A+,2026-09-08,4,CT,Glow Medspa Houston,Houston,TX,contact@glowmedspa.com,(346) 478-7600,https://glowmedspa.com/laser-treatments-med-spa-services-in-houston-tx/,4.7,422,5.0,,Micro / owner-operated,closed Sun + Monday,Receptionist / voice agent,,monday backlog,"Closed Sunday and Monday, five staff. Two days of inbound arriving at once on Tuesday against a team that's already treating patients. An agent works the queue as it lands rather than letting it pile up — books as pending so you confirm what's real. Worth exploring?",47,dormant patients,"Separate from the phones: patient bases go quiet without anyone noticing. A daily job finds everyone dormant past 45 days with nothing on the books and sends one message referencing what they actually had done — not a blast. No-shows get their own recovery path, because someone who missed an appointment converts far better than a cold lead. It runs whether or not anything else does.",how it books,"The part most vendors skip: every booking lands as *pending*, never confirmed. Your team keeps the last word on the calendar. And it refuses clinical questions outright — medications, contraindications, reactions get no automated answer, they route to a provider callback on a two-hour clock the system tracks. Patient data is encrypted per-field and de-identified before anything reaches a model; the orchestration layer only ever sees UUIDs.",the quiet leak,"The cost of a missed call isn't the call. It's that nobody logs it, so it never shows up in any report you read — the calendar looks fine and the gap is invisible. Reminders at 24 and 2 hours before each appointment, idempotent so nobody gets the same text twice, close the other half of the same leak. Two automations, one number to watch.",closing the loop,"I've sent a few notes and haven't heard back, so this is the last one. Reply with a number if it's easier: 1 — worth a conversation. 2 — not now, try again in three months. 3 — not interested, stop. No reply is fine too; I'll take that as a 3 and leave you alone."
