Campaign Rank,Priority Tier,Send date,Send day,Week,Mailbox,Prospect TZ,Business,City,ST,Email,Phone,Website,Rating,Reviews,Employees,Locations,Segment,Coverage gap,Lead with,Warnings,T1 subject,T1 body,T1 words,T2 subject,T2 body,T3 subject,T3 body,T4 subject,T4 body,T5 subject,T5 body
46,A+,2026-09-30,Wed,1,1,ET,Tre Medspa,Tampa,FL,info@tremedspa.com,(813) 749-0918,http://www.tremedspa.com/,4.8,265,1,,Micro / owner-operated,closed Sat + Sun,Receptionist / voice agent,1 employee,solo practice,"265 reviews at 4.8 running solo in Westchase. The math is brutal: every hour treating is an hour not answering, and both weekend days are dark on top of that. An agent answers, quotes real prices, books as pending. One piece, priced for a one-person practice. Worth a look?",49,after hours,"The other side of triage is the hours nobody's there. Qualification only helps if someone's awake to receive the answer, so the agent answers around the clock, quotes your real prices instead of ""call us,"" and books qualified leads as pending for your team to confirm.",what the gates are,"Worth being precise about the screening, since this is the part that has to be right: six questions produce a 0–100 score and a hot/warm/cold routing. Two things sit *outside* the arithmetic entirely — pregnant or breastfeeding disqualifies to a medical callback no matter how good every other answer is, and blood thinners flag for provider approval without penalising the lead. Those are gates, not scores.",the quiet leak,"Meanwhile the patients you already treated go quiet. A daily job catches anyone dormant past 45 days with nothing booked and sends one message referencing their actual treatment history. Cheaper than any lead you'll buy this quarter, and it needs no triage at all.",closing the loop,"This is my last one. Reply with a number: 1 — worth a conversation. 2 — not now, three months. 3 — not interested, stop. No answer is an answer too; I won't write again."
47,A+,2026-09-30,Wed,1,2,CT,St. Louis Skin Solutions,St Louis,MO,info@stlouisskin.com,(314) 485-7845,https://stlouisskin.com/,4.8,254,13,,Small,closed Sat + Sun,Receptionist / voice agent,Dr. Amy Miller,weekend calls,"Twenty-one years in St. Louis, both weekend days closed. A practice that established doesn't have an awareness problem — it has an availability one. An agent covering weekends answers, quotes real prices, and books as pending so Dr. Miller's team still confirms every slot. Your laser and injectable work also sells in series, and series stall: a reactivation job catches anyone dormant past 45 days with nothing booked. Worth a look?",71,dormant patients,"Separate from the phones: patient bases go quiet without anyone noticing. A daily job finds everyone dormant past 45 days with nothing on the books and sends one message referencing what they actually had done — not a blast. No-shows get their own recovery path, because someone who missed an appointment converts far better than a cold lead. It runs whether or not anything else does.",how it books,"The part most vendors skip: every booking lands as *pending*, never confirmed. Your team keeps the last word on the calendar. And it refuses clinical questions outright — medications, contraindications, reactions get no automated answer, they route to a provider callback on a two-hour clock the system tracks. Patient data is encrypted per-field and de-identified before anything reaches a model; the orchestration layer only ever sees UUIDs.",the quiet leak,"The cost of a missed call isn't the call. It's that nobody logs it, so it never shows up in any report you read — the calendar looks fine and the gap is invisible. Reminders at 24 and 2 hours before each appointment, idempotent so nobody gets the same text twice, close the other half of the same leak. Two automations, one number to watch.",closing the loop,"I've sent a few notes and haven't heard back, so this is the last one. Reply with a number if it's easier: 1 — worth a conversation. 2 — not now, try again in three months. 3 — not interested, stop. No reply is fine too; I'll take that as a 3 and leave you alone."
48,A+,2026-09-30,Wed,1,3,ET,CMA - Center for Modern Aesthetic Medicine,Jacksonville,FL,info@cmamedicine.com,(904) 772-5828,https://cmamedicine.com/?utm_source=gbp,4.8,250,16,,Core (best fit),closed Sat + Sun,Receptionist / voice agent,Dr. Konika Schallen,weekend coverage,"Closed Saturday and Sunday, sixteen staff, 250 reviews at 4.8. For a research-forward practice like Dr. Schallen's, the weekend caller is usually the one doing the most homework — and they're comparing you against whoever picks up. An agent covering those hours answers, quotes your real pricing rather than deflecting to a callback, and books as pending so your team confirms. Anything clinical it won't touch. Worth a look?",69,dormant patients,"Separate from the phones: patient bases go quiet without anyone noticing. A daily job finds everyone dormant past 45 days with nothing on the books and sends one message referencing what they actually had done — not a blast. No-shows get their own recovery path, because someone who missed an appointment converts far better than a cold lead. It runs whether or not anything else does.",how it books,"The part most vendors skip: every booking lands as *pending*, never confirmed. Your team keeps the last word on the calendar. And it refuses clinical questions outright — medications, contraindications, reactions get no automated answer, they route to a provider callback on a two-hour clock the system tracks. Patient data is encrypted per-field and de-identified before anything reaches a model; the orchestration layer only ever sees UUIDs.",the quiet leak,"The cost of a missed call isn't the call. It's that nobody logs it, so it never shows up in any report you read — the calendar looks fine and the gap is invisible. Reminders at 24 and 2 hours before each appointment, idempotent so nobody gets the same text twice, close the other half of the same leak. Two automations, one number to watch.",closing the loop,"I've sent a few notes and haven't heard back, so this is the last one. Reply with a number if it's easier: 1 — worth a conversation. 2 — not now, try again in three months. 3 — not interested, stop. No reply is fine too; I'll take that as a 3 and leave you alone."
49,A+,2026-09-30,Wed,1,4,ET,Charlotte Plastic Surgery,Charlotte,NC,info@charlotteplasticsurgery.com,(704) 372-6846,https://www.charlotteplasticsurgery.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=uptown,4.7,245,44,,Core (best fit),closed Sat + Sun,Receptionist / voice agent,founded 1951,weekend consults,"A practice running since 1951 with two Charlotte locations, closed both weekend days. Surgical consults are the most expensive appointment you book, and the weekend caller who reaches voicemail is the one comparison-shopping three surgeons. An agent covering those hours books as pending — never confirmed — so your team keeps the last word on the surgical calendar. And it refuses clinical questions outright: anything about a procedure, recovery or a medication routes to a provider callback on a tracked two-hour clock. Worth exploring?",84,what a pilot measures,"To be concrete about the pilot: one location, after-hours only, measured against that same site's prior eight weeks. Recovered bookings against cost. If it doesn't clear, that's a clean no and nobody has to argue about it. Nothing touches the other sites.",how it books,"Per-location hours, per-location pricing, and every booking lands as pending rather than confirmed so each site's front desk keeps its own calendar. Clinical questions route to a provider callback on a tracked two-hour clock. Patient data is de-identified before it reaches a model and the orchestration layer only ever sees UUIDs — which is the part your compliance people will ask about first.",the rollout question,"The honest version: most of these fail at rollout, not at pilot. What makes the difference is whether each site's hours and pricing live in one place someone actually maintains. Worth knowing whether that exists at your network before anyone signs anything.",closing the loop,"Last note from me, and I'd rather send one than seven. Reply with a number: 1 — worth a conversation. 2 — not now, three months. 3 — not interested, and I'll stop writing to your locations entirely. Silence I'll read as a 3."
50,A+,2026-09-30,Wed,1,5,PT,Manhattan Dermatology,Manhattan Beach,CA,info@manhattan-dermatology.com,(310) 546-1188,http://www.manhattan-dermatology.com/,4.6,231,18,,Core (best fit),closed Sat + Sun,Receptionist / voice agent,Dr. Ashley Magovern,front desk triage,"Three locations running general dermatology alongside cosmetic means one phone line is triaging a skin-cancer screening and a filler consult with the same greeting — and both weekend days are dark. Cosmetic inquiries get qualified before they reach your desk. Anything clinical never gets an automated answer at all: it routes to a provider callback on a two-hour clock the system tracks and escalates. For an integrative practice like Dr. Magovern's, the routing matters more than the answering. Worth exploring?",80,what a pilot measures,"To be concrete about the pilot: one location, after-hours only, measured against that same site's prior eight weeks. Recovered bookings against cost. If it doesn't clear, that's a clean no and nobody has to argue about it. Nothing touches the other sites.",how it books,"Per-location hours, per-location pricing, and every booking lands as pending rather than confirmed so each site's front desk keeps its own calendar. Clinical questions route to a provider callback on a tracked two-hour clock. Patient data is de-identified before it reaches a model and the orchestration layer only ever sees UUIDs — which is the part your compliance people will ask about first.",the rollout question,"The honest version: most of these fail at rollout, not at pilot. What makes the difference is whether each site's hours and pricing live in one place someone actually maintains. Worth knowing whether that exists at your network before anyone signs anything.",closing the loop,"Last note from me, and I'd rather send one than seven. Reply with a number: 1 — worth a conversation. 2 — not now, three months. 3 — not interested, and I'll stop writing to your locations entirely. Silence I'll read as a 3."
51,A,2026-10-01,Thu,1,1,ET,image DermatologyÂ® P.C.,Montclair,NJ,info@imagedermatology.com,(973) 509-6900,https://www.imagedermatology.com/,4.3,221,11,,Small,closed Sat + Sun,Receptionist / voice agent,Dr. Jeanine Downie,unanswered reviews,"4.3 on 221 reviews. That's not a service problem — for a dermatology practice it's usually a follow-up problem, and the critical reviews are what a new patient reads first. Requests fire on a real treatment-completed event, replies come back drafted for approval, and nothing posts publicly without a human — replying to a review confirms that person was a patient. Separately, you're closed both weekend days, and a derm practice's phone is the whole funnel. Worth exploring?",78,after hours,"The other half of a rating problem is the calls nobody answered. People don't leave a review for the practice they couldn't reach — they just book elsewhere, and your rating stays where it is while your calendar quietly thins. An agent that answers after hours, quotes real prices and books as pending covers that side.",how replies work,"On the review side specifically: nothing posts publicly on its own. Requests fire on a real treatment-completed event rather than a schedule, so nobody gets asked before they've been treated. Replies come back drafted, a human approves, and only then does anything go up. Public auto-posting is off by default and I'd leave it off.",the arithmetic,"At a few hundred reviews the average moves slowly, which is why the fix is volume of new ones rather than arguing with old ones. Asking every treated patient at the right moment is worth more than any single reply you write. The moment is the thing — a request sent two days later converts a fraction as well.",closing the loop,"Last note from me. Reply with a number if that's easier: 1 — worth a conversation. 2 — not now, three months. 3 — not interested. Silence works too, I'll read it as a 3. Good luck either way — the rating is fixable, with or without me."
52,A,2026-10-01,Thu,1,2,PT,Pure Luxe Medical,Manhattan Beach,CA,info@pureluxemedical.com,(424) 277-1642,https://www.pureluxemedical.com/,4.8,211,4,,Micro / owner-operated,closed Sat + Sun,Receptionist / voice agent,,weekend voicemail,"Four staff on Main Street, weekends closed. In a beach-city market, Saturday is when people actually have time to call about aesthetics. An agent covering those hours answers and books as pending so you confirm. That's it — at four people the rest of the stack would sit unused. Worth a look?",52,dormant patients,"Separate from the phones: patient bases go quiet without anyone noticing. A daily job finds everyone dormant past 45 days with nothing on the books and sends one message referencing what they actually had done — not a blast. No-shows get their own recovery path, because someone who missed an appointment converts far better than a cold lead. It runs whether or not anything else does.",how it books,"The part most vendors skip: every booking lands as *pending*, never confirmed. Your team keeps the last word on the calendar. And it refuses clinical questions outright — medications, contraindications, reactions get no automated answer, they route to a provider callback on a two-hour clock the system tracks. Patient data is encrypted per-field and de-identified before anything reaches a model; the orchestration layer only ever sees UUIDs.",the quiet leak,"The cost of a missed call isn't the call. It's that nobody logs it, so it never shows up in any report you read — the calendar looks fine and the gap is invisible. Reminders at 24 and 2 hours before each appointment, idempotent so nobody gets the same text twice, close the other half of the same leak. Two automations, one number to watch.",closing the loop,"I've sent a few notes and haven't heard back, so this is the last one. Reply with a number if it's easier: 1 — worth a conversation. 2 — not now, try again in three months. 3 — not interested, stop. No reply is fine too; I'll take that as a 3 and leave you alone."
53,A,2026-10-01,Thu,1,3,PT,Onestop Aesthetic Travel and Wellness Center,Pleasanton,CA,info@onestopaesthetictravelandwellness.com,(925) 263-9547,https://www.onestopaesthetictravelandwellness.com/,4.7,197,3,,Micro / owner-operated,closed Sat + Sun,Receptionist / voice agent,,weekend calls,"Three staff, weekends closed, and a business model that involves coordinating travel — which means more back-and-forth per booking than a normal med spa, not less. An agent handles the first round of that: answers, quotes, and books as pending so you confirm the details that actually need a human. Worth a look?",53,dormant patients,"Separate from the phones: patient bases go quiet without anyone noticing. A daily job finds everyone dormant past 45 days with nothing on the books and sends one message referencing what they actually had done — not a blast. No-shows get their own recovery path, because someone who missed an appointment converts far better than a cold lead. It runs whether or not anything else does.",how it books,"The part most vendors skip: every booking lands as *pending*, never confirmed. Your team keeps the last word on the calendar. And it refuses clinical questions outright — medications, contraindications, reactions get no automated answer, they route to a provider callback on a two-hour clock the system tracks. Patient data is encrypted per-field and de-identified before anything reaches a model; the orchestration layer only ever sees UUIDs.",the quiet leak,"The cost of a missed call isn't the call. It's that nobody logs it, so it never shows up in any report you read — the calendar looks fine and the gap is invisible. Reminders at 24 and 2 hours before each appointment, idempotent so nobody gets the same text twice, close the other half of the same leak. Two automations, one number to watch.",closing the loop,"I've sent a few notes and haven't heard back, so this is the last one. Reply with a number if it's easier: 1 — worth a conversation. 2 — not now, try again in three months. 3 — not interested, stop. No reply is fine too; I'll take that as a 3 and leave you alone."
54,A,2026-10-01,Thu,1,4,MT,Barr Aesthetics,Salt Lake City,UT,info@barraesthetics.com,(801) 532-0204,http://barraesthetics.com/,4.7,167,6,,Micro / owner-operated,closed Sat + Sun,Receptionist / voice agent,"Dr. Lucy Barr, plastic surgeon",surgical consults,"A facial plastic surgery practice books the most expensive consult in aesthetics, and the weekend caller comparing rhinoplasty surgeons is exactly the one you can't afford to miss. Weekends are closed. The agent books as pending, never confirmed, so Dr. Barr's calendar stays under human control — and it refuses clinical questions outright, routing them to a provider callback on a tracked two-hour clock. For a surgical practice that refusal is the feature. Worth exploring?",75,after hours,"The other side of triage is the hours nobody's there. Qualification only helps if someone's awake to receive the answer, so the agent answers around the clock, quotes your real prices instead of ""call us,"" and books qualified leads as pending for your team to confirm.",what the gates are,"Worth being precise about the screening, since this is the part that has to be right: six questions produce a 0–100 score and a hot/warm/cold routing. Two things sit *outside* the arithmetic entirely — pregnant or breastfeeding disqualifies to a medical callback no matter how good every other answer is, and blood thinners flag for provider approval without penalising the lead. Those are gates, not scores.",the quiet leak,"Meanwhile the patients you already treated go quiet. A daily job catches anyone dormant past 45 days with nothing booked and sends one message referencing their actual treatment history. Cheaper than any lead you'll buy this quarter, and it needs no triage at all.",closing the loop,"This is my last one. Reply with a number: 1 — worth a conversation. 2 — not now, three months. 3 — not interested, stop. No answer is an answer too; I won't write again."
55,A,2026-10-01,Thu,1,5,MT,Beauty Lab + Laser Med Spa | Murray,Salt Lake City,UT,info@beautylablaser.com,(801) 675-8954,https://beautylablaser.com/locations/murray-beauty-lab-laser/,4.9,3701,15,2,Core (best fit),HOURS NOT IN WORKBOOK - do not claim a closure,Receptionist + no-show prevention,,mystery pricing,"No pushy sales, no mystery pricing, no tipping. That promise is easiest to break at 8:47 on a Sunday night, when Murray and Riverton are both quiet and someone with a Daxxify question reaches voicemail. An agent that answers around the clock and quotes your actual prices — not ""call us"" — keeps the promise the brand was built on. It books as pending so your front desk still confirms, and it won't touch a clinical question; those route to a provider callback on a tracked two-hour clock. 3,701 reviews says demand isn't the issue. Coverage is. Worth exploring?",99,dormant patients,"Separate from the phones: patient bases go quiet without anyone noticing. A daily job finds everyone dormant past 45 days with nothing on the books and sends one message referencing what they actually had done — not a blast. No-shows get their own recovery path, because someone who missed an appointment converts far better than a cold lead. It runs whether or not anything else does.",how it books,"The part most vendors skip: every booking lands as *pending*, never confirmed. Your team keeps the last word on the calendar. And it refuses clinical questions outright — medications, contraindications, reactions get no automated answer, they route to a provider callback on a two-hour clock the system tracks. Patient data is encrypted per-field and de-identified before anything reaches a model; the orchestration layer only ever sees UUIDs.",the quiet leak,"The cost of a missed call isn't the call. It's that nobody logs it, so it never shows up in any report you read — the calendar looks fine and the gap is invisible. Reminders at 24 and 2 hours before each appointment, idempotent so nobody gets the same text twice, close the other half of the same leak. Two automations, one number to watch.",closing the loop,"I've sent a few notes and haven't heard back, so this is the last one. Reply with a number if it's easier: 1 — worth a conversation. 2 — not now, try again in three months. 3 — not interested, stop. No reply is fine too; I'll take that as a 3 and leave you alone."
56,A,2026-10-01,Thu,1,1,ET,Cosmetica,Boca Raton,FL,contact@cosmeticamedspa.com,(561) 621-1156,https://cosmeticamedspa.com/?utm_campaign=gmb&utm_medium=gbpinfo&utm_source=googlebusinessprofile,4.8,1335,3,,Micro / owner-operated,HOURS NOT IN WORKBOOK - do not claim a closure,Receptionist + no-show prevention,,three people,"1,335 reviews against a three-person team, and a menu that runs from HydraFacial to TRT to the P-Shot. Most of your inbound doesn't know which of those it wants yet. Six questions over chat or SMS sort them: scored, routed, hot ones book themselves. Two gates sit outside the scoring — pregnant or breastfeeding disqualifies to a medical callback regardless of every other answer, and blood thinners flag for provider approval without penalizing the lead. At three people, triage before booking is most of the job. Worth a look?",89,after hours,"The other side of triage is the hours nobody's there. Qualification only helps if someone's awake to receive the answer, so the agent answers around the clock, quotes your real prices instead of ""call us,"" and books qualified leads as pending for your team to confirm.",what the gates are,"Worth being precise about the screening, since this is the part that has to be right: six questions produce a 0–100 score and a hot/warm/cold routing. Two things sit *outside* the arithmetic entirely — pregnant or breastfeeding disqualifies to a medical callback no matter how good every other answer is, and blood thinners flag for provider approval without penalising the lead. Those are gates, not scores.",the quiet leak,"Meanwhile the patients you already treated go quiet. A daily job catches anyone dormant past 45 days with nothing booked and sends one message referencing their actual treatment history. Cheaper than any lead you'll buy this quarter, and it needs no triage at all.",closing the loop,"This is my last one. Reply with a number: 1 — worth a conversation. 2 — not now, three months. 3 — not interested, stop. No answer is an answer too; I won't write again."
57,A,2026-10-01,Thu,1,2,CT,SpaDerma,Chicago,IL,info@spaderma.com,(773) 529-5277,https://www.spaderma.com/,4.9,792,130,1,Enterprise / chain,HOURS NOT IN WORKBOOK - do not claim a closure,Receptionist / voice agent,,seven days open,"Open seven days with evening hours across West Loop, Lincoln Park and Wicker Park, and nearly 125 injectors and aestheticians. That's an unusual amount of coverage to staff — and the phones have to match it every hour you're open. At your scale I wouldn't propose anything network-wide. One location, after-hours only, measured against its own prior eight weeks. If the recovered bookings don't cover it, that's a clean no. Worth exploring what a single-site pilot would look like?",79,what a pilot measures,"To be concrete about the pilot: one location, after-hours only, measured against that same site's prior eight weeks. Recovered bookings against cost. If it doesn't clear, that's a clean no and nobody has to argue about it. Nothing touches the other sites.",how it books,"Per-location hours, per-location pricing, and every booking lands as pending rather than confirmed so each site's front desk keeps its own calendar. Clinical questions route to a provider callback on a tracked two-hour clock. Patient data is de-identified before it reaches a model and the orchestration layer only ever sees UUIDs — which is the part your compliance people will ask about first.",the rollout question,"The honest version: most of these fail at rollout, not at pilot. What makes the difference is whether each site's hours and pricing live in one place someone actually maintains. Worth knowing whether that exists at your network before anyone signs anything.",closing the loop,"Last note from me, and I'd rather send one than seven. Reply with a number: 1 — worth a conversation. 2 — not now, three months. 3 — not interested, and I'll stop writing to your locations entirely. Silence I'll read as a 3."
58,A,2026-10-01,Thu,1,3,ET,True Jewel Cosmetic & Plastic Surgery Center,Washington,DC,info@truejewelcosmeticcenter.com,(424) 434-6999,https://www.truejewelcosmeticcenter.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,5,780,7,,Small,Saturday,Receptionist / voice agent,,saturday calls,"A flat 5.0 across 780 reviews, and Saturday is the one day you're closed. In DC, Saturday is when people finally have time to call about a procedure they've been thinking about all week. An agent covers it — answers, quotes real pricing, books as pending so your team confirms Monday. For a practice that also does surgery, it refuses clinical questions outright rather than guessing. Worth a look?",69,dormant patients,"Separate from the phones: patient bases go quiet without anyone noticing. A daily job finds everyone dormant past 45 days with nothing on the books and sends one message referencing what they actually had done — not a blast. No-shows get their own recovery path, because someone who missed an appointment converts far better than a cold lead. It runs whether or not anything else does.",how it books,"The part most vendors skip: every booking lands as *pending*, never confirmed. Your team keeps the last word on the calendar. And it refuses clinical questions outright — medications, contraindications, reactions get no automated answer, they route to a provider callback on a two-hour clock the system tracks. Patient data is encrypted per-field and de-identified before anything reaches a model; the orchestration layer only ever sees UUIDs.",the quiet leak,"The cost of a missed call isn't the call. It's that nobody logs it, so it never shows up in any report you read — the calendar looks fine and the gap is invisible. Reminders at 24 and 2 hours before each appointment, idempotent so nobody gets the same text twice, close the other half of the same leak. Two automations, one number to watch.",closing the loop,"I've sent a few notes and haven't heard back, so this is the last one. Reply with a number if it's easier: 1 — worth a conversation. 2 — not now, try again in three months. 3 — not interested, stop. No reply is fine too; I'll take that as a 3 and leave you alone."
59,A,2026-10-01,Thu,1,4,PT,Esthetics Center Sacramento,Sacramento,CA,info@estheticscenter.com,(916) 259-9971,https://www.estheticscenter.com/locations/sacramento?utm_source=google&utm_medium=organic&utm_campaign=gbpSacramento&utm_content=website,4.9,777,39,4,Core (best fit),Sunday,Receptionist / voice agent,,four locations,"Four Northern California locations under Dr. Rice, and Sunday dark across all of them. At that footprint an inbound call is a routing decision before it's a booking, and a caller who reaches the wrong site is revenue the network already paid to generate. An agent that knows each location's real hours routes first, then books as pending so every front desk keeps the last word. Start with the two busiest and measure against their own baseline. Worth exploring?",79,what a pilot measures,"To be concrete about the pilot: one location, after-hours only, measured against that same site's prior eight weeks. Recovered bookings against cost. If it doesn't clear, that's a clean no and nobody has to argue about it. Nothing touches the other sites.",how it books,"Per-location hours, per-location pricing, and every booking lands as pending rather than confirmed so each site's front desk keeps its own calendar. Clinical questions route to a provider callback on a tracked two-hour clock. Patient data is de-identified before it reaches a model and the orchestration layer only ever sees UUIDs — which is the part your compliance people will ask about first.",the rollout question,"The honest version: most of these fail at rollout, not at pilot. What makes the difference is whether each site's hours and pricing live in one place someone actually maintains. Worth knowing whether that exists at your network before anyone signs anything.",closing the loop,"Last note from me, and I'd rather send one than seven. Reply with a number: 1 — worth a conversation. 2 — not now, three months. 3 — not interested, and I'll stop writing to your locations entirely. Silence I'll read as a 3."
60,A,2026-10-01,Thu,1,5,ET,Adorn Medical Spa,Detroit,MI,info@adornmedspa.com,(313) 438-5159,https://adornmedspa.com/,4.9,692,4,,Micro / owner-operated,HOURS NOT IN WORKBOOK - do not claim a closure,Receptionist / voice agent,,four people,"692 reviews at 4.9 with four people on staff. Every call that lands mid-treatment is a booking decided by whether anyone can reach the phone — and mid-treatment, nobody can. One thing, not a platform: an agent that picks up, quotes your real prices, and books as pending so you confirm when you're free. Worth exploring?",56,after hours,"The other side of triage is the hours nobody's there. Qualification only helps if someone's awake to receive the answer, so the agent answers around the clock, quotes your real prices instead of ""call us,"" and books qualified leads as pending for your team to confirm.",what the gates are,"Worth being precise about the screening, since this is the part that has to be right: six questions produce a 0–100 score and a hot/warm/cold routing. Two things sit *outside* the arithmetic entirely — pregnant or breastfeeding disqualifies to a medical callback no matter how good every other answer is, and blood thinners flag for provider approval without penalising the lead. Those are gates, not scores.",the quiet leak,"Meanwhile the patients you already treated go quiet. A daily job catches anyone dormant past 45 days with nothing booked and sends one message referencing their actual treatment history. Cheaper than any lead you'll buy this quarter, and it needs no triage at all.",closing the loop,"This is my last one. Reply with a number: 1 — worth a conversation. 2 — not now, three months. 3 — not interested, stop. No answer is an answer too; I won't write again."
61,A,2026-10-01,Thu,1,1,US time zone - verify,Honolulu Spa And Wellness - Oahu,Honolulu,HI,aloha@honoluluspaandwellness.com,(808) 232-5626,https://honoluluspaandwellness.com/?utm_source=google_profile&utm_campaign=localo&utm_medium=mainlink,4.9,687,2,1,Micro / owner-operated,Sunday,Receptionist / voice agent,,time zones,"Two people, 687 reviews, Sunday closed — and a mainland time zone that means a chunk of your inbound arrives while Oahu is asleep. An agent covers those hours regardless of where the caller is, quotes real pricing, and books as pending so you confirm in the morning. That's the whole pitch at your size. Worth a look?",58,dormant patients,"Separate from the phones: patient bases go quiet without anyone noticing. A daily job finds everyone dormant past 45 days with nothing on the books and sends one message referencing what they actually had done — not a blast. No-shows get their own recovery path, because someone who missed an appointment converts far better than a cold lead. It runs whether or not anything else does.",how it books,"The part most vendors skip: every booking lands as *pending*, never confirmed. Your team keeps the last word on the calendar. And it refuses clinical questions outright — medications, contraindications, reactions get no automated answer, they route to a provider callback on a two-hour clock the system tracks. Patient data is encrypted per-field and de-identified before anything reaches a model; the orchestration layer only ever sees UUIDs.",the quiet leak,"The cost of a missed call isn't the call. It's that nobody logs it, so it never shows up in any report you read — the calendar looks fine and the gap is invisible. Reminders at 24 and 2 hours before each appointment, idempotent so nobody gets the same text twice, close the other half of the same leak. Two automations, one number to watch.",closing the loop,"I've sent a few notes and haven't heard back, so this is the last one. Reply with a number if it's easier: 1 — worth a conversation. 2 — not now, try again in three months. 3 — not interested, stop. No reply is fine too; I'll take that as a 3 and leave you alone."
62,A,2026-10-01,Thu,1,2,CT,ThrIVe Drip Spa - The Woodlands,The Woodlands,TX,info@thrivedripspa.com,(281) 343-3747,https://thrivedripspa.com/the-woodlands/?utm_source=GBP&utm_medium=Organic+&utm_campaign=Woodlands&utm_id=GBP,4.9,682,32,,Core (best fit),HOURS NOT IN WORKBOOK - do not claim a closure,Receptionist / voice agent,,membership churn,"IV therapy and EMSCULPT both run on repeat visits, which makes this a retention business more than an acquisition one — and retention leaks quietly. Nobody cancels a drip membership, they just stop booking. A daily job flags anyone past 45 days with nothing on the books, texts a rebooking link, then a credit offer three days on, with a cooldown so nobody gets pestered. At 682 reviews you're not short on people who've tried you once. Worth exploring?",79,dormant members,The churn signal usually shows up before the cancellation: a member who stops booking. A daily job flags anyone past 45 days with nothing on the calendar and sends one message referencing what they actually had done. Catching it at day 45 rather than at the cancellation email is most of the retention work.,how it books,"Bookings land as pending, never confirmed — your team keeps the calendar. Clinical questions get no automated answer at all; they route to a provider callback on a tracked two-hour clock. Patient data is encrypted per-field and de-identified before any of it reaches a model.",the no-show half,"Members no-show more than one-off patients do, because they've already paid and the appointment feels free. Reminders at 24 and 2 hours, idempotent so nobody gets doubled up, are the cheapest fix available for that specific behaviour.",closing the loop,"Last note. Reply with a number if it's easier: 1 — worth a conversation. 2 — not now, three months. 3 — not interested. Silence is fine, I'll stop either way."
63,A,2026-10-01,Thu,1,3,CT,The Shine Spa,St Louis,MO,contact@theshinespa.com,(314) 499-7199,http://theshinespa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,5,669,,,,Sunday,Receptionist / voice agent,,sunday calls,"A clean 5.0 across 669 reviews means essentially everyone who reaches you leaves happy. Sunday closed means a slice of them never reach you at all. An agent covers Sunday, quotes your real prices instead of deflecting, and books as pending so your team confirms Monday morning. When the rating is already perfect, the only growth left is capture. Worth a look?",62,dormant patients,"Separate from the phones: patient bases go quiet without anyone noticing. A daily job finds everyone dormant past 45 days with nothing on the books and sends one message referencing what they actually had done — not a blast. No-shows get their own recovery path, because someone who missed an appointment converts far better than a cold lead. It runs whether or not anything else does.",how it books,"The part most vendors skip: every booking lands as *pending*, never confirmed. Your team keeps the last word on the calendar. And it refuses clinical questions outright — medications, contraindications, reactions get no automated answer, they route to a provider callback on a two-hour clock the system tracks. Patient data is encrypted per-field and de-identified before anything reaches a model; the orchestration layer only ever sees UUIDs.",the quiet leak,"The cost of a missed call isn't the call. It's that nobody logs it, so it never shows up in any report you read — the calendar looks fine and the gap is invisible. Reminders at 24 and 2 hours before each appointment, idempotent so nobody gets the same text twice, close the other half of the same leak. Two automations, one number to watch.",closing the loop,"I've sent a few notes and haven't heard back, so this is the last one. Reply with a number if it's easier: 1 — worth a conversation. 2 — not now, try again in three months. 3 — not interested, stop. No reply is fine too; I'll take that as a 3 and leave you alone."
64,A,2026-10-01,Thu,1,4,ET,Plantation Med Spa,Plantation,FL,info@plantationmedspa.com,(954) 595-2607,https://plantationmedspa.com/,4.9,635,,,,Sunday,Receptionist / voice agent,,sunday voicemail,"635 reviews at 4.9, and Sunday still dark on the calendar. In South Florida that's the day people actually sit down and book the thing they've been putting off. An agent answers Sunday, quotes real pricing, and books as pending so your team confirms. Clinical questions it won't touch — those route to a provider callback within two hours. Worth exploring?",61,dormant patients,"Separate from the phones: patient bases go quiet without anyone noticing. A daily job finds everyone dormant past 45 days with nothing on the books and sends one message referencing what they actually had done — not a blast. No-shows get their own recovery path, because someone who missed an appointment converts far better than a cold lead. It runs whether or not anything else does.",how it books,"The part most vendors skip: every booking lands as *pending*, never confirmed. Your team keeps the last word on the calendar. And it refuses clinical questions outright — medications, contraindications, reactions get no automated answer, they route to a provider callback on a two-hour clock the system tracks. Patient data is encrypted per-field and de-identified before anything reaches a model; the orchestration layer only ever sees UUIDs.",the quiet leak,"The cost of a missed call isn't the call. It's that nobody logs it, so it never shows up in any report you read — the calendar looks fine and the gap is invisible. Reminders at 24 and 2 hours before each appointment, idempotent so nobody gets the same text twice, close the other half of the same leak. Two automations, one number to watch.",closing the loop,"I've sent a few notes and haven't heard back, so this is the last one. Reply with a number if it's easier: 1 — worth a conversation. 2 — not now, try again in three months. 3 — not interested, stop. No reply is fine too; I'll take that as a 3 and leave you alone."
