Rank,Priority,Fit score,Business,City,ST,Email,Phone,Website,Rating,Reviews,Locations in list,Coverage gap,Lead with,Then,Subject,Opening line,Data flags
11,P1,65,image DermatologyÂ® P.C.,Montclair,NJ,info@imagedermatology.com,(973) 509-6900,https://www.imagedermatology.com/,4.3,221,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,unanswered reviews,"You're at 4.3 on 221 reviews. That's not a service problem, it's a follow-up problem.",
12,P2,64,Nob Hill Aesthetics | Medical Spa,San Francisco,CA,office@nobhillaesthetics.com,(415) 440-6800,https://nobhillaesthetics.com/,4.9,923,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend calls,"923 reviews at 4.9, and the calendar shows both Saturday and Sunday dark. That's two days a week of San Francisco calls going to voicemail.",
13,P2,64,Aventura Dermatology,Aventura,FL,info@aventuradermatology.com,(754) 544-9030,https://aventuradermatology.com/,4.9,893,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend coverage,Closed Saturday and Sunday against 893 reviews — whoever calls this weekend books somewhere else by Monday.,
14,P2,64,Modern SLC by Manor,Salt Lake City,UT,info@modernslc.com,(801) 516-8884,https://modernslc.com/?utm_source=gbp-brand&utm_medium=organic&utm_campaign=local+search&utm_content=website+click,5.0,867,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend voicemail,"You're closed both weekend days. At 867 reviews, that's a meaningful number of Salt Lake City inquiries you never hear about.",
15,P2,64,Luminescence Aesthetics Buffalo,Washington,DC,hello@luminescence-aesthetics.com,(716) 800-1916,https://www.luminescence-aesthetics.com/,5.0,788,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend calls,"788 reviews at 5.0, and the calendar shows both Saturday and Sunday dark. That's two days a week of Washington calls going to voicemail.",
16,P2,64,ElaMar Nashville,Nashville,TN,nashville@elamarskin.com,(615) 235-9225,https://elamarskin.com/locations/elamar-nashville-tn/,5.0,659,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend coverage,Closed Saturday and Sunday against 659 reviews — whoever calls this weekend books somewhere else by Monday.,
17,P2,64,PRICK'D Medspa,St Louis,MO,getprickd@prickdmedspa.com,(314) 256-1290,https://www.prickdmedspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,4.9,622,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend voicemail,"You're closed both weekend days. At 622 reviews, that's a meaningful number of St Louis inquiries you never hear about.",
18,P2,64,The Beauty Clinic,Fort Lauderdale,FL,info@thebeautyclinic.com,(954) 719-7123,https://thebeautyclinic.com/,5.0,598,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend calls,"598 reviews at 5.0, and the calendar shows both Saturday and Sunday dark. That's two days a week of Fort Lauderdale calls going to voicemail.",
19,P2,64,Skin Pharm,Nashville,TN,hello@skinpharm.com,(615) 582-6726,https://skinpharm.com/nashville,5.0,519,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend coverage,Closed Saturday and Sunday against 519 reviews — whoever calls this weekend books somewhere else by Monday.,
20,P2,62,New Image Works,Ridgewood,NJ,info@newimageworks.com,(224) 432-5803,https://newimageworks.com/contact-us-glenview/,4.9,811,2,closed Sunday,Receptionist + no-show prevention,Reactivation,sunday voicemail,At 811 reviews you clearly aren't short on demand — but Sunday callers get voicemail.,"chain — 2 locations on this domain; city/email may reflect a different branch, verify HQ contact"
21,P2,61,Glow Medspa Houston,Houston,TX,contact@glowmedspa.com,(346) 478-7600,https://glowmedspa.com/laser-treatments-med-spa-services-in-houston-tx/,4.7,422,1,closed Sun + Monday,Receptionist / voice agent,No-show prevention,sunday calls,"Closed Sunday and Monday, with 422 reviews behind you — that's two days of calls landing on voicemail.",
22,P2,61,VIO Med Spa,Aventura,FL,queencreek@viomedspa.com,(954) 272-8330,https://www.viomedspa.com/aventura/?utm_source=GBP&utm_medium=GBP+Listing,5.0,329,7,closed Sunday,Receptionist — multi-location routing,Voice handoff,location routing,"VIO Med Spa runs 7 locations in this list alone, which means every inbound call is a routing decision before it's a booking.","chain — 7 locations on this domain; city/email may reflect a different branch, verify HQ contact"
23,P2,60,All Is Well Holistic Spa,Katy,TX,sales@alliswellspa.com,(832) 913-8186,https://alliswellspa.com/?y_source=1_MjAxODczNTUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.7,1938,1,closed Tuesday,Receptionist + no-show prevention,Reactivation,midweek gap,"You're closed Tuesday — the calls don't stop, they just pile up for the next open day.",
24,P2,60,Revive Medical,Philadelphia,PA,info@revivephilly.com,(844) 738-4832,https://www.revivephilly.com/,4.9,711,1,closed Sun + Monday,Receptionist / voice agent,No-show prevention,sunday calls,"Closed Sunday and Monday, with 711 reviews behind you — that's two days of calls landing on voicemail.",
25,P2,60,Essence Medspa & Wellness Center,Chicago,IL,keepcalm@essence-medspa.com,(773) 763-1212,http://www.essence-medspa.com/,4.9,578,1,closed Sun + Monday,Receptionist / voice agent,No-show prevention,sunday coverage,"Closed Sunday and Monday, with 578 reviews behind you — that's two days of calls landing on voicemail.",
26,P2,60,Serenity Aesthetics & Wellness,San Francisco,CA,info@serenitymedspa.com,(415) 781-9200,https://serenitymedspa.com/?y_source=1_MTA2NzU1NDY2OC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.5,316,1,closed Sunday,Review request + AI replies,Receptionist,review replies,4.5 across 316 reviews is a good business with a visible gap — the critical ones look unanswered.,
27,P2,60,Juvly Aesthetics,Columbus,OH,info@juvly.com,(614) 500-7000,https://www.juvly.com/?y_source=1_MTAwNDg3OTYzNC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.6,277,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend calls,"277 reviews at 4.6, and the calendar shows both Saturday and Sunday dark. That's two days a week of Columbus calls going to voicemail.",
28,P2,60,Charlotte Plastic Surgery,Charlotte,NC,info@charlotteplasticsurgery.com,(704) 372-6846,https://www.charlotteplasticsurgery.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=uptown,4.7,245,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend coverage,Closed Saturday and Sunday against 245 reviews — whoever calls this weekend books somewhere else by Monday.,
29,P2,60,Manhattan Dermatology,Manhattan Beach,CA,info@manhattan-dermatology.com,(310) 546-1188,http://www.manhattan-dermatology.com/,4.6,231,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend voicemail,"You're closed both weekend days. At 231 reviews, that's a meaningful number of Manhattan Beach inquiries you never hear about.",
30,P3,59,Prestige,Boca Raton,FL,support@pacboca.com,(561) 235-7300,https://www.pacboca.com/,4.9,477,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend calls,"477 reviews at 4.9, and the calendar shows both Saturday and Sunday dark. That's two days a week of Boca Raton calls going to voicemail.",
31,P3,59,Basis Aesthetics,Delray Beach,FL,hello@basisaesthetics.com,(561) 774-2296,http://basisaesthetics.com/,5.0,399,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend coverage,Closed Saturday and Sunday against 399 reviews — whoever calls this weekend books somewhere else by Monday.,
32,P3,59,Artistik Beauty,Winter Park,FL,info@artistikbeautyfl.com,(407) 759-8807,http://artistikbeautyfl.com/,4.9,397,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend voicemail,"You're closed both weekend days. At 397 reviews, that's a meaningful number of Winter Park inquiries you never hear about.",
33,P3,59,NSI Wellness | Aesthetics,Nashville,TN,info@tolmanmedical.com,(615) 431-3724,http://tolmanmedical.com/,4.9,363,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend calls,"363 reviews at 4.9, and the calendar shows both Saturday and Sunday dark. That's two days a week of Nashville calls going to voicemail.",
34,P3,59,"Prime MD, P.C.",Raleigh,NC,info@primemdcenter.com,(919) 948-6355,https://primemdcenter.com/,5.0,351,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend coverage,Closed Saturday and Sunday against 351 reviews — whoever calls this weekend books somewhere else by Monday.,
35,P3,59,BeautyCo,Raleigh,NC,hello@beautycoraleigh.com,(984) 222-0026,http://beautycoraleigh.com/,4.9,337,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend voicemail,"You're closed both weekend days. At 337 reviews, that's a meaningful number of Raleigh inquiries you never hear about.",
36,P3,59,Med 1 Aesthetics,Detroit,MI,info@med1aesthetics.com,(734) 780-7070,http://www.med1aesthetics.com/,5.0,306,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend calls,"306 reviews at 5.0, and the calendar shows both Saturday and Sunday dark. That's two days a week of Detroit calls going to voicemail.",
37,P3,59,Natural Beauty Laser,Delray Beach,FL,office@naturalbeautylaser.com,(561) 926-1392,https://naturalbeautylaser.com/,4.9,301,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend coverage,Closed Saturday and Sunday against 301 reviews — whoever calls this weekend books somewhere else by Monday.,
38,P3,57,Golden Glow Medical Spa,Clearwater,FL,info@goldenglowmedicalspa.com,(727) 683-0894,http://www.goldenglowmedicalspa.com/,4.8,863,1,closed Sunday,Receptionist + no-show prevention,Reactivation,sunday voicemail,At 863 reviews you clearly aren't short on demand — but Sunday callers get voicemail.,
39,P3,57,Youthful Medical Spa,Ponte Vedra Beach,FL,info@youthfulmedicalspa.com,(904) 273-6286,https://youthfulmedicalspa.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=13810620888768293299,4.8,683,1,closed Sunday,Reactivation,Receptionist,sunday calls,"683 reviews at 4.8, and Sunday still shows dark on the calendar.",
40,P3,57,South Bay Med Spa,Redondo Beach,CA,info@southbaymedspa.com,(310) 974-6160,https://www.southbaymedspa.com/,4.8,558,1,closed Sunday,Reactivation,Receptionist,sunday coverage,"Sunday's closed, and 558 reviews says people are still calling on Sunday.",
41,P3,57,Shino Bay Cosmetic Dermatology & Laser Institute,Fort Lauderdale,FL,info@shinobayderm.com,(954) 765-3005,https://www.shinobayderm.com/?utm_source=google&utm_medium=organic&utm_campaign=online_search&utm_id=local,4.8,286,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend voicemail,"You're closed both weekend days. At 286 reviews, that's a meaningful number of Fort Lauderdale inquiries you never hear about.",
42,P3,57,Enigma Plastic Surgery,Philadelphia,PA,info@enigmamedispa.com,(215) 717-7117,http://enigmamedispa.com/,4.8,270,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend calls,"270 reviews at 4.8, and the calendar shows both Saturday and Sunday dark. That's two days a week of Philadelphia calls going to voicemail.",
43,P3,57,Tre Medspa,Tampa,FL,info@tremedspa.com,(813) 749-0918,http://www.tremedspa.com/,4.8,265,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend coverage,Closed Saturday and Sunday against 265 reviews — whoever calls this weekend books somewhere else by Monday.,
44,P3,57,St. Louis Skin Solutions,St Louis,MO,info@stlouisskin.com,(314) 485-7845,https://stlouisskin.com/,4.8,254,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend voicemail,"You're closed both weekend days. At 254 reviews, that's a meaningful number of St Louis inquiries you never hear about.",
45,P3,57,CMA - Center for Modern Aesthetic Medicine,Jacksonville,FL,info@cmamedicine.com,(904) 772-5828,https://cmamedicine.com/?utm_source=gbp,4.8,250,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend calls,"250 reviews at 4.8, and the calendar shows both Saturday and Sunday dark. That's two days a week of Jacksonville calls going to voicemail.",
46,P3,57,Pure Luxe Medical,Manhattan Beach,CA,info@pureluxemedical.com,(424) 277-1642,https://www.pureluxemedical.com/,4.8,211,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend coverage,Closed Saturday and Sunday against 211 reviews — whoever calls this weekend books somewhere else by Monday.,
47,P3,56,Dermave spa,St Petersburg,FL,support@dermave-spa.com,(727) 866-4631,https://dermave-spa.com/,4.8,573,1,closed Saturday,Reactivation,Receptionist,saturday coverage,"Saturday's closed, and 573 reviews suggests Saturday is exactly when people have time to call.",
48,P3,56,Onestop Aesthetic Travel and Wellness Center,Pleasanton,CA,info@onestopaesthetictravelandwellness.com,(925) 263-9547,https://www.onestopaesthetictravelandwellness.com/,4.7,197,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend calls,"197 reviews at 4.7, and the calendar shows both Saturday and Sunday dark. That's two days a week of Pleasanton calls going to voicemail.",
49,P3,56,Barr Aesthetics,Salt Lake City,UT,info@barraesthetics.com,(801) 532-0204,http://barraesthetics.com/,4.7,167,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend coverage,Closed Saturday and Sunday against 167 reviews — whoever calls this weekend books somewhere else by Monday.,
50,P3,55,RESTOR Medical Spa | Central Park,Denver,CO,info@restormedicalspa.com,(720) 388-6244,https://www.restormedicalspa.com/?utm_medium=organic&utm_source=gmblisting&utm_campaign=cp,4.9,465,1,closed Sun + Monday,Receptionist / voice agent,No-show prevention,sunday voicemail,"Closed Sunday and Monday, with 465 reviews behind you — that's two days of calls landing on voicemail.",
51,P3,55,Couture Med Spa,Winter Park,FL,connect@couturemedspa.com,(407) 907-6300,https://www.couturemedspa.com/,4.6,440,1,closed Sunday,Reactivation,Receptionist,sunday calls,"440 reviews at 4.6, and Sunday still shows dark on the calendar.",
52,P3,55,Ecobel Med Spa,Atlanta,GA,info@ecobelmedspa.com,(404) 960-0812,http://www.ecobelmedspa.com/,4.9,434,1,closed Sun + Monday,Receptionist / voice agent,No-show prevention,sunday coverage,"Closed Sunday and Monday, with 434 reviews behind you — that's two days of calls landing on voicemail.",
53,P3,55,dermani MEDSPAÂ® Buckhead,Atlanta,GA,buckhead@dermanimedspa.com,(770) 847-8230,https://dermanimedspa.com/buckhead-atlanta-ga/,4.7,430,1,closed Sunday,Reactivation,Receptionist,sunday voicemail,At 430 reviews you clearly aren't short on demand — but Sunday callers get voicemail.,
54,P3,55,Be You Medical,Roseville,CA,info@beyouthful.com,(916) 223-9361,http://www.beyouthful.com/?utm_source=google&utm_medium=organic&utm_campaign=GMB,4.9,394,1,closed Sun + Wednesday,Receptionist / voice agent,No-show prevention,sunday calls,"Closed Sunday and Wednesday, with 394 reviews behind you — that's two days of calls landing on voicemail.",
55,P3,55,Michigan Advanced Aesthetics,Detroit,MI,laura@michiganadvancedaesthetics.com,(248) 542-3700,http://www.michiganadvancedaesthetics.com/,4.9,388,1,closed Sun + Monday,Receptionist / voice agent,No-show prevention,sunday coverage,"Closed Sunday and Monday, with 388 reviews behind you — that's two days of calls landing on voicemail.",
56,P3,55,Amerejuve Medspa,The Woodlands,TX,info@amerejuve.com,(713) 960-6262,https://www.amerejuve.com/,4.9,363,1,closed Sun + Monday,Receptionist / voice agent,No-show prevention,sunday voicemail,"Closed Sunday and Monday, with 363 reviews behind you — that's two days of calls landing on voicemail.",
57,P3,55,VIIV WELLNESS HAUS,Miami,FL,contact@viivwellnesshaus.com,(786) 550-6249,http://viivwellnesshaus.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,5.0,325,1,closed Sun + Monday,Receptionist / voice agent,No-show prevention,sunday calls,"Closed Sunday and Monday, with 325 reviews behind you — that's two days of calls landing on voicemail.",
58,P3,55,Allure Medical,Charlotte,NC,info@alluremedical.com,(888) 269-3209,https://www.alluremedical.com/locations/charlotte-nc/?utm_source=gmb&utm_medium=gmb&utm_campaign=gmbcharlottenc,4.5,299,1,closed Sunday,Review request + AI replies,Receptionist,review replies,4.5 across 299 reviews is a good business with a visible gap — the critical ones look unanswered.,
