Call order,Business,City,ST,Timezone,"Call window (9-5 local, in UTC)",Phone,Rating,Reviews,Segment,The hook,Opening line,Email,Website,Attempt 1 date,Outcome 1,Attempt 2 date,Outcome 2,Next step,Notes
14,Youthful Medical Spa,Ponte Vedra Beach,FL,ET,14:00–21:00 UTC,(904) 273-6286,4.8,683,multi-site,dormant patients,Nineteen years in Jacksonville and two locations.,info@youthfulmedicalspa.com,https://youthfulmedicalspa.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=13810620888768293299,,,,,,
15,ElaMar Nashville,Nashville,TN,CT,15:00–22:00 UTC,(615) 235-9225,5.0,659,coverage,weekend calls,A clean 5.0 across 659 reviews and both weekend days closed.,nashville@elamarskin.com,https://elamarskin.com/locations/elamar-nashville-tn/,,,,,,
16,"Capizzi, MD Cosmetic Surgery & Med Spa in Charlotte NC",Charlotte,NC,ET,14:00–21:00 UTC,(704) 655-8988,4.8,649,coverage,weekend voicemail,You're closed both weekend days.,frontdesk@capizzimd.com,https://capizzimd.com/,,,,,,
17,PRICK'D Medspa,St Louis,MO,CT,15:00–22:00 UTC,(314) 256-1290,4.9,622,coverage,weekend voicemail,"622 reviews in about two years is a fast start, and a Botox bar lives on walk-in-speed convenience.",getprickd@prickdmedspa.com,https://www.prickdmedspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,,,,,
18,The Beauty Clinic,Fort Lauderdale,FL,ET,14:00–21:00 UTC,(954) 719-7123,5.0,598,coverage,after hours,598 reviews at 5.0 with two people on staff.,info@thebeautyclinic.com,https://thebeautyclinic.com/,,,,,,
19,Essence Medspa & Wellness Center,Chicago,IL,CT,15:00–22:00 UTC,(773) 763-1212,4.9,578,coverage,monday backlog,Closed Sunday and Monday both.,keepcalm@essence-medspa.com,http://www.essence-medspa.com/,,,,,,
20,Dermave spa,St Petersburg,FL,ET,14:00–21:00 UTC,(727) 866-4631,4.8,573,coverage,saturday calls,"573 reviews at 4.8, and Saturday is the one day you're closed — which in a Gulf Coast market is the day most people have time to book aesthetics.",support@dermave-spa.com,https://dermave-spa.com/,,,,,,
21,South Bay Med Spa,Redondo Beach,CA,PT,17:00–00:00 UTC,(310) 974-6160,4.8,558,coverage,dormant patients,"Top 3% in the US for Botox and fillers, fourteen years in, 558 reviews — and eight people.",info@southbaymedspa.com,https://www.southbaymedspa.com/,,,,,,
22,Skin Pharm,Nashville,TN,CT,15:00–22:00 UTC,(615) 582-6726,5.0,519,multi-site,pilot at one clinic,"Clinics in Nashville, Atlanta, Dallas and Houston, all closed both weekend days.",hello@skinpharm.com,https://skinpharm.com/nashville,,,,,,
23,Lecada Medical Artistry,Tampa,FL,ET,14:00–21:00 UTC,(813) 874-2332,4.7,480,coverage,weekend calls,"480 reviews at 4.7, with Saturday and Sunday both dark.",info@lecadatampa.com,http://www.lecadatampa.com/?utm_source=gbp,,,,,,
24,Prestige,Boca Raton,FL,ET,14:00–21:00 UTC,(561) 235-7300,4.9,477,qualification,three people,477 reviews at 4.9 against a three-person clinic.,support@pacboca.com,https://www.pacboca.com/,,,,,,
25,RESTOR Medical Spa | Central Park,Denver,CO,MT,16:00–23:00 UTC,(720) 388-6244,4.9,465,multi-site,twenty locations,You've said publicly you're going from three Colorado locations to twenty.,info@restormedicalspa.com,https://www.restormedicalspa.com/?utm_medium=organic&utm_source=gmblisting&utm_campaign=cp,,,,,,
26,Couture Med Spa,Winter Park,FL,ET,14:00–21:00 UTC,(407) 907-6300,4.6,440,membership,membership churn,"You sell memberships, which makes retention the number that actually moves — and a 4.6 across 440 reviews sits a little under where a 39-person practice probably wants to be.",connect@couturemedspa.com,https://www.couturemedspa.com/,,,,,,
27,Ecobel Med Spa,Atlanta,GA,ET,14:00–21:00 UTC,(404) 960-0812,4.9,434,coverage,monday backlog,"Closed Sunday and Monday both, six staff in Buckhead.",info@ecobelmedspa.com,http://www.ecobelmedspa.com/,,,,,,
28,dermani MEDSPAÂ® Buckhead,Atlanta,GA,ET,14:00–21:00 UTC,(770) 847-8230,4.7,430,multi-site,membership retention,A membership model across a franchise network means churn compounds quietly — one location's retention problem doesn't show up until the cohort is gone.,buckhead@dermanimedspa.com,https://dermanimedspa.com/buckhead-atlanta-ga/,,,,,,
29,Winter Park Laser & Anti-Aging Center,Winter Park,FL,ET,14:00–21:00 UTC,(407) 601-1185,4.7,422,coverage,weekend coverage,Closed Saturday and Sunday against 422 reviews — whoever calls this weekend books somewhere else by Monday.,info@winterparklaser.com,https://www.winterparklaser.com/,,,,,,
30,Glow Medspa Houston,Houston,TX,CT,15:00–22:00 UTC,(346) 478-7600,4.7,422,coverage,monday backlog,"Closed Sunday and Monday, five staff.",contact@glowmedspa.com,https://glowmedspa.com/laser-treatments-med-spa-services-in-houston-tx/,,,,,,
31,Basis Aesthetics,Delray Beach,FL,ET,14:00–21:00 UTC,(561) 774-2296,5.0,399,coverage,weekend calls,A clean 5.0 across 399 reviews with six people.,hello@basisaesthetics.com,http://basisaesthetics.com/,,,,,,
32,Artistik Beauty,Winter Park,FL,ET,14:00–21:00 UTC,(407) 759-8807,4.9,397,qualification,free consultations,"You lead with free consultations, and free consults no-show harder than any other appointment type in aesthetics.",info@artistikbeautyfl.com,http://artistikbeautyfl.com/,,,,,,
33,Be You Medical,Roseville,CA,PT,17:00–00:00 UTC,(916) 223-9361,4.9,394,coverage,midweek gap,"Closed Sunday and Wednesday — an unusual split, and a hard one for patients to remember.",info@beyouthful.com,http://www.beyouthful.com/?utm_source=google&utm_medium=organic&utm_campaign=GMB,,,,,,
34,Michigan Advanced Aesthetics,Detroit,MI,ET,14:00–21:00 UTC,(248) 542-3700,4.9,388,multi-site,monday backlog,"Two locations, four staff, closed Sunday and Monday.",laura@michiganadvancedaesthetics.com,http://www.michiganadvancedaesthetics.com/,,,,,,
35,Amerejuve Medspa,The Woodlands,TX,CT,15:00–22:00 UTC,(713) 960-6262,4.9,363,multi-site,seven locations,"Seven locations across Texas and Georgia, all closed Sunday and Monday.",info@amerejuve.com,https://www.amerejuve.com/,,,,,,
36,NSI Wellness | Aesthetics,Nashville,TN,CT,15:00–22:00 UTC,(615) 431-3724,4.9,363,coverage,weekend coverage,363 reviews at 4.9 with both weekend days dark.,info@tolmanmedical.com,http://tolmanmedical.com/,,,,,,
37,"Prime MD, P.C.",Raleigh,NC,ET,14:00–21:00 UTC,(919) 948-6355,5.0,351,coverage,seven staff,A flat 5.0 across 351 reviews says the people who reach you leave happy.,info@primemdcenter.com,https://primemdcenter.com/,,,,,,
38,BeautyCo,Raleigh,NC,ET,14:00–21:00 UTC,(984) 222-0026,4.9,337,coverage,weekend voicemail,A Top 500 Allergan practice with both weekend days dark.,hello@beautycoraleigh.com,http://beautycoraleigh.com/,,,,,,
39,VIO Med Spa,Aventura,FL,ET,14:00–21:00 UTC,(954) 272-8330,5.0,329,multi-site,franchise call routing,"A franchise network means inbound calls hit whichever location the caller happened to find, and a misrouted call is a booking the system paid for and lost.",queencreek@viomedspa.com,https://www.viomedspa.com/aventura/?utm_source=GBP&utm_medium=GBP+Listing,,,,,,
40,VIIV WELLNESS HAUS,Miami,FL,ET,14:00–21:00 UTC,(786) 550-6249,5.0,325,coverage,weekend coverage,A flat 5.0 across 325 reviews says the experience lands.,contact@viivwellnesshaus.com,http://viivwellnesshaus.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,,,,,
41,Serenity Aesthetics & Wellness,San Francisco,CA,PT,17:00–00:00 UTC,(415) 781-9200,4.5,316,reviews,review replies,"4.5 across 316 reviews puts you below most SF med spas on the same block, and the critical ones look unanswered.",info@serenitymedspa.com,https://serenitymedspa.com/?y_source=1_MTA2NzU1NDY2OC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,,,,,
42,Gateway Aesthetic Institute and Laser Center,Salt Lake City,UT,MT,16:00–23:00 UTC,(801) 595-1600,4.4,310,reviews,review replies,"4.4 across 310 reviews is a good practice with a visible gap — the critical ones look unanswered, and that's what a prospect reads first.",info@gatewaylasercenter.com,http://gatewaylasercenter.com/?utm_medium=local&utm_source=google&utm_campaign=yext&y_source=1_MTAwNDMwNjQxMi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,,,,,
43,Med 1 Aesthetics,Detroit,MI,ET,14:00–21:00 UTC,(734) 780-7070,5.0,306,multi-site,two locations,"Ann Arbor and Wyandotte, two people, a flat 5.0 across 306 reviews.",info@med1aesthetics.com,http://www.med1aesthetics.com/,,,,,,
44,Natural Beauty Laser,Delray Beach,FL,ET,14:00–21:00 UTC,(561) 926-1392,4.9,301,qualification,solo practice,301 reviews at 4.9 as essentially a one-person operation.,office@naturalbeautylaser.com,https://naturalbeautylaser.com/,,,,,,
45,Allure Medical,Charlotte,NC,ET,14:00–21:00 UTC,(888) 269-3209,4.5,299,multi-site,fourteen locations,"Fourteen locations across three states, and a 4.5 that sits below where a network your size probably wants it.",info@alluremedical.com,https://www.alluremedical.com/locations/charlotte-nc/?utm_source=gmb&utm_medium=gmb&utm_campaign=gmbcharlottenc,,,,,,
46,Shino Bay Cosmetic Dermatology & Laser Institute,Fort Lauderdale,FL,ET,14:00–21:00 UTC,(954) 765-3005,4.8,286,coverage,clinical questions,A practice running cosmetic dermatology alongside plastic surgery shouldn't put an AI on the phone unsupervised — speculating about a post-op reaction isn't worth any amount of booking convenience.,info@shinobayderm.com,https://www.shinobayderm.com/?utm_source=google&utm_medium=organic&utm_campaign=online_search&utm_id=local,,,,,,
47,Juvly Aesthetics,Columbus,OH,ET,14:00–21:00 UTC,(614) 500-7000,4.6,277,multi-site,eleven locations,"Eleven locations across five states, all closed both weekend days, and a 4.6 that sits below where a network your size probably wants to be.",info@juvly.com,https://www.juvly.com/?y_source=1_MTAwNDg3OTYzNC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,,,,,
48,Enigma Plastic Surgery,Philadelphia,PA,ET,14:00–21:00 UTC,(215) 717-7117,4.8,270,coverage,weight loss inquiries,"Medical weight loss is your lead offer, and weight-loss inquiries arrive in volume, mostly unqualified, mostly outside business hours.",info@enigmamedispa.com,http://enigmamedispa.com/,,,,,,
49,Tre Medspa,Tampa,FL,ET,14:00–21:00 UTC,(813) 749-0918,4.8,265,qualification,solo practice,265 reviews at 4.8 running solo in Westchase.,info@tremedspa.com,http://www.tremedspa.com/,,,,,,
50,St. Louis Skin Solutions,St Louis,MO,CT,15:00–22:00 UTC,(314) 485-7845,4.8,254,coverage,weekend calls,Twenty-one years in St.,info@stlouisskin.com,https://stlouisskin.com/,,,,,,
51,CMA - Center for Modern Aesthetic Medicine,Jacksonville,FL,ET,14:00–21:00 UTC,(904) 772-5828,4.8,250,coverage,weekend coverage,"Closed Saturday and Sunday, sixteen staff, 250 reviews at 4.8.",info@cmamedicine.com,https://cmamedicine.com/?utm_source=gbp,,,,,,
52,Charlotte Plastic Surgery,Charlotte,NC,ET,14:00–21:00 UTC,(704) 372-6846,4.7,245,multi-site,weekend consults,"A practice running since 1951 with two Charlotte locations, closed both weekend days.",info@charlotteplasticsurgery.com,https://www.charlotteplasticsurgery.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=uptown,,,,,,
53,Manhattan Dermatology,Manhattan Beach,CA,PT,17:00–00:00 UTC,(310) 546-1188,4.6,231,multi-site,front desk triage,Three locations running general dermatology alongside cosmetic means one phone line is triaging a skin-cancer screening and a filler consult with the same greeting — and both weekend days are dark.,info@manhattan-dermatology.com,http://www.manhattan-dermatology.com/,,,,,,
54,image DermatologyÂ® P.C.,Montclair,NJ,ET,14:00–21:00 UTC,(973) 509-6900,4.3,221,reviews,unanswered reviews,4.3 on 221 reviews.,info@imagedermatology.com,https://www.imagedermatology.com/,,,,,,
55,Pure Luxe Medical,Manhattan Beach,CA,PT,17:00–00:00 UTC,(424) 277-1642,4.8,211,coverage,weekend voicemail,"Four staff on Main Street, weekends closed.",info@pureluxemedical.com,https://www.pureluxemedical.com/,,,,,,
56,Onestop Aesthetic Travel and Wellness Center,Pleasanton,CA,PT,17:00–00:00 UTC,(925) 263-9547,4.7,197,coverage,weekend calls,"Three staff, weekends closed, and a business model that involves coordinating travel — which means more back-and-forth per booking than a normal med spa, not less.",info@onestopaesthetictravelandwellness.com,https://www.onestopaesthetictravelandwellness.com/,,,,,,
57,Barr Aesthetics,Salt Lake City,UT,MT,16:00–23:00 UTC,(801) 532-0204,4.7,167,qualification,surgical consults,"A facial plastic surgery practice books the most expensive consult in aesthetics, and the weekend caller comparing rhinoplasty surgeons is exactly the one you can't afford to miss.",info@barraesthetics.com,http://barraesthetics.com/,,,,,,
58,Beauty Lab + Laser Med Spa | Murray,Salt Lake City,UT,MT,16:00–23:00 UTC,(801) 675-8954,4.9,3701,coverage,mystery pricing,"No pushy sales, no mystery pricing, no tipping.",info@beautylablaser.com,https://beautylablaser.com/locations/murray-beauty-lab-laser/,,,,,,
59,Cosmetica,Boca Raton,FL,ET,14:00–21:00 UTC,(561) 621-1156,4.8,1335,qualification,three people,"1,335 reviews against a three-person team, and a menu that runs from HydraFacial to TRT to the P-Shot.",contact@cosmeticamedspa.com,https://cosmeticamedspa.com/?utm_campaign=gmb&utm_medium=gbpinfo&utm_source=googlebusinessprofile,,,,,,
60,SpaDerma,Chicago,IL,CT,15:00–22:00 UTC,(773) 529-5277,4.9,792,multi-site,seven days open,"Open seven days with evening hours across West Loop, Lincoln Park and Wicker Park, and nearly 125 injectors and aestheticians.",info@spaderma.com,https://www.spaderma.com/,,,,,,
