Rank,Priority,Fit score,Business,City,ST,Email,Phone,Website,Rating,Reviews,Locations in list,Coverage gap,Lead with,Then,Subject,Opening line,Data flags,Apollo name,Employees,Revenue,Corporate phone,Founded,Apollo city,LinkedIn,Segment,Enrichment note
17,P1,65,Winter Park Laser & Anti-Aging Center,Winter Park,FL,info@winterparklaser.com,(407) 601-1185,https://www.winterparklaser.com/,4.7,422,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend coverage,Closed Saturday and Sunday against 422 reviews — whoever calls this weekend books somewhere else by Monday.,,Winter Park Laser & Anti-Aging Center,10,"$5,097,000",+1 407-601-1185,2004,"Winter Park, FL",linkedin.com/company/winter-park-laser-&-anti-aging-center,Small,
18,P2,64,ElaMar Nashville,Nashville,TN,nashville@elamarskin.com,(615) 235-9225,https://elamarskin.com/locations/elamar-nashville-tn/,5.0,659,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend coverage,Closed Saturday and Sunday against 659 reviews — whoever calls this weekend books somewhere else by Monday.,,ElaMar Esthetics,11,"$31,951,000",+1 256-686-9111,2013,"Decatur, AL",linkedin.com/company/elamar,Small,revenue figure looks unreliable
19,P2,64,Luminescence Aesthetics Buffalo,Washington,DC,hello@luminescence-aesthetics.com,(716) 800-1916,https://www.luminescence-aesthetics.com/,5.0,788,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend calls,"788 reviews at 5.0, and the calendar shows both Saturday and Sunday dark. That's two days a week of Washington calls going to voicemail.",,Luminescence Aesthetics,8,,+1 716-800-1916,2021,"Buffalo, NY",linkedin.com/company/luminescence-aesthetics,Small,workbook state may be wrong - Apollo says NY
20,P2,62,New Image Works,Ridgewood,NJ,info@newimageworks.com,(224) 432-5803,https://newimageworks.com/contact-us-glenview/,4.9,811,2,closed Sunday,Receptionist + no-show prevention,Reactivation,sunday voicemail,At 811 reviews you clearly aren't short on demand — but Sunday callers get voicemail.,"chain — 2 locations on this domain; city/email may reflect a different branch, verify HQ contact",New Image Works Inc,9,,+1 224-432-5803,,"Glenview, IL",linkedin.com/company/new-image-works-inc,Small,"Apollo HQ is IL, not NJ/FL"
21,P2,60,Essence Medspa & Wellness Center,Chicago,IL,keepcalm@essence-medspa.com,(773) 763-1212,http://www.essence-medspa.com/,4.9,578,1,closed Sun + Monday,Receptionist / voice agent,No-show prevention,sunday coverage,"Closed Sunday and Monday, with 578 reviews behind you — that's two days of calls landing on voicemail.",,Essence MedSpa & Wellness Center,8,,+1 773-763-1212,,"Chicago, IL",linkedin.com/company/essence-medspa-&-wellness-center,Small,
22,P3,59,BeautyCo,Raleigh,NC,hello@beautycoraleigh.com,(984) 222-0026,http://beautycoraleigh.com/,4.9,337,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend voicemail,"You're closed both weekend days. At 337 reviews, that's a meaningful number of Raleigh inquiries you never hear about.",,BeautyCo.,12,,+1 984-222-0026,2019,"Raleigh, NC",linkedin.com/company/beautyco.-raleigh,Small,REAL DOMAIN btyco.com - workbook domain wrong
23,P3,59,"Prime MD, P.C.",Raleigh,NC,info@primemdcenter.com,(919) 948-6355,https://primemdcenter.com/,5.0,351,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend coverage,Closed Saturday and Sunday against 351 reviews — whoever calls this weekend books somewhere else by Monday.,,PrimeMD Aesthetics+Wellness,7,"$6,242,000",+1 919-948-6355,2009,"Raleigh, NC",linkedin.com/company/primemd-aesthetics-wellness,Small,headcount down 33% 12mo
24,P3,57,St. Louis Skin Solutions,St Louis,MO,info@stlouisskin.com,(314) 485-7845,https://stlouisskin.com/,4.8,254,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend voicemail,"You're closed both weekend days. At 254 reviews, that's a meaningful number of St Louis inquiries you never hear about.",,St. Louis Skin Solutions,13,"$14,037,000",+1 314-543-4015,2004,"St. Louis, MO",linkedin.com/company/stlouisskinsolutions,Small,Dr. Amy Miller
25,P3,57,South Bay Med Spa,Redondo Beach,CA,info@southbaymedspa.com,(310) 974-6160,https://www.southbaymedspa.com/,4.8,558,1,closed Sunday,Reactivation,Receptionist,sunday coverage,"Sunday's closed, and 558 reviews says people are still calling on Sunday.",,South Bay Med Spa,8,,+1 310-974-6160,,"Torrance, CA",linkedin.com/company/south-bay-med-spa,Small,REAL DOMAIN southbaymedicalspa.com - workbook domain wrong
26,P3,57,Golden Glow Medical Spa,Clearwater,FL,info@goldenglowmedicalspa.com,(727) 683-0894,http://www.goldenglowmedicalspa.com/,4.8,863,1,closed Sunday,Receptionist + no-show prevention,Reactivation,sunday voicemail,At 863 reviews you clearly aren't short on demand — but Sunday callers get voicemail.,,Golden Glow Medical Spa,7,"$3,300,000",+1 727-683-0894,,"Largo, FL",linkedin.com/company/goldenglowmedicalspa,Small,
27,P1,71,Elase Medical Spa,Salt Lake City,UT,sugarhouse@elase.com,(801) 253-6474,https://elase.com/locations/sugar-house/?UTM_source=GMB_listing&UTM_medium=organic&utm_campaign=SugarHouse,4.9,1556,4,closed Sunday,Receptionist — multi-location routing,Voice handoff,front desk routing,"With 4 Elase Medical Spa locations, a caller who dials the wrong one is a booking you paid for and didn't keep.","chain — 4 locations on this domain; city/email may reflect a different branch, verify HQ contact",Elase Med Spas,230,"$29,200,000",+1 813-365-7113,2004,"Salt Lake City, UT",linkedin.com/company/elasemedspas,Enterprise / chain,"38 locations, 7 states - national platform"
28,P2,64,Skin Pharm,Nashville,TN,hello@skinpharm.com,(615) 582-6726,https://skinpharm.com/nashville,5.0,519,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend coverage,Closed Saturday and Sunday against 519 reviews — whoever calls this weekend books somewhere else by Monday.,,Skin Pharm,140,,+1 512-540-0519,2017,"Nashville, TN",linkedin.com/company/skinpharm,Enterprise / chain,multi-city chain - enterprise motion
29,P2,61,VIO Med Spa,Aventura,FL,queencreek@viomedspa.com,(954) 272-8330,https://www.viomedspa.com/aventura/?utm_source=GBP&utm_medium=GBP+Listing,5.0,329,7,closed Sunday,Receptionist — multi-location routing,Voice handoff,location routing,"VIO Med Spa runs 7 locations in this list alone, which means every inbound call is a routing decision before it's a booking.","chain — 7 locations on this domain; city/email may reflect a different branch, verify HQ contact",VIO Med Spa,330,"$4,866,000",+1 440-238-6898,2017,"Franklin, TN",linkedin.com/company/viomedspa,Enterprise / chain,"franchise, 330 staff - enterprise motion"
30,P2,60,Juvly Aesthetics,Columbus,OH,info@juvly.com,(614) 500-7000,https://www.juvly.com/?y_source=1_MTAwNDg3OTYzNC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.6,277,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend calls,"277 reviews at 4.6, and the calendar shows both Saturday and Sunday dark. That's two days a week of Columbus calls going to voicemail.",,Juvly Aesthetics,53,"$483,000",+1 614-500-7000,2014,"Columbus, OH",linkedin.com/company/juvly-com,Enterprise / chain,"11 locations, 5 states"
31,P3,55,Allure Medical,Charlotte,NC,info@alluremedical.com,(888) 269-3209,https://www.alluremedical.com/locations/charlotte-nc/?utm_source=gmb&utm_medium=gmb&utm_campaign=gmbcharlottenc,4.5,299,1,closed Sunday,Review request + AI replies,Receptionist,review replies,4.5 across 299 reviews is a good business with a visible gap — the critical ones look unanswered.,,Allure Medical,150,"$35,600,000",+1 866-212-8690,2004,"Shelby Township, MI",linkedin.com/company/allure-medical-spa,Enterprise / chain,"14 locations, 3 states - enterprise"
32,P3,55,dermani MEDSPAÂ® Buckhead,Atlanta,GA,buckhead@dermanimedspa.com,(770) 847-8230,https://dermanimedspa.com/buckhead-atlanta-ga/,4.7,430,1,closed Sunday,Reactivation,Receptionist,sunday voicemail,At 430 reviews you clearly aren't short on demand — but Sunday callers get voicemail.,,Dermani Medspa,82,"$28,909,000",+1 770-212-2242,2013,"Buford, GA",linkedin.com/company/dermani-medspa,Enterprise / chain,chain - enterprise motion
33,P1,69,The Palm Medspa + Wellness,Orlando,FL,info@thepalmmedspa.com,(407) 347-4770,https://thepalmmedspa.com/,5.0,1062,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend voicemail,"You're closed both weekend days. At 1062 reviews, that's a meaningful number of Orlando inquiries you never hear about.",,The Palm Medspa + Wellness,2,,+1 407-347-4770,2022,"Orlando, FL",linkedin.com/company/the-palm-medspa-wellness,Micro / owner-operated,2 employees - owner-operated
34,P1,65,Kumi Laser Hair Removal & MedSpa Katy,Katy,TX,info@kumimedspa.com,(281) 206-7570,http://kumimedspa.com/,4.6,1000,1,closed Sunday,Receptionist + no-show prevention,Reactivation,sunday voicemail,At 1000 reviews you clearly aren't short on demand — but Sunday callers get voicemail.,,Kumi Laser & Medspa,4,,+1 281-206-7570,,"Katy, TX",linkedin.com/company/kumi-laser-&-medspa,Micro / owner-operated,4 employees - very small
35,P2,64,Aventura Dermatology,Aventura,FL,info@aventuradermatology.com,(754) 544-9030,https://aventuradermatology.com/,4.9,893,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend coverage,Closed Saturday and Sunday against 893 reviews — whoever calls this weekend books somewhere else by Monday.,,Aventura Dermatology & Aesthetics,3,"$16,304,000",+1 754-544-9030,,"Aventura, FL",linkedin.com/company/aventura-dermatology-aesthetics,Micro / owner-operated,3 employees; revenue figure looks unreliable
36,P2,64,Modern SLC by Manor,Salt Lake City,UT,info@modernslc.com,(801) 516-8884,https://modernslc.com/?utm_source=gbp-brand&utm_medium=organic&utm_campaign=local+search&utm_content=website+click,5.0,867,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend voicemail,"You're closed both weekend days. At 867 reviews, that's a meaningful number of Salt Lake City inquiries you never hear about.",,Modern SLC Injections & Aesthetics,3,,+1 801-516-8884,,"Holladay, UT",linkedin.com/company/modern-slc-injections-&-aesthetics,Micro / owner-operated,city is Holladay not SLC
37,P2,64,PRICK'D Medspa,St Louis,MO,getprickd@prickdmedspa.com,(314) 256-1290,https://www.prickdmedspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,4.9,622,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend voicemail,"You're closed both weekend days. At 622 reviews, that's a meaningful number of St Louis inquiries you never hear about.",,PRICK'D MedSpa,3,,+1 314-256-1290,2023,"Richmond Heights, MO",linkedin.com/company/prick-d-medspa,Micro / owner-operated,
38,P2,64,The Beauty Clinic,Fort Lauderdale,FL,info@thebeautyclinic.com,(954) 719-7123,https://thebeautyclinic.com/,5.0,598,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend calls,"598 reviews at 5.0, and the calendar shows both Saturday and Sunday dark. That's two days a week of Fort Lauderdale calls going to voicemail.",,The Beauty Clinic,2,,+1 305-882-9439,2019,"North Miami Beach, FL",linkedin.com/company/tbcbacup,Micro / owner-operated,"Apollo classes as cosmetics supplier, not clinic"
39,P2,61,Glow Medspa Houston,Houston,TX,contact@glowmedspa.com,(346) 478-7600,https://glowmedspa.com/laser-treatments-med-spa-services-in-houston-tx/,4.7,422,1,closed Sun + Monday,Receptionist / voice agent,No-show prevention,sunday calls,"Closed Sunday and Monday, with 422 reviews behind you — that's two days of calls landing on voicemail.",,Glow MedSpa Texas,5,,+1 833-456-9633,2007,"Colleyville, TX",linkedin.com/company/glow-medspa-texas,Micro / owner-operated,
40,P2,60,All Is Well Holistic Spa,Katy,TX,sales@alliswellspa.com,(832) 913-8186,https://alliswellspa.com/?y_source=1_MjAxODczNTUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.7,1938,1,closed Tuesday,Receptionist + no-show prevention,Reactivation,midweek gap,"You're closed Tuesday — the calls don't stop, they just pile up for the next open day.",,All Is Well Holistic Spa,4,,+1 832-913-8186,2016,"Katy, TX",linkedin.com/company/alliswellspa,Micro / owner-operated,"holistic spa, not med spa"
41,P2,60,Revive Medical,Philadelphia,PA,info@revivephilly.com,(844) 738-4832,https://www.revivephilly.com/,4.9,711,1,closed Sun + Monday,Receptionist / voice agent,No-show prevention,sunday calls,"Closed Sunday and Monday, with 711 reviews behind you — that's two days of calls landing on voicemail.",,Revive Medical LLC,1,,+1 844-738-4832,2017,"Philadelphia, PA",linkedin.com/company/revive-medical-llc,Micro / owner-operated,1 employee
42,P3,59,Basis Aesthetics,Delray Beach,FL,hello@basisaesthetics.com,(561) 774-2296,http://basisaesthetics.com/,5.0,399,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend coverage,Closed Saturday and Sunday against 399 reviews — whoever calls this weekend books somewhere else by Monday.,,Basis Aesthetics,6,,+1 561-774-2296,,"Delray Beach, FL",linkedin.com/company/basis-aesthetics,Micro / owner-operated,city Delray Beach
43,P3,59,Prestige,Boca Raton,FL,support@pacboca.com,(561) 235-7300,https://www.pacboca.com/,4.9,477,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend calls,"477 reviews at 4.9, and the calendar shows both Saturday and Sunday dark. That's two days a week of Boca Raton calls going to voicemail.",,Prestige Aesthetics Clinic,3,,+1 561-235-7300,2018,"Boca Raton, FL",linkedin.com/company/prestige-aesthetics-clinic,Micro / owner-operated,
44,P3,59,Artistik Beauty,Winter Park,FL,info@artistikbeautyfl.com,(407) 759-8807,http://artistikbeautyfl.com/,4.9,397,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend voicemail,"You're closed both weekend days. At 397 reviews, that's a meaningful number of Winter Park inquiries you never hear about.",,ARTISTIK BEAUTY,3,,+1 407-759-8807,,"Winter Park, FL",linkedin.com/company/artistik-beauty,Micro / owner-operated,REAL DOMAIN artistikbeauty.net - workbook domain wrong
45,P3,59,Med 1 Aesthetics,Detroit,MI,info@med1aesthetics.com,(734) 780-7070,http://www.med1aesthetics.com/,5.0,306,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend calls,"306 reviews at 5.0, and the calendar shows both Saturday and Sunday dark. That's two days a week of Detroit calls going to voicemail.",,Med 1 Aesthetics,2,,+1 734-780-7070,,"Ann Arbor, MI",linkedin.com/company/med-1-aesthetics,Micro / owner-operated,Dr. Nicole O'Neill
46,P3,59,Natural Beauty Laser,Delray Beach,FL,office@naturalbeautylaser.com,(561) 926-1392,https://naturalbeautylaser.com/,4.9,301,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend coverage,Closed Saturday and Sunday against 301 reviews — whoever calls this weekend books somewhere else by Monday.,,Natural Beauty Laser & Skin Care,1,"$6,256,000",+1 561-926-1392,,"Boca Raton, FL",linkedin.com/company/natural-beauty-laser-&-skin-care,Micro / owner-operated,1 employee; revenue unreliable
47,P3,57,Pure Luxe Medical,Manhattan Beach,CA,info@pureluxemedical.com,(424) 277-1642,https://www.pureluxemedical.com/,4.8,211,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend coverage,Closed Saturday and Sunday against 211 reviews — whoever calls this weekend books somewhere else by Monday.,,Pure Luxe Medical,4,,+1 424-277-1642,,"El Segundo, CA",linkedin.com/company/pure-luxe-medical,Micro / owner-operated,
48,P3,57,Enigma Plastic Surgery,Philadelphia,PA,info@enigmamedispa.com,(215) 717-7117,http://enigmamedispa.com/,4.8,270,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend calls,"270 reviews at 4.8, and the calendar shows both Saturday and Sunday dark. That's two days a week of Philadelphia calls going to voicemail.",,Enigma Medi Spa,2,"$23,426,000",+1 215-717-7000,,"Philadelphia, PA",linkedin.com/company/enigma-medi-spa,Micro / owner-operated,revenue figure looks unreliable vs 2 staff
49,P3,57,Tre Medspa,Tampa,FL,info@tremedspa.com,(813) 749-0918,http://www.tremedspa.com/,4.8,265,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend coverage,Closed Saturday and Sunday against 265 reviews — whoever calls this weekend books somewhere else by Monday.,,Tre Medspa,1,,+1 813-749-0918,,"Tampa, FL",linkedin.com/company/tre-medspa,Micro / owner-operated,1 employee
50,P3,56,Barr Aesthetics,Salt Lake City,UT,info@barraesthetics.com,(801) 532-0204,http://barraesthetics.com/,4.7,167,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend coverage,Closed Saturday and Sunday against 167 reviews — whoever calls this weekend books somewhere else by Monday.,,Barr Aesthetics,6,"$9,155,000",+1 801-532-0204,,"Salt Lake City, UT",linkedin.com/company/barr-aesthetics,Micro / owner-operated,"Dr. Lucy Barr, plastic surgeon"
51,P3,56,Onestop Aesthetic Travel and Wellness Center,Pleasanton,CA,info@onestopaesthetictravelandwellness.com,(925) 263-9547,https://www.onestopaesthetictravelandwellness.com/,4.7,197,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend calls,"197 reviews at 4.7, and the calendar shows both Saturday and Sunday dark. That's two days a week of Pleasanton calls going to voicemail.",,Onestop Medical Center,3,,+1 925-263-9547,,"Pleasanton, CA",linkedin.com/company/onestop-aesthetic-travel-and-wellness-center,Micro / owner-operated,
52,P3,55,Ecobel Med Spa,Atlanta,GA,info@ecobelmedspa.com,(404) 960-0812,http://www.ecobelmedspa.com/,4.9,434,1,closed Sun + Monday,Receptionist / voice agent,No-show prevention,sunday coverage,"Closed Sunday and Monday, with 434 reviews behind you — that's two days of calls landing on voicemail.",,Ecobel Med Spa,6,"$7,091,000",+1 404-960-0812,,"Atlanta, GA",linkedin.com/company/ecobel-med-spa,Micro / owner-operated,no website on Apollo record
53,P3,55,Michigan Advanced Aesthetics,Detroit,MI,laura@michiganadvancedaesthetics.com,(248) 542-3700,http://www.michiganadvancedaesthetics.com/,4.9,388,1,closed Sun + Monday,Receptionist / voice agent,No-show prevention,sunday coverage,"Closed Sunday and Monday, with 388 reviews behind you — that's two days of calls landing on voicemail.",,Michigan Advanced Aesthetics,4,"$8,088,000",+1 248-542-3700,2008,"Royal Oak, MI",linkedin.com/company/michigan-advanced-aesthetics,Micro / owner-operated,
54,P2,64,Nob Hill Aesthetics | Medical Spa,San Francisco,CA,office@nobhillaesthetics.com,(415) 440-6800,https://nobhillaesthetics.com/,4.9,923,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend calls,"923 reviews at 4.9, and the calendar shows both Saturday and Sunday dark. That's two days a week of San Francisco calls going to voicemail.",,,,,,,,,Unknown,no Apollo match
55,P3,59,NSI Wellness | Aesthetics,Nashville,TN,info@tolmanmedical.com,(615) 431-3724,http://tolmanmedical.com/,4.9,363,1,closed Sat + Sun,Receptionist / voice agent,No-show prevention,weekend calls,"363 reviews at 4.9, and the calendar shows both Saturday and Sunday dark. That's two days a week of Nashville calls going to voicemail.",,,,,,,,,Unknown,no Apollo match
56,P3,56,Dermave spa,St Petersburg,FL,support@dermave-spa.com,(727) 866-4631,https://dermave-spa.com/,4.8,573,1,closed Saturday,Reactivation,Receptionist,saturday coverage,"Saturday's closed, and 573 reviews suggests Saturday is exactly when people have time to call.",,,,,,,,,Unknown,no Apollo match
57,P3,55,Be You Medical,Roseville,CA,info@beyouthful.com,(916) 223-9361,http://www.beyouthful.com/?utm_source=google&utm_medium=organic&utm_campaign=GMB,4.9,394,1,closed Sun + Wednesday,Receptionist / voice agent,No-show prevention,sunday calls,"Closed Sunday and Wednesday, with 394 reviews behind you — that's two days of calls landing on voicemail.",,,,,,,,,Unknown,no Apollo match
