Call order,Pool,Business,City,ST,Phone,Rating,Reviews,Employees,Locations,Segment,The hook,Opening line,Email,Website,Attempt 1,Outcome 1,Attempt 2,Outcome 2,Next step,Notes
27,1 Qualified,Couture Med Spa,Winter Park,FL,(407) 907-6300,4.6,440,39,,Core (best fit),membership churn,"You sell memberships, which makes retention the number that actually moves — and a 4.6 across 440 reviews sits a little under where a 39-person practice probably wants to be.",connect@couturemedspa.com,https://www.couturemedspa.com/,,,,,,
28,1 Qualified,Ecobel Med Spa,Atlanta,GA,(404) 960-0812,4.9,434,6,,Micro / owner-operated,monday backlog,"Closed Sunday and Monday both, six staff in Buckhead.",info@ecobelmedspa.com,http://www.ecobelmedspa.com/,,,,,,
29,1 Qualified,dermani MEDSPAÂ® Buckhead,Atlanta,GA,(770) 847-8230,4.7,430,82,,Enterprise / chain,membership retention,A membership model across a franchise network means churn compounds quietly — one location's retention problem doesn't show up until the cohort is gone.,buckhead@dermanimedspa.com,https://dermanimedspa.com/buckhead-atlanta-ga/,,,,,,
30,1 Qualified,Winter Park Laser & Anti-Aging Center,Winter Park,FL,(407) 601-1185,4.7,422,10,,Small,weekend coverage,Closed Saturday and Sunday against 422 reviews — whoever calls this weekend books somewhere else by Monday.,info@winterparklaser.com,https://www.winterparklaser.com/,,,,,,
31,1 Qualified,Glow Medspa Houston,Houston,TX,(346) 478-7600,4.7,422,5,,Micro / owner-operated,monday backlog,"Closed Sunday and Monday, five staff.",contact@glowmedspa.com,https://glowmedspa.com/laser-treatments-med-spa-services-in-houston-tx/,,,,,,
32,1 Qualified,Basis Aesthetics,Delray Beach,FL,(561) 774-2296,5.0,399,6,,Micro / owner-operated,weekend calls,A clean 5.0 across 399 reviews with six people.,hello@basisaesthetics.com,http://basisaesthetics.com/,,,,,,
33,1 Qualified,Artistik Beauty,Winter Park,FL,(407) 759-8807,4.9,397,3,,Micro / owner-operated,free consultations,"You lead with free consultations, and free consults no-show harder than any other appointment type in aesthetics.",info@artistikbeautyfl.com,http://artistikbeautyfl.com/,,,,,,
34,1 Qualified,Be You Medical,Roseville,CA,(916) 223-9361,4.9,394,,,Unknown,midweek gap,"Closed Sunday and Wednesday — an unusual split, and a hard one for patients to remember.",info@beyouthful.com,http://www.beyouthful.com/?utm_source=google&utm_medium=organic&utm_campaign=GMB,,,,,,
35,1 Qualified,Michigan Advanced Aesthetics,Detroit,MI,(248) 542-3700,4.9,388,4,,Micro / owner-operated,monday backlog,"Two locations, four staff, closed Sunday and Monday.",laura@michiganadvancedaesthetics.com,http://www.michiganadvancedaesthetics.com/,,,,,,
36,5 Chain locations,SkinSpirit Walnut Creek,Walnut Creek,CA,(925) 952-9200,4.9,379,,,,location routing,"Writing about Walnut Creek specifically — 379 reviews there, and it's one of a dozen-plus SkinSpirit sites I can see.",walnutcreek@skinspirit.com,https://www.skinspirit.com/locations/walnut-creek/?utm_source=citation&utm_medium=organic&utm_campaign=walnutcreek,,,,,,
37,1 Qualified,Amerejuve Medspa,The Woodlands,TX,(713) 960-6262,4.9,363,46,,Core (best fit),seven locations,"Seven locations across Texas and Georgia, all closed Sunday and Monday.",info@amerejuve.com,https://www.amerejuve.com/,,,,,,
38,1 Qualified,NSI Wellness | Aesthetics,Nashville,TN,(615) 431-3724,4.9,363,,,Unknown,weekend coverage,363 reviews at 4.9 with both weekend days dark.,info@tolmanmedical.com,http://tolmanmedical.com/,,,,,,
39,1 Qualified,"Prime MD, P.C.",Raleigh,NC,(919) 948-6355,5.0,351,7,,Small,seven staff,A flat 5.0 across 351 reviews says the people who reach you leave happy.,info@primemdcenter.com,https://primemdcenter.com/,,,,,,
40,5 Chain locations,New Image Works,Aventura,FL,(786) 438-0778,5,339,,,,two locations,Writing about the Miami site.,info-miami@newimageworks.com,https://newimageworks.com/contact-us-miami/,,,,,,
41,1 Qualified,BeautyCo,Raleigh,NC,(984) 222-0026,4.9,337,12,,Small,weekend voicemail,A Top 500 Allergan practice with both weekend days dark.,hello@beautycoraleigh.com,http://beautycoraleigh.com/,,,,,,
42,1 Qualified,VIO Med Spa,Aventura,FL,(954) 272-8330,5.0,329,330,,Enterprise / chain,franchise call routing,"A franchise network means inbound calls hit whichever location the caller happened to find, and a misrouted call is a booking the system paid for and lost.",queencreek@viomedspa.com,https://www.viomedspa.com/aventura/?utm_source=GBP&utm_medium=GBP+Listing,,,,,,
43,1 Qualified,VIIV WELLNESS HAUS,Miami,FL,(786) 550-6249,5.0,325,,,Unknown,weekend coverage,A flat 5.0 across 325 reviews says the experience lands.,contact@viivwellnesshaus.com,http://viivwellnesshaus.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,,,,,
44,5 Chain locations,VIO Med Spa | Fort Lauderdale,Fort Lauderdale,FL,(954) 687-1846,4.9,319,,,,franchise routing,"Reaching out about Fort Lauderdale, though with VIO's franchise footprint this plainly sits above the location.",fortlauderdale@viomedspa.com,https://www.viomedspa.com/fort-lauderdale/?utm_source=GBP&utm_medium=GBP+Listing,,,,,,
45,1 Qualified,Serenity Aesthetics & Wellness,San Francisco,CA,(415) 781-9200,4.5,316,20,,Core (best fit),review replies,"4.5 across 316 reviews puts you below most SF med spas on the same block, and the critical ones look unanswered.",info@serenitymedspa.com,https://serenitymedspa.com/?y_source=1_MTA2NzU1NDY2OC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,,,,,
46,1 Qualified,Gateway Aesthetic Institute and Laser Center,Salt Lake City,UT,(801) 595-1600,4.4,310,24,,Core (best fit),review replies,"4.4 across 310 reviews is a good practice with a visible gap — the critical ones look unanswered, and that's what a prospect reads first.",info@gatewaylasercenter.com,http://gatewaylasercenter.com/?utm_medium=local&utm_source=google&utm_campaign=yext&y_source=1_MTAwNDMwNjQxMi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,,,,,
47,5 Chain locations,SkinSpirit Palo Alto,Palo Alto,CA,(650) 324-9600,4.6,309,,,,one location outlier,"Palo Alto sits at 4.6 across 309 reviews, which is noticeably below where SkinSpirit runs elsewhere — Walnut Creek and Roseville are both 4.9 or better.",paloalto@skinspirit.com,https://www.skinspirit.com/locations/palo-alto/?utm_source=citation&utm_medium=organic&utm_campaign=paloalto,,,,,,
48,1 Qualified,Med 1 Aesthetics,Detroit,MI,(734) 780-7070,5.0,306,2,,Micro / owner-operated,two locations,"Ann Arbor and Wyandotte, two people, a flat 5.0 across 306 reviews.",info@med1aesthetics.com,http://www.med1aesthetics.com/,,,,,,
49,1 Qualified,Natural Beauty Laser,Delray Beach,FL,(561) 926-1392,4.9,301,1,,Micro / owner-operated,solo practice,301 reviews at 4.9 as essentially a one-person operation.,office@naturalbeautylaser.com,https://naturalbeautylaser.com/,,,,,,
50,1 Qualified,Allure Medical,Charlotte,NC,(888) 269-3209,4.5,299,150,,Enterprise / chain,fourteen locations,"Fourteen locations across three states, and a 4.5 that sits below where a network your size probably wants it.",info@alluremedical.com,https://www.alluremedical.com/locations/charlotte-nc/?utm_source=gmb&utm_medium=gmb&utm_campaign=gmbcharlottenc,,,,,,
51,5 Chain locations,SkinSpirit Roseville,Roseville,CA,(279) 226-8550,5,296,,,,sunday calls,Roseville's at a flat 5.0 across 296 reviews — among the strongest sites in the network by my read.,roseville@skinspirit.com,https://www.skinspirit.com/locations/roseville/,,,,,,
52,1 Qualified,Shino Bay Cosmetic Dermatology & Laser Institute,Fort Lauderdale,FL,(954) 765-3005,4.8,286,21,,Core (best fit),clinical questions,A practice running cosmetic dermatology alongside plastic surgery shouldn't put an AI on the phone unsupervised — speculating about a post-op reaction isn't worth any amount of booking convenience.,info@shinobayderm.com,https://www.shinobayderm.com/?utm_source=google&utm_medium=organic&utm_campaign=online_search&utm_id=local,,,,,,
53,1 Qualified,Juvly Aesthetics,Columbus,OH,(614) 500-7000,4.6,277,53,,Enterprise / chain,eleven locations,"Eleven locations across five states, all closed both weekend days, and a 4.6 that sits below where a network your size probably wants to be.",info@juvly.com,https://www.juvly.com/?y_source=1_MTAwNDg3OTYzNC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,,,,,
54,1 Qualified,Enigma Plastic Surgery,Philadelphia,PA,(215) 717-7117,4.8,270,2,,Micro / owner-operated,weight loss inquiries,"Medical weight loss is your lead offer, and weight-loss inquiries arrive in volume, mostly unqualified, mostly outside business hours.",info@enigmamedispa.com,http://enigmamedispa.com/,,,,,,
55,1 Qualified,Tre Medspa,Tampa,FL,(813) 749-0918,4.8,265,1,,Micro / owner-operated,solo practice,265 reviews at 4.8 running solo in Westchase.,info@tremedspa.com,http://www.tremedspa.com/,,,,,,
56,1 Qualified,St. Louis Skin Solutions,St Louis,MO,(314) 485-7845,4.8,254,13,,Small,weekend calls,Twenty-one years in St.,info@stlouisskin.com,https://stlouisskin.com/,,,,,,
57,1 Qualified,CMA - Center for Modern Aesthetic Medicine,Jacksonville,FL,(904) 772-5828,4.8,250,16,,Core (best fit),weekend coverage,"Closed Saturday and Sunday, sixteen staff, 250 reviews at 4.8.",info@cmamedicine.com,https://cmamedicine.com/?utm_source=gbp,,,,,,
58,1 Qualified,Charlotte Plastic Surgery,Charlotte,NC,(704) 372-6846,4.7,245,44,,Core (best fit),weekend consults,"A practice running since 1951 with two Charlotte locations, closed both weekend days.",info@charlotteplasticsurgery.com,https://www.charlotteplasticsurgery.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=uptown,,,,,,
59,1 Qualified,Manhattan Dermatology,Manhattan Beach,CA,(310) 546-1188,4.6,231,18,,Core (best fit),front desk triage,Three locations running general dermatology alongside cosmetic means one phone line is triaging a skin-cancer screening and a filler consult with the same greeting — and both weekend days are dark.,info@manhattan-dermatology.com,http://www.manhattan-dermatology.com/,,,,,,
60,1 Qualified,image DermatologyÂ® P.C.,Montclair,NJ,(973) 509-6900,4.3,221,11,,Small,unanswered reviews,4.3 on 221 reviews.,info@imagedermatology.com,https://www.imagedermatology.com/,,,,,,
61,1 Qualified,Pure Luxe Medical,Manhattan Beach,CA,(424) 277-1642,4.8,211,4,,Micro / owner-operated,weekend voicemail,"Four staff on Main Street, weekends closed.",info@pureluxemedical.com,https://www.pureluxemedical.com/,,,,,,
62,1 Qualified,Onestop Aesthetic Travel and Wellness Center,Pleasanton,CA,(925) 263-9547,4.7,197,3,,Micro / owner-operated,weekend calls,"Three staff, weekends closed, and a business model that involves coordinating travel — which means more back-and-forth per booking than a normal med spa, not less.",info@onestopaesthetictravelandwellness.com,https://www.onestopaesthetictravelandwellness.com/,,,,,,
63,5 Chain locations,SkinSpirit Katy,Katy,TX,(281) 769-8644,4.9,180,,,,location routing,"Writing about Katy — 180 reviews at 4.9, Sunday closed.",katy@skinspirit.com,https://www.skinspirit.com/locations/katy/,,,,,,
64,5 Chain locations,VIO Med Spa | Upper Arlington,Columbus,OH,(614) 686-4418,4.9,179,,,,two dark days,"Upper Arlington shows closed Sunday and Monday — two dark days, where most VIO locations I can see only lose Sunday.",upperarlington@viomedspa.com,https://www.viomedspa.com/upper-arlington/?utm_source=GBP+Listing&utm_medium=GBP,,,,,,
65,5 Chain locations,SkinSpirit Portland,Portland,OR,(971) 369-7400,4.9,168,,,,sunday coverage,"NW Portland, 168 reviews at 4.9, Sunday dark.",nwportland@skinspirit.com,https://www.skinspirit.com/locations/portland/,,,,,,
66,1 Qualified,Barr Aesthetics,Salt Lake City,UT,(801) 532-0204,4.7,167,6,,Micro / owner-operated,surgical consults,"A facial plastic surgery practice books the most expensive consult in aesthetics, and the weekend caller comparing rhinoplasty surgeons is exactly the one you can't afford to miss.",info@barraesthetics.com,http://barraesthetics.com/,,,,,,
67,5 Chain locations,Elase Medical Spa - South Tampa,Tampa,FL,(813) 921-8770,4.9,167,,,,location routing,Writing about South Tampa.,southtampa@elase.com,https://elase.com/locations/south-tampa/?UTM_source=GMB_listing&UTM_medium=organic&utm_campaign=southtampa,,,,,,
68,5 Chain locations,SkinSpirit Seattle - Green Lake,Seattle,WA,(206) 656-1020,4.8,160,,,,sunday calls,"Green Lake, 160 reviews at 4.8, Sunday closed.",greenlake@skinspirit.com,https://www.skinspirit.com/locations/seattle-green-lake/,,,,,,
