Email,Company,City,State,Country,Website,Phone,microns_subject,microns_body,microns_rank,microns_tier,microns_send_date,microns_mailbox,microns_rating,microns_reviews
info@alluringimagemedspa.com,Alluring Image Medspa and Wellness,Delray Beach,FL,United States,https://alluringimagemedspa.com/,(561) 567-9056,solo practice,"338 reviews at 4.9 as a one-person operation. Every call arriving mid-treatment is decided by whether you can physically reach the phone, and mid-treatment you can't. An agent answers, quotes your real prices, and books as pending for you to confirm later. Sunday's dark too, which is more of the same problem. Worth exploring?",89,A,2026-10-06,4,4.9,338
hello@bellagloaesthetics.com,Bella Glo Medical Aesthetics & Wellness,Carlsbad,CA,United States,https://www.bellagloaesthetics.com/,(760) 453-7523,two people,"A flat 5.0 across 333 reviews on a two-person team. Everyone who reaches you books; that's as clear as the data gets. The gap is entirely who doesn't reach you. An agent covers those hours, quotes real prices, books as pending. Sunday's closed as well. That's the whole pitch — the rest of what I build would sit unused at your size. Worth exploring?",91,A,2026-10-06,1,5,333
info@re-medispa.com,Re-Medispa,Plantation,FL,United States,http://www.re-medispa.com/,(224) 723-5408,solo practice,"259 reviews at 4.9 running solo. You cannot inject and answer simultaneously, and the calls arrive during treatment by definition. An agent picks up, quotes your real prices, and books as pending for you to confirm between patients. One piece, priced for one person. Worth exploring?",116,B,2026-10-09,1,4.9,259
info@southlakeplasticsurgery.com,Southlake Plastic Surgery,Southlake,TX,United States,https://southlakeplasticsurgery.com/,(817) 442-8900,weekend consults,"Twenty-five years in Southlake and both weekend days closed. A surgical consult is the most expensive appointment you book, and the weekend caller pricing a facelift is comparing three surgeons at once. An agent covers those days and books as pending, never confirmed, so your team keeps the last word on the surgical calendar. Clinical questions — recovery, medications, complications — route to a provider callback on a two-hour clock rather than getting an automated answer. Worth a look?",119,B,2026-10-09,4,4.9,253
info@trsmedspa.com,The Rolling Stone MedSpa,Bonita Springs,FL,United States,https://www.trsmedspa.com/?utm_source=gmb_auth,(239) 405-7572,solo practice,"249 reviews at 5.0 essentially solo, closed Sunday and Monday. Two dark days on a one-person practice means Tuesday starts with a full voicemail box before the first patient. An agent covers both days and books as pending for you to confirm Tuesday morning — so you open with a calendar instead of a backlog. Worth a look?",123,B,2026-10-09,3,5,249
youngtran@foreveryoungtranaesthetics.com,Forever Young Aesthetics,Seattle,WA,United States,https://foreveryoungtranaesthetics.com/?utm_source=google&utm_medium=local&utm_campaign=GBP,(206) 486-0753,solo practice,"238 reviews at a flat 5.0 running on your own. That rating is entirely about the experience you give in the room, which is precisely the time you can't reach a phone. An agent answers, quotes your prices, and books as pending for you to confirm later. That's the whole thing at your size. Worth a look?",127,B,2026-10-09,2,5,238
info@skinversemedspa.com,Skin Verse,Beverly Hills,CA,United States,https://skinversemedspa.com/,(424) 255-9289,two people,"218 reviews at 4.9 with two people on staff in Beverly Hills. Every call that arrives mid-treatment is decided by whether anyone can step out, and in a two-person clinic nobody can. An agent answers, quotes your real prices, and books as pending for you to confirm after. Sunday's dark as well. Worth a look?",143,B,2026-10-13,3,4.9,218
aw@awmedspa.com,AW Medspa,Weston,FL,United States,https://www.awmedspa.com/?utm_source=GBP,(847) 466-5933,solo practice,"202 reviews running essentially alone, Sunday closed. Every call during a treatment is a booking you lose by default rather than by choice. An agent answers, quotes your prices, and books as pending for you to confirm afterwards. One thing, sized for one person. Worth exploring?",156,B,2026-10-14,1,4.7,202
receptionist@selaromutah.com,Selarom Plastic Surgery & Spa,Salt Lake City,UT,United States,http://www.selaromutah.com/,(801) 609-3544,weekend consults,"Two staff, both weekend days closed, and Dr. Schmelzer doing surgical work alongside the spa side. A weekend caller pricing a breast augmentation is the most valuable call you get all week. An agent covers those days and books as pending, never confirmed, so the surgical calendar stays under human control. Clinical questions route to a provider callback within two hours rather than getting an answer. Worth a look?",159,B,2026-10-14,4,4.8,198
erin@delaesthetics.com,Del Aesthetics,Delray Beach,FL,United States,http://www.delaesthetics.com/,(561) 777-4905,two people,"Top 100 injector in America three years running, and two people on staff. That's a practice where people book *you* by name — which makes every unanswered call a booking that had already chosen you. An agent answers, quotes your real prices, and books as pending for you to confirm. Both weekend days are dark. Worth exploring?",160,B,2026-10-14,5,4.9,198
medicalrecords@barederm.com,Bare Dermatology,Allen,TX,United States,https://www.barederm.com/dermatology-clinics/allen-dermatologist/,(972) 842-4362,front desk triage,"Medical dermatology and skin cancer work sitting beside cosmetic on one line — a Mohs consult and a Botox inquiry arriving with the same greeting and very different urgency. Cosmetic gets qualified before it reaches your desk. Anything clinical never gets an automated answer at all; it routes to a provider callback on a tracked two-hour clock. Both weekend days are closed, and skin-check recall runs on the same engine. *Note: this address is a medical-records inbox — worth finding the practice manager first.* Worth exploring?",162,B,2026-10-15,2,4.8,197
frontdesk@sculptazmedspa.com,Sculpt AZ Medspa,Phoenix,AZ,United States,https://www.sculptazmedspa.com/,(602) 699-3311,solo practice,"192 reviews at 5.0 on essentially one person. The rating says the room experience is excellent, which is exactly the hour you can't answer a phone. An agent picks up, quotes your prices, and books as pending for you to confirm after. Sunday's dark as well. Worth exploring?",170,B,2026-10-15,5,5,192
hello@elementct.com,Element Medical Aesthestics,New Canaan,CT,United States,https://elementct.com/,(203) 594-1907,solo practice,"Merry's a nationally recognized skincare expert running essentially solo — which means people call asking for her by name, and mid-treatment nobody picks up. An agent answers, quotes your prices, and books as pending for you to confirm after. Sunday's closed as well. One piece, sized for one person. Worth a look?",174,B,2026-10-15,4,5,189
office@qualitycaredoc.com,Quality Care Internal Medicine & Medspa,Allen,TX,United States,https://qualitycaredoc.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(972) 777-2966,front desk triage,"Internal medicine and a med spa on one phone line means a sick patient and a filler inquiry get the same greeting with very different urgency. An agent separates them before your desk sees them, books the aesthetics side, and routes anything medical to a provider callback rather than answering it. Both weekend days are closed. Worth a look?",192,B,2026-10-16,2,5,167
frontdesk@diehlplastics.com,Dr. Cynthia Diehl,Raleigh,NC,United States,https://diehlplastics.com/,(919) 381-5540,weekend consults,"A board-certified plastic surgeon with an accredited surgical suite, both weekend days closed. The weekend caller pricing a tummy tuck is the most valuable one you get. An agent covers those days and books as pending, never confirmed, so Dr. Diehl's calendar stays under human control. Clinical questions route to a provider callback within two hours. Worth exploring?",193,B,2026-10-16,3,4.8,166
info@lespamedicalspa.com,Le Spa Medical Spa,Portland,OR,United States,https://lespamedicalspa.com/,(503) 567-1032,solo practice,"One person, both weekend days closed, 153 reviews at 4.9. Two dark days on a solo practice means Monday starts underwater. An agent covers the weekend and books as pending so Monday opens with a calendar instead of a voicemail queue. Worth exploring?",209,C,2026-10-23,4,4.9,153
info@newportbeachdps.com,Newport Beach Dermatology and Plastic Surgery,Newport Beach,CA,United States,http://www.newportbeachdps.com/,(949) 706-7886,weekend consults,"Dermatology and plastic surgery on one line with both weekend days closed. The weekend caller pricing a procedure is the most valuable one you get and the least likely to leave a message. An agent covers those days and books as pending, never confirmed, so the surgical calendar stays under human control. Clinical questions route to a provider callback within two hours rather than getting an answer. Worth exploring?",262,C,2026-11-02,2,4.8,119
hello@elisianodermatology.com,Elisiano Dermatology & Aesthetics - South Boston,Boston,MA,United States,https://elisianodermatology.com/,(617) 615-6698,front desk triage,Dermatology alongside aesthetics on one line means a mole check and a filler consult get the same greeting with very different urgency — and both weekend days are closed. Cosmetic inquiries get qualified before they reach your desk. Anything clinical routes to a provider callback on a tracked two-hour clock rather than getting answered. Worth exploring?,276,C,2026-11-02,1,5,107
